id,name
1,MSG Show (Mar '79)
2,MSG Show (Feb '79)
3,MSG Show (Jan '79)
4,MSG Show (Dec '78)
5,MSG Show (Nov '78)
6,MSG Show (Oct '78)
7,MSG Show (Sep '78)
8,MSG Show (Aug '78)
9,MSG Show (Jul '78)
10,MSG Show (Jun '78)
11,MSG Show (May '78)
12,MSG Show (Apr '78)
13,MSG Show (Mar '78)
14,MSG Show (Feb '78)
15,MSG Show (Jan '78)
16,MSG Show (Dec '77)
17,MSG Show (Nov '77)
18,MSG Show (Oct '77)
19,MSG Show (Sep '77)
20,MSG Show (Aug '77 #2)
21,MSG Show (Aug '77 #1)
22,MSG Show (Jun '77)
23,MSG Show (May '77)
24,Baltimore Show (Apr '77)
25,MSG Show (Apr '77)
26,MSG Show (Mar '77 #2)
27,MSG Show (Mar '77 #1)
28,MSG Show (Feb '77)
29,MSG Show (Jan '77)
30,MSG Show (Dec '76)
31,MSG Show (Nov '76)
32,MSG Show (Oct '76 #2)
33,MSG Show (Oct '76 #1)
34,MSG Show (Sep '76)
35,MSG Show (Aug '76)
36,Showdown at Shea '76
37,MSG Show (May '76)
38,MSG Show (Apr '76)
39,MSG Show (Mar '76 #2)
40,MSG Show (Mar '76 #1)
41,MSG Show (Feb '76)
42,MSG Show (Jan '76)
43,MSG Show (Dec '75)
44,MSG Show (Nov '75)
45,Rochester Show (Oct '75)
46,MSG Show (Oct '75)
47,MSG Show (Sep '75)
48,MSG Show (Aug '75)
49,MSG Show (Jul '75)
50,MSG Show (Jun '75)
51,MSG Show (May '75)
52,MSG Show (Apr '75)
53,MSG Show (Mar '75)
54,MSG Show (Feb '75)
55,MSG Show (Jan '75)
56,MSG Show (Dec '74)
57,MSG Show (Nov '74)
58,MSG Show (Oct '74)
59,MSG Show (Aug '74)
60,MSG Show (Jul '74)
61,MSG Show (Jun '74)
62,MSG Show (May '74)
63,MSG Show (Apr '74 #2)
64,MSG Show (Apr '74 #1)
65,MSG Show (Mar '74)
66,MSG Show (Jan '74)
67,MSG Show (Dec '73)
68,Philadelphia Show (Dec '73 #1)
69,MSG Show (Nov '73)
70,MSG Show (Oct '73)
71,MSG Show (Aug '73)
72,MSG Show (Jul '73)
73,MSG Show (Jun '73 #2)
74,MSG Show (Jun '73 #1)
75,MSG Show (Apr '73)
76,MSG Show (Mar '73)
77,MSG Show (Feb '73)
78,MSG Show (Jan '73)
79,MSG Show (Dec '72)
80,MSG Show (Nov '72)
81,Boston Show (Nov '72)
82,MSG Show (Oct '72)
83,Showdown at Shea '72
84,MSG Show (Sep '72)
85,MSG Show (Jul '72 #2)
86,MSG Show (Jul '72 #1)
87,MSG Show (Jun '72)
88,MSG Show (May '72)
89,MSG Show (Apr '72)
90,MSG Show (Mar '72)
91,MSG Show (Feb '72)
92,MSG Show (Jan '72)
93,MSG Show (Dec '71)
94,MSG Show (Nov '71)
95,MSG Show (Oct '71)
96,MSG Show (Aug '71)
97,MSG Show (Jul '71)
98,MSG Show (Jun '71)
99,MSG Show (May '71)
100,MSG Show (Mar '71)
101,MSG Show (Feb '71)
102,MSG Show (Jan '71)
103,MSG Show (Nov '70)
104,MSG Show (Oct '70)
105,MSG Show (Sep '70)
106,Boston Show (Sep '70)
107,MSG Show (Aug '70)
108,MSG Show (Jul '70)
109,MSG Show (Jun '70)
110,MSG Show (Mar '70)
111,MSG Show (Jan '70)
112,MSG Show (Dec '69)
113,MSG Show (Oct '69 #2)
114,MSG Show (Oct '69 #1)
115,MSG Show (Jun '69)
116,MSG Show (May '69)
117,MSG Show (Mar '69)
118,MSG Show (Feb '69)
119,MSG Show (Jan '69)
120,Philadelphia Show (Jan '69)
121,MSG Show (Dec '68)
122,MSG Show (Nov '68)
123,MSG Show (Oct '68)
124,MSG Show (Sep '68)
125,MSG Show (Aug '68)
126,MSG Show (Jun '68)
127,MSG Show (May '68)
128,MSG Show (Mar '68)
129,MSG Show (Feb '68)
130,MSG Show (Jan '68)
131,MSG Show (Oct '67)
132,MSG Show (Sep '67)
133,MSG Show (Aug '67)
134,MSG Show (Jul '67)
135,MSG Show (Jun '67)
136,MSG Show (May '67)
137,MSG Show (Mar '67)
138,MSG Show (Feb '67)
139,MSG Show (Jan '67)
140,MSG Show (Dec '66)
141,MSG Show (Nov '66)
142,MSG Show (Mar '66)
143,MSG Show (Feb '66)
144,MSG Show (Jan '66)
145,MSG Show (Dec '65)
146,MSG Show (Nov '65)
147,MSG Show (Oct '65)
148,MSG Show (Sep '65)
149,MSG Show (Aug '65 #2)
150,MSG Show (Aug '65 #1)
151,MSG Show (Jul '65)
152,MSG Show (May '65)
153,MSG Show (Mar '65)
154,MSG Show (Feb '65)
155,MSG Show (Jan '65)
156,MSG Show (Dec '64)
157,MSG Show (Nov '64)
158,MSG Show (Oct '64)
159,MSG Show (Sep '64)
160,MSG Show (Aug '64 #2)
161,MSG Show (Aug '64 #1)
162,MSG Show (Jul '64)
163,MSG Show (Jun '64)
164,MSG Show (May '64)
165,MSG Show (Mar '64)
166,MSG Show (Feb '64)
167,MSG Show (Jan '64)
168,MSG Show (Dec '63)
169,MSG Show (Nov '63)
170,MSG Show (Oct '63)
171,Philadelphia Show (Sep '63 #3)
172,Pittsburgh Show (Sep '63)
173,Bridgeport Show (Sep '63 #2)
174,Baltimore Show (Sep '63 #2)
175,Philadelphia Show (Sep '63 #2)
176,Asbury Park Show (Sep '63)
177,Bridgeport Show (Sep '63 #1)
178,MSG Show (Sep '63)
179,Baltimore Show (Sep '63 #1)
180,Philadelphia Show (Sep '63 #1)
181,Asbury Park Show (Aug '63 #2)
182,MSG Show (Aug '63 #2)
183,Baltimore Show (Aug '63)
184,Asbury Park Show (Aug '63 #1)
185,Washington Show (Aug '63)
186,MSG Show (Aug '63 #1)
187,Philadelphia Show (Jul '63 #2)
188,Baltimore Show (Jul '63 #2)
189,Alexandria Show (Jul '63)
190,Philadelphia Show (Jul '63 #1)
191,Baltimore Show (Jul '63 #1)
192,MSG Show (Jul '63)
193,Washington Show (Jul '63)
194,MSG Show (Jun '63)
195,Washington Show (Jun '63)
196,Philadelphia Show (Jun '63)
197,White Plains Show (Jun '63)
198,MSG Show (May '63)
199,Washington Show (May '63 #2)
200,Baltimore Show (May '63)
201,Washington Show (May '63 #1)
202,Baltimore Show (Apr '63)
203,Washington Show (Apr '63)
204,Kingston Show (Apr '63)
205,West Hempstead Show (Mar '63)
206,Washington Show (Mar '63 #3)
207,Bridgeport Show (Mar '63 #4)
208,MSG Show (Mar '63)
209,Bridgeport Show (Mar '63 #3)
210,Pittsburgh Show (Mar '63 #4)
211,Newark Show (Mar '63)
212,Chicago Show (Mar '63)
213,Bridgeport Show (Mar '63 #2)
214,Pittsburgh Show (Mar '63 #3)
215,Pittsburgh Show (Mar '63 #2)
