case_id,jurisdiction,officer_id,reporting_district,chp_shift,population,county_city_location,county_location,special_condition,beat_type,chp_beat_type,city_division_lapd,chp_beat_class,beat_number,primary_road,secondary_road,distance,direction,intersection,weather_1,weather_2,state_highway_indicator,caltrans_county,caltrans_district,state_route,route_suffix,postmile_prefix,postmile,location_type,ramp_intersection,side_of_highway,tow_away,collision_severity,killed_victims,injured_victims,party_count,primary_collision_factor,pcf_violation_code,pcf_violation_category,pcf_violation,pcf_violation_subsection,hit_and_run,type_of_collision,motor_vehicle_involved_with,pedestrian_action,road_surface,road_condition_1,road_condition_2,lighting,control_device,chp_road_type,pedestrian_collision,bicycle_collision,motorcycle_collision,truck_collision,not_private_property,alcohol_involved,statewide_vehicle_type_at_fault,chp_vehicle_type_at_fault,severe_injury_count,other_visible_injury_count,complaint_of_pain_injury_count,pedestrian_killed_count,pedestrian_injured_count,bicyclist_killed_count,bicyclist_injured_count,motorcyclist_killed_count,motorcyclist_injured_count,primary_ramp,secondary_ramp,latitude,longitude,collision_date,collision_time,process_date
0081715,1941,11342,212,not chp,>250000,1941,los angeles,0,not chp,not chp,,not chp,003,PATTERSON ST,ATLANTIC AV,0.0,,1,cloudy,,0,,,,,,,,,,1,property damage only,0,0,2,vehicle code violation,,speeding,22350,,not hit and run,rear end,other motor vehicle,no pedestrian involved,dry,normal,,daylight,none,0,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,,,,,2020-03-14,07:45:00,2020-06-22
0726202,3600,8945,064,not chp,50000 to 100000,3612,san bernardino,0,not chp,not chp,,not chp,005,AMARGOSA,MARICOPA RD,0.0,,,clear,,0,,,,,,,,,,1,property damage only,0,0,1,vehicle code violation,,speeding,22350,,misdemeanor,hit object,fixed object,no pedestrian involved,dry,normal,,dark with street lights,none,0,0,0,0,0,1,,passenger car,"passenger car, station",0,0,0,0,0,0,0,0,0,,,,,2020-07-26,02:50:00,2020-09-30
3858022,1005,P379,2C,not chp,>250000,1005,fresno,0,not chp,not chp,,not chp,2257,1ST ST,EAST CLINTON,0.0,,1,clear,,0,,,,,,,,,,,property damage only,0,0,2,other improper driving,,other improper driving,,,not hit and run,rear end,other motor vehicle,no pedestrian involved,dry,normal,,daylight,functioning,0,0,0,0,0,1,,emergency vehicle,police car,0,0,0,0,0,0,0,0,0,,,,,2009-02-03,17:11:00,2009-04-27
3899441,9120,17248,,2200 thru 0559,2500 to 10000,0801,del norte,0,chp state highway,us highway,,chp other,005,RT 101,RUDISILL RD,8976.0,north,0,clear,,1,del norte,1,101,,,15.47,highway,,southbound,1,property damage only,0,0,1,vehicle code violation,,improper turning,22107,,not hit and run,hit object,fixed object,no pedestrian involved,dry,normal,,dark with no street lights,none,0,0,0,0,0,1,,passenger car,"passenger car, station",0,0,0,0,0,0,0,0,0,,,,,2009-02-28,01:45:00,2009-11-02
3899442,9530,19005,,0600 thru 1359,>250000,1942,los angeles,0,chp state highway,interstate,,chp other,110,RT 110,RT 91,2111.0,south,0,raining,,1,los angeles,7,110,,,9.31,highway,,southbound,0,property damage only,0,0,2,vehicle code violation,,speeding,22350,,not hit and run,sideswipe,other motor vehicle,no pedestrian involved,wet,normal,,daylight,none,1,0,0,0,0,1,,passenger car,"passenger car, station",0,0,0,0,0,0,0,0,0,,,33.86465,-118.28533,2009-02-09,10:20:00,2010-01-14
3899445,9530,19284,,1400 thru 2159,>250000,1942,los angeles,0,chp state highway,interstate,,chp other,120,RT 110,PACIFIC COAST HWY,250.0,north,0,clear,,1,los angeles,7,110,,,4.14,highway,,northbound,1,property damage only,0,0,3,vehicle code violation,,improper turning,22107,,not hit and run,sideswipe,other motor vehicle,no pedestrian involved,dry,normal,,daylight,none,1,0,0,0,0,1,,passenger car,"passenger car, station",0,0,0,0,0,0,0,0,0,,,33.7912,-118.2823,2009-02-18,15:50:00,2010-01-13
3899446,9530,19289,,1400 thru 2159,25000 to 50000,1939,los angeles,0,chp state highway,interstate,,chp other,400,RT 405,HAWTHORNE BL,100.0,south,0,cloudy,,1,los angeles,7,405,,,17.64,highway,,southbound,0,property damage only,0,0,3,vehicle code violation,,speeding,22350,,not hit and run,rear end,other motor vehicle,no pedestrian involved,dry,normal,,dusk or dawn,none,1,0,0,0,0,1,,passenger car,"passenger car, station",0,0,0,0,0,0,0,0,0,,,33.8845,-118.3526,2009-02-11,17:35:00,2010-01-11
3899449,9530,19374,,1400 thru 2159,>250000,1941,los angeles,0,chp state highway,interstate,,chp other,072,RT 710,CARSON ST,528.0,north,0,clear,,1,los angeles,7,710,,,10.05,highway,,southbound,1,property damage only,0,0,2,vehicle code violation,,speeding,22350,,not hit and run,rear end,other motor vehicle,no pedestrian involved,dry,normal,,dark with no street lights,none,1,0,0,0,0,1,,passenger car,"passenger car, station",0,0,0,0,0,0,0,0,0,,,33.83197,-118.20906,2009-02-13,21:20:00,2009-12-30
3899450,9530,19374,,1400 thru 2159,>250000,1941,los angeles,0,chp state highway,interstate,,chp other,071,RT 710,CARSON ST,528.0,north,0,clear,,1,los angeles,7,710,,,10.05,highway,,southbound,1,pain,0,1,2,vehicle code violation,,speeding,22350,,not hit and run,rear end,other motor vehicle,no pedestrian involved,dry,normal,,dark with no street lights,none,1,0,0,0,0,1,,passenger car,"passenger car, station",0,0,1,0,0,0,0,0,0,,,33.82693,-118.2077,2009-02-13,20:40:00,2009-12-30
3899453,9530,18723,,1400 thru 2159,unincorporated,1900,los angeles,0,chp state highway,state route,,chp other,310,RT 91,SUSANA RD,320.0,west,0,clear,,1,los angeles,7,91,,R,10.75,highway,,eastbound,1,pain,0,1,3,vehicle code violation,,speeding,22350,,not hit and run,rear end,other motor vehicle,no pedestrian involved,wet,normal,,dark with no street lights,none,1,0,0,0,0,1,,passenger car,"passenger car, station",0,0,1,0,0,0,0,0,0,,,33.87343,-118.20861,2009-02-13,18:20:00,2010-01-12
