id,case_id,party_number,victim_role,victim_sex,victim_age,victim_degree_of_injury,victim_seating_position,victim_safety_equipment_1,victim_safety_equipment_2,victim_ejected
1,3858022,1,passenger,female,24,no injury,passenger seat 4,air bag not deployed,,not ejected
2,3858022,1,passenger,male,31,no injury,passenger seat 6,air bag not deployed,,not ejected
3,3899450,1,driver,female,72,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
4,3899453,2,driver,male,66,complaint of pain,driver,air bag deployed,lap/shoulder harness used,not ejected
5,3899453,3,passenger,male,65,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
6,3899454,1,pedestrian,female,29,complaint of pain,position unknown,,not required,unknown
7,3899454,2,pedestrian,female,7,complaint of pain,position unknown,,not required,unknown
8,3899457,1,passenger,female,60,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
9,3899457,2,passenger,female,1,no injury,passenger seat 6,air bag not deployed,child restraint in vehicle used,not ejected
10,3899458,1,passenger,male,19,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
11,3899466,1,passenger,male,42,no injury,passenger seat 3,air bag deployed,lap/shoulder harness used,not ejected
12,3899474,1,driver,female,40,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
13,3899477,1,driver,male,20,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
14,3899477,2,driver,female,33,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
15,3899477,2,passenger,female,4,no injury,passenger seat 6,air bag not deployed,child restraint in vehicle used,not ejected
16,3899477,2,passenger,male,1,no injury,passenger seat 4,air bag not deployed,child restraint in vehicle used,not ejected
17,3899482,2,passenger,female,,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
18,3899482,2,passenger,male,,no injury,passenger seat 4,not required,"child restraint in vehicle, use unknown",not ejected
19,3899486,2,driver,female,46,complaint of pain,driver,air bag deployed,lap/shoulder harness used,not ejected
20,3899490,2,driver,male,44,severe injury,driver,air bag deployed,lap/shoulder harness used,not ejected
21,3899490,3,passenger,male,8,no injury,passenger seat 5,not required,lap belt used,not ejected
22,3899490,3,passenger,female,17,no injury,passenger seat 6,not required,lap/shoulder harness used,not ejected
23,3899490,3,passenger,male,7,no injury,passenger seat 2,not required,lap belt used,unknown
24,3899490,3,passenger,female,39,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
25,3899490,3,passenger,female,14,no injury,passenger seat 4,not required,lap/shoulder harness used,not ejected
26,3899490,4,passenger,female,42,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
27,3899490,4,passenger,female,40,no injury,passenger seat 4,air bag not deployed,lap/shoulder harness used,not ejected
28,3899493,2,driver,female,38,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
29,3899497,3,driver,male,55,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
30,3899501,1,passenger,female,44,other visible injury,passenger seat 6,air bag not deployed,lap/shoulder harness used,not ejected
31,3899501,1,passenger,female,33,complaint of pain,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
32,3899501,1,passenger,male,43,no injury,passenger seat 4,air bag not deployed,lap/shoulder harness used,not ejected
33,3899501,1,passenger,male,14,no injury,passenger seat 5,air bag not deployed,lap/shoulder harness used,not ejected
34,3899506,1,passenger,female,8,no injury,passenger seat 4,air bag not deployed,lap/shoulder harness used,not ejected
35,3899510,2,passenger,male,35,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
36,3899513,1,passenger,female,31,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
37,3899513,1,passenger,male,11,no injury,passenger seat 6,air bag not deployed,lap/shoulder harness used,not ejected
38,3899513,1,passenger,female,5,no injury,passenger seat 4,air bag not deployed,lap/shoulder harness used,not ejected
39,3899513,2,passenger,female,1,no injury,passenger seat 6,not required,child restraint in vehicle used,not ejected
40,3899518,1,passenger,male,22,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
41,3899518,1,passenger,male,20,no injury,passenger seat 6,not required,lap/shoulder harness used,not ejected
42,3899518,2,passenger,female,29,no injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
43,3918943,2,driver,male,25,complaint of pain,driver,other,lap/shoulder harness used,not ejected
44,3981302,1,passenger,male,7,no injury,passenger seat 6,not required,lap/shoulder harness used,not ejected
45,3981302,1,passenger,female,10,no injury,passenger seat 4,not required,lap/shoulder harness used,not ejected
46,3981318,2,driver,female,26,complaint of pain,driver,not required,lap belt used,not ejected
47,3981318,2,passenger,male,10,complaint of pain,position unknown,not required,none in vehicle,not ejected
48,3981318,2,passenger,female,12,complaint of pain,position unknown,not required,none in vehicle,not ejected
49,3981318,2,passenger,female,12,complaint of pain,position unknown,not required,none in vehicle,not ejected
50,3981318,2,passenger,female,11,complaint of pain,position unknown,not required,none in vehicle,not ejected
51,3981348,1,passenger,male,17,no injury,passenger seat 3,air bag deployed,lap/shoulder harness used,not ejected
52,3981348,2,passenger,female,60,no injury,passenger seat 6,not required,lap belt not used,not ejected
53,3982882,2,driver,female,51,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
