case_id,db_year
0081715,2021
0726202,2021
3858022,2021
3899441,2021
3899442,2021
3899445,2021
3899446,2021
3899449,2021
3899450,2021
3899453,2021
3899454,2021
3899457,2021
3899458,2021
3899462,2021
3899465,2021
3899466,2021
3899469,2021
3899470,2021
3899473,2021
3899474,2021
3899477,2021
3899478,2021
3899481,2021
3899482,2021
3899485,2021
3899486,2021
3899489,2021
3899490,2021
3899493,2021
3899494,2021
3899497,2021
3899498,2021
3899501,2021
3899502,2021
3899505,2021
3899506,2021
3899509,2021
3899510,2021
3899513,2021
3899514,2021
3899517,2021
3899518,2021
3918943,2021
3981284,2021
3981292,2021
3981302,2021
3981306,2021
3981318,2021
3981333,2021
3981342,2021
3981348,2021
3982060,2021
3982064,2021
3982068,2021
3982072,2021
3982076,2021
3982882,2021
3982883,2021
3982884,2021
3982886,2021
3982887,2021
3982888,2021
3982890,2021
3982891,2021
3982892,2021
3982894,2021
3982895,2021
3982896,2021
3982898,2021
3982899,2021
3982900,2021
3982902,2021
3982903,2021
3982904,2021
3982906,2021
3982907,2021
3982908,2021
3982910,2021
3982911,2021
3982912,2021
3982914,2021
3982915,2021
3982916,2021
3982918,2021
3982919,2021
3982920,2021
3982922,2021
3982923,2021
3982924,2021
3982926,2021
3982927,2021
3982928,2021
3982930,2021
3982931,2021
3982932,2021
3982934,2021
3982935,2021
3982936,2021
3982937,2021
3982938,2021
3982939,2021
3982940,2021
3982941,2021
3982942,2021
3982944,2021
3982945,2021
3982946,2021
3982947,2021
3982948,2021
3982949,2021
3982950,2021
3982951,2021
3982952,2021
3982953,2021
3982954,2021
3982955,2021
3982956,2021
3982957,2021
3982958,2021
3982959,2021
3982960,2021
3984218,2021
3984219,2021
3984244,2021
3984245,2021
3984246,2021
3984274,2021
3984278,2021
3984280,2021
3984281,2021
3984282,2021
3984283,2021
3984284,2021
3984285,2021
3984313,2021
3984314,2021
3984319,2021
3984324,2021
3984328,2021
3984329,2021
3984333,2021
3984348,2021
3984351,2021
3984352,2021
3984353,2021
3984358,2021
3984359,2021
3984361,2021
3984369,2021
3984376,2021
3984381,2021
3984383,2021
3984389,2021
3984398,2021
3984659,2021
