id,case_id,party_number,party_type,at_fault,party_sex,party_age,party_sobriety,party_drug_physical,direction_of_travel,party_safety_equipment_1,party_safety_equipment_2,financial_responsibility,hazardous_materials,cellphone_in_use,cellphone_use_type,school_bus_related,oaf_violation_code,oaf_violation_category,oaf_violation_section,oaf_violation_suffix,other_associate_factor_1,other_associate_factor_2,party_number_killed,party_number_injured,movement_preceding_collision,vehicle_year,vehicle_make,statewide_vehicle_type,chp_vehicle_type_towing,chp_vehicle_type_towed,party_race
1,0081715,1,driver,1,female,35,not applicable,not applicable,north,air bag deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2007,ford,,,,other
2,0081715,2,driver,0,female,43,not applicable,not applicable,north,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2019,,,,,hispanic
3,0726202,1,driver,1,,,impairment unknown,G,north,,,,,,,,,,,,none apparent,,0,0,proceeding straight,2005,,passenger car,"passenger car, station",,
4,3858022,1,driver,1,male,47,impairment unknown,G,east,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,,,,,,,,other,,0,0,,2007,dodge,emergency vehicle,police car,00,black
5,3858022,2,driver,0,male,58,had not been drinking,,east,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,,,,,,,,stop and go traffic,,0,0,,2006,nissan,,,00,hispanic
6,3899441,1,driver,1,male,16,impairment unknown,G,south,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,1994,toyota,passenger car,"passenger car, station",00,asian
7,3899442,1,driver,1,male,40,had not been drinking,,south,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2001,toyota,passenger car,"passenger car, station",00,hispanic
8,3899442,2,driver,0,male,46,had not been drinking,,south,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2003,toyota,passenger car,"passenger car, station",00,asian
9,3899445,1,driver,1,male,24,had not been drinking,,north,air bag deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,other,1999,toyota,passenger car,"passenger car, station",00,hispanic
10,3899445,2,driver,0,female,32,had not been drinking,,north,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2007,nissan,passenger car,"passenger car, station",00,asian
11,3899445,3,driver,0,male,64,had not been drinking,,north,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2004,toyota,passenger car,"passenger car, station",00,white
12,3899446,1,driver,1,male,36,had not been drinking,,south,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2004,bmw,passenger car,"passenger car, station",00,hispanic
13,3899446,2,driver,0,female,41,had not been drinking,,south,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,stopped,2001,nissan,passenger car,mini-vans,00,asian
14,3899446,3,driver,0,female,46,had not been drinking,,south,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,stopped,2003,ford,passenger car,sport utility vehicle,00,white
15,3899449,1,driver,1,male,38,had not been drinking,,south,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2008,chevrolet,passenger car,"passenger car, station",00,black
16,3899449,2,driver,0,male,27,had not been drinking,,south,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,slowing/stopping,2003,ford,passenger car,sport utility vehicle,00,hispanic
17,3899450,1,driver,0,female,72,had not been drinking,,south,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,1,slowing/stopping,2001,toyota,passenger car,"passenger car, station",00,other
18,3899450,2,driver,1,male,20,had not been drinking,,south,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,1995,honda,passenger car,"passenger car, station",00,asian
19,3899453,1,driver,0,male,24,had not been drinking,,east,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2007,honda,passenger car,sport utility vehicle,00,other
20,3899453,2,driver,1,male,66,had not been drinking,,east,air bag deployed,lap/shoulder harness used,no proof of insurance obtained,,0,cellphone not in use,,,unsafe speed,22350,,violation,,0,1,proceeding straight,1995,toyota,passenger car,"passenger car, station",00,asian
21,3899453,3,driver,0,male,42,had not been drinking,,east,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,slowing/stopping,2006,toyota,pickup or panel truck,pickups & panels,00,hispanic
22,3899454,1,pedestrian,1,female,29,had not been drinking,,west,,,not applicable,,0,cellphone not in use,,,,,,none apparent,,0,1,,,,pedestrian,pedestrian,00,hispanic
23,3899454,2,pedestrian,0,female,7,had not been drinking,,west,,,not applicable,,0,cellphone not in use,,,pedestrian violation,21954,A,violation,,0,1,,,,pedestrian,pedestrian,00,hispanic
24,3899454,3,driver,0,female,51,had not been drinking,,north,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,inattention,,0,0,proceeding straight,2001,volkswagen,passenger car,"passenger car, station",00,white
25,3899457,1,driver,1,female,34,had not been drinking,,south,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2004,volvo,passenger car,"passenger car, station",00,asian
26,3899457,2,driver,0,female,56,had not been drinking,,south,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2001,toyota,passenger car,mini-vans,00,hispanic
27,3899458,1,driver,1,male,29,had not been drinking,,north,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2005,cadillac,passenger car,"passenger car, station",00,black
28,3899462,1,driver,1,male,18,had not been drinking,,east,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2001,chevrolet,passenger car,"passenger car, station",00,hispanic
29,3899462,2,driver,0,female,21,had not been drinking,,east,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,slowing/stopping,1989,nissan,passenger car,"passenger car, station",00,hispanic
30,3899465,1,driver,1,male,91,had not been drinking,,south,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,making left turn,2003,ford,passenger car,"passenger car, station",00,
31,3899465,2,pedestrian,0,male,24,had not been drinking,,east,,,not applicable,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,,,pedestrian,pedestrian,00,hispanic
32,3899466,1,driver,1,female,65,had not been drinking,,west,air bag deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2002,lexus,passenger car,"passenger car, station",00,white
33,3899469,1,driver,1,male,52,had not been drinking,,north,air bag deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,entering/leaving ramp,,0,0,proceeding straight,1995,toyota,passenger car,"passenger car, station",00,other
34,3899470,1,driver,1,female,25,had not been drinking,,east,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2003,toyota,passenger car,"passenger car, station",00,hispanic
35,3899473,1,driver,0,male,37,had not been drinking,,east,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2003,honda,passenger car,sport utility vehicle,00,hispanic
36,3899474,1,driver,0,female,40,had not been drinking,,north,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,1,proceeding straight,2003,honda,passenger car,"passenger car, station",00,hispanic
37,3899474,2,driver,1,male,21,had not been drinking,,north,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2007,honda,passenger car,"passenger car, station",00,asian
38,3899477,1,driver,1,male,20,had not been drinking,,west,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,1,making left turn,1985,toyota,passenger car,"passenger car, station",00,white
39,3899477,2,driver,0,female,33,had not been drinking,,east,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,1,proceeding straight,2006,chevrolet,passenger car,sport utility vehicle,00,hispanic
40,3899478,1,driver,1,,,impairment unknown,G,west,,unknown,no proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,backing,1998,dodge,passenger car,sport utility vehicle,00,
41,3899478,2,parked vehicle,0,,,not applicable,not applicable,east,,,not applicable,,0,cellphone not in use,,,,,,none apparent,,0,0,parked,1996,honda,passenger car,"passenger car, station",00,
42,3899481,1,driver,1,,,impairment unknown,G,west,unknown,,,,0,cellphone not in use,,,,,,none apparent,,0,0,other unsafe turning,,,,unknown hit and run vehicle involvement,00,
43,3899481,2,parked vehicle,0,,,not applicable,not applicable,west,,,not applicable,,0,cellphone not in use,,,,,,none apparent,,0,0,parked,2005,chrysler,passenger car,"passenger car, station",00,
44,3899482,1,driver,1,,,impairment unknown,G,east,unknown,,,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,,,pickup or panel truck,pickups & panels,00,
45,3899482,2,driver,0,male,19,had not been drinking,,east,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,slowing/stopping,1991,ford,passenger car,"passenger car, station",00,hispanic
46,3899485,1,driver,0,female,55,had not been drinking,,north,air bag deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2008,honda,passenger car,"passenger car, station",00,white
