work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,company_location,company_size
2023,EN,FT,Applied Scientist,213660,USD,213660,US,L
2023,EN,FT,Applied Scientist,130760,USD,130760,US,L
2023,EN,FT,Data Quality Analyst,100000,USD,100000,NG,L
2023,EN,FT,Compliance Data Analyst,30000,USD,30000,NG,L
2023,EN,FT,Applied Scientist,204620,USD,204620,US,L
2023,EN,FT,Applied Scientist,110680,USD,110680,US,L
2023,EN,FT,Machine Learning Engineer,163196,USD,163196,US,M
2023,EN,FT,Machine Learning Engineer,145885,USD,145885,US,M
2023,EN,FT,Research Scientist,220000,USD,220000,US,L
2023,EN,FT,Data Engineer,85000,USD,85000,US,M
2023,EN,FT,Data Engineer,65000,USD,65000,US,M
2023,EN,FT,Data Analyst,75000,USD,75000,US,M
2023,EN,FT,Data Analyst,70000,USD,70000,US,M
2023,EN,FT,Data Analyst,85000,USD,85000,US,M
2023,EN,FT,Data Analyst,75000,USD,75000,US,M
2023,EN,FT,Data Engineer,1400000,INR,17022,IN,L
2023,EN,FT,Data Engineer,85000,USD,85000,US,M
2023,EN,FT,Data Engineer,65000,USD,65000,US,M
2023,EN,FT,Data Analyst,55000,CAD,40663,CA,L
2023,EN,FT,Data Scientist,70000,CAD,51753,CA,L
2023,EN,FT,Data Scientist,130001,USD,130001,US,M
2023,EN,FT,Data Scientist,71907,USD,71907,US,M
2023,EN,FT,Data Engineer,85000,USD,85000,US,M
2023,EN,FT,Data Engineer,65000,USD,65000,US,M
2023,EN,FT,Applied Scientist,213660,USD,213660,US,L
2023,EN,FT,Applied Scientist,130760,USD,130760,US,L
2023,EN,FT,BI Data Engineer,60000,USD,60000,US,M
2023,EN,FT,Data Engineer,85000,USD,85000,US,M
2023,EN,FT,Data Engineer,65000,USD,65000,US,M
2023,EN,FT,Research Engineer,155000,USD,155000,US,M
2023,EN,FT,Research Engineer,125000,USD,125000,US,M
2023,EN,FT,Research Engineer,155000,USD,155000,US,M
2023,EN,FT,Research Engineer,125000,USD,125000,US,M
2023,EN,FT,Data Analyst,64200,USD,64200,US,M
2023,EN,FT,Data Analyst,56100,USD,56100,US,M
2023,EN,FT,Data Engineer,92700,USD,92700,US,M
2023,EN,FT,Data Engineer,61800,USD,61800,US,M
2023,EN,FT,Business Data Analyst,20000,EUR,21461,ES,M
2023,EN,FT,Research Engineer,160000,USD,160000,US,M
2023,EN,FT,Research Engineer,120000,USD,120000,US,M
2023,EN,FT,Autonomous Vehicle Technician,7000,USD,7000,GH,S
2023,EN,FT,Applied Machine Learning Scientist,40000,EUR,42923,DE,M
2023,EN,FT,Data Scientist,190000,USD,190000,US,M
2023,EN,FT,Data Scientist,120000,USD,120000,US,M
2023,EN,FT,Data Scientist,112000,CHF,121093,CH,L
2023,EN,FT,Data Analyst,85000,USD,85000,US,M
2023,EN,FT,Data Analyst,75000,USD,75000,US,M
2023,EN,FT,Data Engineer,92700,USD,92700,US,M
2023,EN,FT,Data Engineer,61800,USD,61800,US,M
2023,EN,FT,Data Engineer,62000,USD,62000,US,M
2023,EN,FT,Data Engineer,58000,USD,58000,US,M
2023,EN,FT,Data Engineer,125000,USD,125000,US,M
2023,EN,FT,Data Engineer,90000,USD,90000,US,M
2023,EN,FT,Data Analyst,95000,USD,95000,US,M
2023,EN,FT,Data Analyst,70000,USD,70000,US,M
2023,EN,FT,Data Engineer,115100,USD,115100,US,M
2023,EN,FT,Data Engineer,73900,USD,73900,US,M
2023,EN,FT,AI Programmer,70000,USD,70000,AU,L
2023,EN,FT,AI Developer,80000,USD,80000,SE,M
2023,EN,FT,Research Scientist,150000,USD,150000,US,M
2023,EN,FT,Research Scientist,100000,USD,100000,US,M
2023,EN,FT,Data Analyst,75000,USD,75000,US,M
2023,EN,FT,Data Analyst,60000,USD,60000,US,M
2023,EN,FT,Data Engineer,125000,USD,125000,US,M
2023,EN,FT,Data Engineer,90000,USD,90000,US,M
2023,EN,FT,AI Developer,200000,EUR,214618,DE,L
2023,EN,FT,Data Analyst,100000,USD,100000,US,L
2023,EN,FT,Data Analyst,150000,USD,150000,US,M
2023,EN,FT,Data Analyst,100000,USD,100000,US,M
2023,EN,FT,Research Scientist,150000,USD,150000,US,M
2023,EN,FT,Research Scientist,100000,USD,100000,US,M
2023,EN,FT,Data Analyst,85000,USD,85000,US,M
2023,EN,FT,Data Analyst,75000,USD,75000,US,M
2023,EN,FT,Data Analyst,30000,USD,30000,IN,M
2023,EN,FT,Computer Vision Engineer,220000,USD,220000,US,M
2023,EN,FT,AI Developer,60000,EUR,64385,DE,M
2023,EN,FT,Data Analyst,55000,USD,55000,US,M
2023,EN,FT,Data Analyst,48000,USD,48000,US,M
2023,EN,PT,Data Analyst,78000,PLN,17779,IN,L
2023,EN,FT,Data Scientist,101400,BRL,19522,BR,L
2023,EN,FT,Data Analyst,75000,USD,75000,US,M
2023,EN,FT,Data Analyst,60000,USD,60000,US,M
2023,EN,FT,Research Engineer,120000,USD,120000,GB,M
2023,EN,FT,Research Engineer,60000,USD,60000,GB,M
2023,EN,FT,Data Analyst,60000,USD,60000,US,L
2023,EN,FT,Data Analyst,50000,USD,50000,US,L
2023,EN,FT,Data Scientist,800000,INR,9727,IN,L
2023,EN,FT,Data Analyst,85000,USD,85000,US,M
2023,EN,FT,Data Analyst,75000,USD,75000,US,M
2023,EN,FT,Data Engineer,12000,USD,12000,VN,L
2023,EN,FT,Data Analyst,55000,USD,55000,US,M
2023,EN,FT,Data Analyst,48000,USD,48000,US,M
2023,EN,FT,Data Analyst,100000,USD,100000,US,M
2023,EN,FT,Data Scientist,110000,USD,110000,US,S
2023,EN,FT,Data Scientist,1050000,INR,12767,IN,L
2023,EN,FT,Data Engineer,25000,EUR,26827,DE,L
2023,EN,FT,BI Developer,160000,USD,160000,US,M
2023,EN,FT,BI Developer,100000,USD,100000,US,M
2023,EN,FT,Big Data Engineer,130000,USD,130000,SE,S
2023,EN,FT,Data Engineer,160000,USD,160000,US,M
2023,EN,FT,Data Engineer,135000,USD,135000,US,M
2023,EN,FT,Data Analyst,30000,USD,30000,US,S
2023,EN,FT,Data Scientist,124234,USD,124234,US,M
