PlayerId,DisplayName,Height,Weight,Dob,Position,Origin
2020654979,"Aarts, Jake",177,75,8-Dec-94,Forward,Richmond
2018655703,"Abbott, Ryan",200,100,25-Jun-91,Ruck,Grovedale Tigers
2002652211,"Ablett, Gary",182,87,14-May-84,Forward,Geelong Falcons
2014651814,"Acres, Blake",191,90,7-Oct-95,Midfield,West Perth
2007653719,"Adams, Leigh",176,79,6-Apr-88,Forward,Eastern Ranges
2016652575,"Adams, Marcus",192,93,30-Jun-93,Defender,West Perth
2012656391,"Adams, Taylor",181,83,20-Sep-93,Midfield,Geelong Falcons
2004652814,"Adcock, Jed",183,83,15-Nov-85,"Defender, Forward",GWV Rebels
2006658504,"Addison, Dylan",184,84,7-Oct-87,Forward,St George
2015654090,"Ah Chee, Brendon",189,88,21-Dec-93,Midfield,South Fremantle
2016654616,"Ah Chee, Callum",182,78,9-Oct-97,Defender,South Fremantle
2018651635,"Ahern, Paul",183,85,1-Aug-96,"Defender, Midfield",Calder Cannons
2017651121,"Ainsworth, Ben",178,77,10-Feb-98,Forward,Gippsland Power
2018658021,"Ainsworth, Brayden",184,80,27-Nov-98,"Midfield, Forward",Subiaco
2014659159,"Aish, James",183,80,8-Nov-95,Defender,Norwood
2022658947,"Aleer, Leek",195,85,21-Aug-2001,Defender,Central District
2016655002,"Aliir, Aliir",195,97,5-Sep-94,Defender,East Fremantle
2012659703,"Allen, Jackson",179,79,14-Apr-93,Defender,Morningside
2018659713,"Allen, Oscar",192,87,19-Mar-99,Forward,West Perth
2017654463,"Allison, Jacob",193,82,16-Apr-98,Midfield,Aspley
2020651689,"Amartey, Joel",197,96,2-Sep-99,Ruck,Sandringham Dragons
2014655392,"Ambrose, Patrick",191,92,1-Sep-91,Defender,Old Xaverians
2022655672,"Amiss, Jye",196,83,31-Jul-2003,Forward,East Perth
2015653134,"Amon, Karl",181,71,19-Aug-95,Midfield,Sandringham Dragons
2013651330,"Anderson, Jed",179,81,2-Feb-94,Midfield,NT Thunder
2020653600,"Anderson, Noah",188,86,17-Feb-01,Midfield,Oakleigh Chargers
2022652598,"Andrew, Mac",201,74,4-Dec-2003,Defender,Dandenong Stingrays
2015656514,"Andrews, Harris",201,100,11-Dec-96,Defender,Aspley
2022659018,"Angwin, Ryan",185,80,12-Dec-2002,Midfield,Gippsland Power
2019652827,"Answerth, Noah",182,82,6-Aug-99,Defender,Oakleigh Chargers
2008657808,"Anthony, John",192,92,19-Jan-88,Forward,Northern Knights
