tag,first_occurrence_date
actionscript,2016-01-01
actionscript-3,2016-01-01
amazon,2016-01-01
amazon-cloudformation,2016-09-01
amazon-cloudfront,2016-01-01
amazon-cloudsearch,2016-01-01
amazon-cloudwatch,2016-09-01
amazon-cognito,2016-09-01
amazon-data-pipeline,2016-09-01
amazon-dynamodb,2016-09-01
amazon-ebs,2016-09-01
amazon-ec2,2016-01-01
amazon-ecs,2016-09-01
amazon-elastic-beanstalk,2016-09-01
amazon-elasticache,2016-09-01
amazon-elb,2016-09-01
amazon-emr,2016-09-01
amazon-glacier,2016-09-01
amazon-kinesis,2016-09-01
amazon-lambda,2016-09-01
amazon-mws,2016-09-01
amazon-rds,2016-09-01
amazon-rds-aurora,2016-09-01
amazon-redshift,2016-09-01
amazon-route53,2016-01-01
amazon-s3,2016-01-01
amazon-ses,2016-09-01
amazon-simpledb,2016-09-01
amazon-sns,2016-09-01
amazon-sqs,2016-09-01
amazon-swf,2016-09-01
amazon-vpc,2016-09-01
amazon-web-services,2016-01-01
android,2016-01-01
android-pay,2017-03-17
applepay,2017-03-18
applepayjs,2017-03-18
azure,2016-01-01
citrix,2016-01-01
cognos,2016-01-01
dropbox,2016-01-01
dropbox-api,2016-01-01
excel,2016-01-01
google-spreadsheet,2016-01-01
ios,2016-01-01
ios8,2016-01-01
ios9,2016-01-01
mongodb,2016-01-01
osx,2016-01-01
paypal,2016-01-01
sql-server,2016-01-01
stripe-payments,2016-01-01
windows,2016-01-01
