id,name
1,Ivan Putski
2,Peter Maivia
3,Allen Coage
4,Special Delivery Jones
5,Steve Travis
6,Mike Hall
7,Bruno Sammartino
8,Ivan Koloff
9,Dominic DeNucci
10,Baron Mikel Scicluna
11,Dick Murdoch
12,Johnny Rodz
13,Fred Curry
14,Victor Rivera
15,Captain Lou Albano & Jimmy Valiant & Johnny Valiant
16,Dusty Rhodes & Larry Zbyszko & Tony Garea
17,Bob Backlund
18,Greg Valentine
19,Larry Zbyszko & Tony Garea
20,Peter Maivia & Stan Stasiak
21,Chief Jay Strongbow & Dominic DeNucci
22,Jimmy Valiant & Johnny Valiant
26,Frankie Williams
27,Tatsumi Fujinami
28,Tony Russo
37,Roddy Piper
39,Suzette Ferrara & The Fabulous Moolah
40,Joyce Grable & Winona Littleheart
41,Chief Jay Strongbow
43,Dusty Rhodes
44,Yukon Pierre
46,Stan Stasiak & Victor Rivera
52,Crusher Blackwell
53,Ernie Ladd
54,Larry Zbyszko
56,Jose Estrada
58,Spiros Arion
59,Harley Race
60,Tony Garea
61,Antonio Inoki
62,Texas Red
65,Ivan Koloff & Victor Rivera & Yukon Pierre
66,Dino Bravo & Dominic DeNucci & Dusty Rhodes
71,Luke Graham
72,Mike Paidousis
73,Ivan Koloff & Yukon Eric & Yukon Pierre
74,Gorilla Monsoon & Larry Zbyszko & Tony Garea
77,Billy Graham
78,Dino Bravo
85,Andre the Giant
88,Del Adams
93,Yukon Eric & Yukon Pierre
94,Chief Jay Strongbow & Peter Maivia
107,Stan Stasiak
118,Butcher Vachon
120,Yukon Eric
125,Haystacks Calhoun
135,The Fabulous Moolah
136,Vicki Williams
139,Andre the Giant & Dino Bravo & Tony Garea
140,Spiros Arion & Yukon Eric & Yukon Pierre
152,Gorilla Monsoon & Special Delivery Jones
153,Jack Brisco
158,George Steele
165,Mil Mascaras
166,Ken Patera
169,Andre the Giant & Ivan Putski
170,Billy Graham & Luke Graham
172,Dino Bravo & Dominic DeNucci
176,Haystacks Calhoun & Larry Zbyszko
178,Strong Kobayashi
180,Tank Patton
182,Mr. Fuji & Mr. Saito
188,Gorilla Monsoon
192,The Golden Terror
196,Johnny Rodz & Stan Stasiak
200,Steve King
206,Gypsy Rodriguez
207,Seiji Sakaguchi
208,Willem Ruska
209,Dick Slater
211,Mike Graham & Steve Keirn
212,Butcher Vachon & The Golden Greek
217,Andre the Giant & Dusty Rhodes & Mil Mascaras
218,Ken Patera & Mr. Fuji & Professor Toru Tanaka
222,Ted Adams
225,Little Johnny & Lord Littlebrook
226,Hillbilly Pete & Wee Willie Wilson
228,Butcher Vachon & Stan Stasiak
232,Mr. Fuji
234,Professor Toru Tanaka
241,Carlos Colon
242,Jack Evans
245,Steve Keirn
246,Larry Sharpe
251,Bob Backlund & Larry Zbyszko & Peter Maivia & Tony Garea
252,Baron Mikel Scicluna & Mr. Fuji & Professor Toru Tanaka & Stan Stasiak
262,Johnny Rivera
263,Arnold Skaaland
264,Captain Lou Albano
274,Jack Evans & Larry Sharpe
276,Dewey Robertson
285,Mr. Fuji & Professor Toru Tanaka
289,Kitty Adams & Leilani Kai
290,Vivian St. John & Winona Littleheart
296,Lenny Hurst
307,Cowboy Lang & The Haiti Kid
308,Little Johnny & Little Tokyo
321,Chief Jay Strongbow & Larry Zbyszko & Tony Garea
322,Captain Lou Albano & Ken Patera & Stan Stasiak
324,Rocky Tamayo
326,Joe Turco
332,Baron Mikel Scicluna & George Steele
337,Verne Gagne
338,Nikolai Volkoff
344,George Steele & Stan Stasiak
346,Baron Von Raschke
348,Jose Gonzales & Lenny Hurst
355,Jose Gonzales
356,Jan Nelson
361,Andre the Giant & Chief Jay Strongbow
362,Ken Patera & Nikolai Volkoff
372,Dominic DeNucci & Haystacks Calhoun
373,Carlos Rocha
375,Ron Mickolajoka
376,Doug Gilbert
381,Billy White Wolf
384,Nikolai Volkoff & Stan Stasiak
390,Baron Mikel Scicluna & Baron Von Raschke & Billy White Wolf & Chief Jay Strongbow & Doug Gilbert & Frank Monroe & Jan Nelson & Johnny Rodz & Ken Patera & Larry Zbyszko & Santacopita & Special Delivery Jones & Ted Adams & Tony Garea
404,Frank Monroe
414,Tor Kamata
422,Executioner #2
433,The Haiti Kid & The Hillbilly Kid
434,Billy The Kid & Little Johnny
440,Executioner #1
443,Ivan Putski & Larry Zbyszko
444,Ken Patera & Stan Stasiak
445,Don Kent
447,Gino Hernandez
451,Bobo Brazil
461,Billy White Wolf & Chief Jay Strongbow
462,Stan Stasiak & Tor Kamata
470,Nikolai Volkoff & Tor Kamata
474,Manuel Soto
478,Pete Sanchez
484,Don Serrano
485,Greg Gagne
488,Dominic DeNucci & Manuel Soto
489,Pat Patterson
494,Executioner #1 & Executioner #2
496,Bruiser Brody
502,Jack Veneno
509,Chavo Guerrero
513,Andre the Giant & Dominic DeNucci
519,Bobo Johnson & Cowboy Colt
522,Joyce Grable
537,Stan Hansen
544,Kevin Sullivan
551,Andre the Giant & Billy White Wolf & Chief Jay Strongbow
