"name","critic_score","user_score"
"Wii Sports for Wii",7.7,8
"Super Mario Bros. for NES",10,8.2
"Counter-Strike: Global Offensive for PC",8,7.5
"Mario Kart Wii for Wii",8.2,9.1
"PLAYERUNKNOWN'S BATTLEGROUNDS for PC",8.6,4.7
"Minecraft for PC",10,7.8
"Wii Sports Resort for Wii",8,8.8
"Pokemon Red / Green / Blue Version for GB",9.4,8.8
"New Super Mario Bros. for DS",9.1,8.1
"New Super Mario Bros. Wii for Wii",8.6,9.2
"Tetris for GB",9.4,8.7
"Call of Duty: Modern Warfare for PS4",8,3.3
"Duck Hunt for NES",7.5,8.3
"Wii Play for Wii",5.9,6.5
"Mario Kart 8 Deluxe for NS",9.3,8.7
"Kinect Adventures! for X360",6.7,null
"Nintendogs for DS",8.4,8.5
"Mario Kart DS for DS",9.1,9.4
"Pokemon Gold / Silver Version for GB",9.2,8.8
"Wii Fit for Wii",7.9,null
"Wii Fit Plus for Wii",8,null
"Super Mario World for SNES",8.5,9.3
"Grand Theft Auto V for PS3",9.4,8.3
"Grand Theft Auto V for PS4",9.7,8.4
"Brain Age: Train Your Brain in Minutes a Day for DS",8.1,null
"Super Smash Bros. Ultimate for NS",9.4,9.7
"Mario Kart 7 for 3DS",8.2,8.3
"Pokemon Diamond / Pearl Version for DS",8.6,null
"Super Mario Odyssey for NS",9.9,9
"The Legend of Zelda: Breath of the Wild for NS",9.9,10
"Pokemon Sword / Shield for NS",8,4.6
"Grand Theft Auto: San Andreas for PS2",9.5,9.1
"Super Mario Bros. 3 for NES",9.8,9.3
"Pokemon X/Y for 3DS",8.9,9.7
"Uncharted 4: A Thief's End for PS4",9.2,8.4
"Pokemon Ruby / Sapphire Version for GBA",8.8,8.6
"Pokemon Sun/Moon for 3DS",9,7.7
"Grand Theft Auto: Vice City for PS2",9.6,8.8
"Grand Theft Auto V for X360",10,null
"Pokemon Black / White Version for DS",8.6,9
"Call of Duty: Black Ops 3 for PS4",8.1,4.9
"Counter-Strike: Source for PC",9.3,null
"Sonic the Hedgehog for GEN",8.6,8.3
"Gran Turismo 3: A-Spec for PS2",9.3,8.9
"Brain Age 2: More Training in Minutes a Day for DS",8,null
"Call of Duty: Modern Warfare 3 for X360",8.7,null
"Call of Duty: Black Ops for X360",8.8,null
"Pokemon Yellow: Special Pikachu Edition for GB",8.7,8.8
"Halo 3 for X360",9.6,9.5
"Pokemon Omega Ruby/Pokemon Alpha Sapphire for 3DS",8.3,7.4
"Terraria for PC",8.8,8.6
"Red Dead Redemption 2 for PS4",9.8,7.9
"Call of Duty: Black Ops II for X360",9.3,null
"Call of Duty: Black Ops II for PS3",9.3,null
"Call of Duty: Modern Warfare 2 for X360",9.5,9
"Animal Crossing: New Horizons for NS",9,5.4
"Call of Duty: WWII for PS4",8,4.3
"Call of Duty: Modern Warfare 3 for PS3",8.8,null
"New Super Mario Bros. 2 for 3DS",7.5,7.3
"Super Smash Bros. Brawl for Wii",9.2,9.7
"Marvel's Spider-Man for PS4",9.1,8.7
"Grand Theft Auto III for PS2",9.5,null
"Portal 2 for PC",9.7,9
"Minecraft for X360",8.5,null
"Super Mario Galaxy for Wii",9.7,9.6
"Pokemon Heart Gold / Soul Silver Version for DS",8.6,null
"Super Mario 3D Land for 3DS",8.9,8.4
"Call of Duty: Black Ops for PS3",8.7,null
"Grand Theft Auto V for PC",9.6,7.7
"Animal Crossing: New Leaf for 3DS",8.6,8.8
"The Witcher 3: Wild Hunt for PC",9.3,9.4
"Pokemon FireRed / LeafGreen Version for GBA",8.3,null
"World of Warcraft for PC",9.2,8
"Half-Life 2 for PC",9.7,null
"Diablo III for PC",9,4.1
"""Pokemon: Let's Go, Pikachu/Eevee for NS""",8,6.2
"Gran Turismo 5 for PS3",8.3,null
"Super Mario 64 for N64",9.7,9
"FIFA 18 for PS4",8.3,3.4
