rank,title,name,ticker,url,hq,sector,industry,employees,revenues,revenues_change,profits,profits_change,assets,equity
1,Walmart,"Wal-Mart Stores, Inc.",WMT,http://www.walmart.com,"Bentonville, AR",Retailing,General Merchandisers,2300000,485873.0,0.8,13643.0,-7.2,198825,77798.0
2,Berkshire Hathaway,Berkshire Hathaway Inc.,BRKA,http://www.berkshirehathaway.com,"Omaha, NE",Financials,Insurance: Property and Casualty (Stock),367700,223604.0,6.1,24074.0,0.0,620854,283001.0
3,Apple,"Apple, Inc.",AAPL,http://www.apple.com,"Cupertino, CA",Technology,"Computers, Office Equipment",116000,215639.0,-7.7,45687.0,-14.4,321686,128249.0
4,Exxon Mobil,Exxon Mobil Corporation,XOM,http://www.exxonmobil.com,"Irving, TX",Energy,Petroleum Refining,72700,205004.0,-16.7,7840.0,-51.5,330314,167325.0
5,McKesson,McKesson Corporation,MCK,http://www.mckesson.com,"San Francisco, CA",Wholesalers,Wholesalers: Health Care,68000,192487.0,6.2,2258.0,53.0,56563,8924.0
6,UnitedHealth Group,UnitedHealth Group Incorporated,UNH,http://www.unitedhealthgroup.com,"Minnetonka, MN",Health Care,Health Care: Insurance and Managed Care,230000,184840.0,17.7,7017.0,20.7,122810,38274.0
7,CVS Health,CVS Health Corporation,CVS,http://www.cvshealth.com,"Woonsocket, RI",Health Care,Health Care: Pharmacy and Other Services,204000,177526.0,15.8,5317.0,1.5,94462,36830.0
8,General Motors,General Motors Company,GM,http://www.gm.com,"Detroit, MI",Motor Vehicles & Parts,Motor Vehicles and Parts,225000,166380.0,9.2,9427.0,-2.7,221690,43836.0
9,AT&T,AT&T Inc.,T,http://www.att.com,"Dallas, TX",Telecommunications,Telecommunications,268540,163786.0,11.6,12976.0,-2.8,403821,123135.0
10,Ford Motor,Ford Motor Company,F,http://www.ford.com,"Dearborn, MI",Motor Vehicles & Parts,Motor Vehicles and Parts,201000,151800.0,1.5,4596.0,-37.7,237951,29170.0
11,AmerisourceBergen,AmerisourceBergen Corp.,ABC,http://www.amerisourcebergen.com,"Chesterbrook, PA",Wholesalers,Wholesalers: Health Care,18500,146850.0,8.0,1427.9,,33656,2129.0
12,Amazon.com,"Amazon.com, Inc.",AMZN,http://www.amazon.com,"Seattle, WA",Technology,Internet Services and Retailing,341400,135987.0,27.1,2371.0,297.8,83402,19285.0
