franchise_id,franchise_name,active,na_assoc
ALT,Altoona Mountain City,N,
ANA,Los Angeles Angels of Anaheim,Y,
ARI,Arizona Diamondbacks,Y,
ATH,Philadelphia Athletics,N,PNA
ATL,Atlanta Braves,Y,BNA
BAL,Baltimore Orioles,Y,
BFB,Buffalo Bisons,N,
BFL,Buffalo Bisons,N,
BLC,Baltimore Canaries,,
BLO,Baltimore Orioles,N,
BLT,Baltimore Terrapins,N,
BLU,Baltimore Monumentals,N,
BNA,Boston Red Stockings,,ATL
BOS,Boston Red Sox,Y,
BRA,Brooklyn Atlantics,,
BRD,Boston Reds,N,
BRG,Brooklyn Gladiators,N,
BRS,Boston Reds,N,
BTT,Brooklyn Tip-Tops,N,
BUF,Buffalo Bisons,N,
BWW,Brooklyn Ward's Wonders,N,
CBK,Columbus Buckeyes,N,
CBL,Cleveland Blues,N,
CEN,Philadelphia Centennials,,
CFC,Cleveland Forest Citys,,
CHC,Chicago Cubs,Y,CNA
CHH,Chicago Whales,N,
CHP,Chicago Pirates,N,
CHW,Chicago White Sox,Y,
CIN,Cincinnati Reds,Y,
CKK,Cincinnati Kelly's Killers,N,
CLE,Cleveland Indians,Y,
CLI,Cleveland Infants,N,
CLS,Columbus Solons,N,
CLV,Cleveland Spiders,N,
CNA,Chicago White Stockings,,CHC
CNR,Cincinnati Reds,N,
COL,Colorado Rockies,Y,
COR,Cincinnati Outlaw Reds,N,
CPI,Chicago/Pittsburgh (Union League),N,
DET,Detroit Tigers,Y,
DTN,Detroit Wolverines,N,
ECK,Brooklyn Eckfords,,
FLA,Florida Marlins,Y,
HAR,Hartford Dark Blues,N,HNA
HNA,Hartford Dark Blues,,HAR
HOU,Houston Astros,Y,
IBL,Indianapolis Blues,N,
IHO,Indianapolis Hoosiers,N,
IND,Indianapolis Hoosiers,N,
KCC,Kansas City Cowboys,N,
KCN,Kansas City Cowboys,N,
KCP,Kansas City Packers,N,
KCR,Kansas City Royals,Y,
KCU,Kansas City Cowboys,N,
KEK,Fort Wayne Kekiongas,,
LAD,Los Angeles Dodgers,Y,
LGR,Louisville Grays,N,
LOU,Louisville Colonels,N,
MAN,Middletown Mansfields,,
MAR,Baltimore Marylands,,
MIL,Milwaukee Brewers,Y,
MIN,Minnesota Twins,Y,
MLA,Milwaukee Brewers,N,
MLG,Milwaukee Grays,N,
MLU,Milwaukee Brewers,N,
NAT,Washington Nationals,,
NEW,Newark Pepper,N,
NHV,New Haven Elm Citys,,
NNA,New York Mutuals,,NYU
NYI,New York Giants,N,
NYM,New York Mets,Y,
NYP,New York Metropolitans,N,
NYU,New York Mutuals,N,NNA
NYY,New York Yankees,Y,
OAK,Oakland Athletics,Y,
OLY,Washington Olympics,,
PBB,Pittsburgh Burghers,N,
PBS,Pittsburgh Rebels,N,
PHA,Philadelphia Athletics,N,
PHI,Philadelphia Phillies,Y,
PHK,Philadelphia Keystones,N,
PHQ,Philadelphia Athletics,N,
PIT,Pittsburgh Pirates,Y,
PNA,Philadelphia Athletics,,ATH
PRO,Providence Grays,N,
PWS,Philadelphia White Stockings,,
RES,Elizabeth Resolutes,,
RIC,Richmond Virginians,N,
ROC,Rochester Broncos,N,
ROK,Rockford Forest Citys,,
SBS,St. Louis Brown Stockings,N,SNA
SDP,San Diego Padres,Y,
SEA,Seattle Mariners,Y,
SFG,San Francisco Giants,Y,
SLI,St. Louis Terriers,N,
SLM,St. Louis Maroons,N,
SLR,St. Louis Red Stockings,,
SNA,St. Louis Brown Stockings,,SBS
STL,St. Louis Cardinals,Y,
STP,St. Paul Apostles,N,
SYR,Syracuse Stars,N,
SYS,Syracuse Stars,N,
TBD,Tampa Bay Rays,Y,
TEX,Texas Rangers,Y,
TLM,Toledo Maumees,N,
TOL,Toledo Blue Stockings,N,
TOR,Toronto Blue Jays,Y,
TRO,Troy Haymakers,,
TRT,Troy Trojans,N,
WAS,Washington Senators,N,
WBL,Washington Blue Legs,,
WES,Keokuk Westerns,,
WIL,Wilmington Quicksteps,N,
WNA,Washington Nationals,N,
WNL,Washington Nationals,N,
WNT,Washington Nationals,,
WOR,Worcester Ruby Legs,N,
WSN,Washington Nationals,Y,
WST,Washington Statesmen,N,
