date,close,volume,open,high,low
2014-08-25,191.16,1723557,191.39,191.81,190.71
2014-08-26,192.99,3158767,191.02,193.53,191.02
2014-08-27,192.25,2190185,193.03,194.133,191.56
2014-08-28,192.0,1503582,191.47,192.2986,190.66
2014-08-29,192.3,2909422,192.28,192.75,191.14
2014-09-02,191.56,2679529,192.68,192.97,190.93
2014-09-03,191.95,1822765,192.39,192.95,191.86
2014-09-04,190.68,2864944,191.69,192.69,190.06
2014-09-05,191.2,2260202,190.53,191.75,190.09
2014-09-08,190.14,2524233,190.75,191.2,189.51
2014-09-09,189.99,2390391,190.34,190.74,189.78
2014-09-10,191.54,2763994,190.12,192.15,190.1
2014-09-11,191.72,2297955,191.08,192.78,190.12
2014-09-12,191.28,2900953,191.47,191.6,190.57
2014-09-15,191.81,2456411,191.42,192.49,190.58
2014-09-16,192.96,2561528,191.25,193.57,190.82
2014-09-17,192.8,3126159,193.22,193.64,192.3
2014-09-18,193.75,2963346,192.79,194.13,192.71
2014-09-19,194.0,8847306,194.54,195.0,193.19
2014-09-22,193.11,3288454,193.72,194.14,192.63
2014-09-23,191.62,3300715,192.75,193.07,191.52
2014-09-24,192.31,3082583,191.0,192.45,189.88
2014-09-25,189.01,4151355,192.05,192.5,188.97
2014-09-26,190.06,2493862,188.93,190.33,188.61
2014-09-29,189.64,2336317,188.51,189.96,188.12
2014-09-30,189.83,2870283,189.64,190.85,189.15
2014-10-01,187.17,3705432,189.91,190.4,186.79
2014-10-02,186.91,2281749,187.66,187.78,186.24
2014-10-03,188.67,3071521,188.11,189.37,187.56
2014-10-06,189.04,2099525,189.69,190.89,188.71
2014-10-07,185.71,2990954,187.77,188.12,185.54
2014-10-08,189.36,2982451,185.97,189.6,185.61
2014-10-09,186.42,2625359,189.12,189.5,186.09
2014-10-10,185.93,5090174,185.86,187.74,185.1
2014-10-13,183.52,3596738,185.49,186.65,183.42
2014-10-14,183.8,3924621,184.89,185.72,183.59
2014-10-15,181.75,6895843,182.46,183.79,178.7488
2014-10-16,179.84,5578469,179.8,181.48,178.69
2014-10-17,182.05,4350238,181.24,182.84,180.22
2014-10-20,169.1,23393800,166.845,170.331,166.69
2014-10-21,163.23,20947830,166.4,166.68,161.68
2014-10-22,161.79,11084830,162.41,165.41,161.1
2014-10-23,162.18,7599154,162.12,162.83,161.54
2014-10-24,162.08,6652126,162.08,162.44,161.45
2014-10-27,161.87,4989112,162.0,162.91,161.81
2014-10-28,163.6,7894973,162.0,163.6,161.8
2014-10-29,163.46,4738734,164.33,164.615,162.76
2014-10-30,164.35,3895869,163.5,164.62,163.02
2014-10-31,164.4,5817961,165.48,165.59,163.6165
2014-11-03,164.36,4683808,164.25,164.54,163.375
2014-11-04,162.65,4241264,164.34,164.36,162.24
2014-11-05,161.82,4102438,163.13,163.54,161.56
2014-11-06,161.46,4067487,161.28,161.53,160.05
2014-11-07,162.07,3491874,161.42,162.2069,160.85
2014-11-10,163.49,4956409,161.9,164.47,161.61
2014-11-11,163.3,3534400,163.7,163.9,162.6
2014-11-12,161.92,3377542,162.28,163.0,161.76
2014-11-13,162.79,3239343,162.0,162.8,161.8
2014-11-14,164.16,4974605,162.1,164.49,161.69
2014-11-17,164.16,4795042,164.16,164.97,163.72
2014-11-18,161.89,5410056,164.73,164.75,161.89
2014-11-19,161.43,3801179,162.05,162.1,160.96
2014-11-20,160.64,4182186,160.95,161.5,159.8
2014-11-21,160.92,4076193,161.83,161.95,160.75
2014-11-24,162.15,6615896,161.54,163.86,161.06
2014-11-25,161.76,4062338,162.65,163.5,161.56
2014-11-26,161.95,3966022,161.93,162.1,161.01
2014-11-28,162.17,2405512,162.75,163.37,161.44
2014-12-01,161.54,4165523,161.64,163.315,161.35
2014-12-02,162.67,3465647,162.47,162.73,161.64
2014-12-03,164.52,6432090,162.47,164.52,162.0
2014-12-04,164.05,3860288,164.01,164.5,163.01
2014-12-05,163.27,3013455,163.61,164.5,162.91
2014-12-08,161.86,2851383,163.29,163.29,161.54
2014-12-09,162.99,3865355,160.84,163.02,160.8
2014-12-10,160.51,4081495,163.01,163.33,160.03
2014-12-11,161.07,3987625,160.82,162.93,160.52
2014-12-12,155.38,8603486,160.25,160.5,155.33
2014-12-15,153.06,6489279,155.93,156.739,152.84
2014-12-16,151.41,6781567,152.03,154.89,150.5
2014-12-17,151.93,5135799,151.52,153.308,151.11
2014-12-18,157.68,7289467,153.58,157.68,153.3
2014-12-19,158.51,8863708,157.49,160.41,157.49
2014-12-22,161.44,4671176,158.33,161.91,158.33
2014-12-23,162.24,4044120,162.23,162.9,161.61
2014-12-24,161.82,1869977,162.88,162.99,161.61
2014-12-26,162.34,1912278,162.27,163.09,162.01
2014-12-29,160.51,3328597,162.0,162.34,159.45
2014-12-30,160.05,2820875,160.02,160.82,159.79
2014-12-31,160.44,4007568,160.41,161.5,160.38
2015-01-02,162.06,5521275,161.31,163.31,161.0
2015-01-05,159.51,4877949,161.27,161.27,159.19
2015-01-06,156.07,6140885,159.67,159.96,155.17
2015-01-07,155.05,4694891,157.2,157.2,154.03
2015-01-08,158.42,4240432,156.24,159.044,155.55
2015-01-09,159.11,4485123,158.42,160.34,157.25
2015-01-12,156.44,4185540,159.0,159.25,155.76
2015-01-13,156.81,4376654,157.26,159.97,155.68
2015-01-14,155.8,4679570,154.86,156.49,153.74
2015-01-15,154.57,4251472,156.69,156.97,154.16
2015-01-16,157.14,5755866,153.82,157.63,153.82
2015-01-20,156.95,8368458,156.7,157.33,154.03
2015-01-21,152.09,11891690,153.03,154.5,151.07
2015-01-22,155.39,6118450,151.94,155.72,151.76
2015-01-23,155.87,4830128,155.03,157.6,154.89
2015-01-26,156.36,7887907,158.26,159.46,155.77
2015-01-27,153.67,5659328,154.94,155.09,152.59
2015-01-28,151.55,4493190,154.0,154.53,151.55
2015-01-29,155.48,8312100,151.38,155.58,149.52
2015-01-30,153.31,6563442,153.91,155.24,153.04
2015-02-02,154.66,4711986,154.0,154.66,151.51
2015-02-03,158.47,5536804,154.75,158.6,154.75
2015-02-04,156.96,3676106,157.21,158.71,156.7
2015-02-05,157.91,5253628,157.29,158.59,157.1501
2015-02-06,156.72,3256440,157.34,158.08,156.23
2015-02-09,155.75,2981444,156.0,157.5,155.4
2015-02-10,158.56,4440579,156.74,158.56,155.08
2015-02-11,158.2,3626629,157.76,159.09,157.17
2015-02-12,158.52,3331904,158.72,159.5,158.09
2015-02-13,160.4,3706909,158.78,160.8,158.64
2015-02-17,160.96,2892929,159.75,161.41,159.73
