item_no,length,width,height,operator,rolling_mean,rolling_std,upper_control_limit,lower_control_limit,out_of_control
1,102.67,49.53,19.69,Op-1,,,,,False
2,102.5,51.42,19.63,Op-1,,,,,False
3,95.37,52.25,21.51,Op-1,,,,,False
4,94.77,49.24,18.6,Op-1,,,,,False
5,104.26,47.9,19.46,Op-1,19.778,1.0628123070420294,22.96643692112609,16.58956307887391,False
6,105.18,49.39,20.36,Op-1,19.912,1.0908116244338433,23.18443487330153,16.639565126698468,False
7,97.35,48.05,20.22,Op-1,20.03,1.0845736489515128,23.28372094685454,16.776279053145462,False
8,99.35,44.59,21.03,Op-1,19.934,0.9312249996644199,22.727674998993262,17.14032500100674,False
9,90.62,47.29,19.78,Op-1,20.169999999999998,0.5988321968631938,21.96649659058958,18.373503409410418,False
10,97.22,52.14,20.71,Op-1,20.42,0.4768123320552835,21.850436996165854,18.98956300383415,False
11,100.0,54.76,20.62,Op-1,20.472,0.48277323869493616,21.92031971608481,19.023680283915194,False
12,97.23,48.26,19.51,Op-1,20.330000000000002,0.6506535176266995,22.2819605528801,18.378039447119903,False
13,105.72,50.04,20.06,Op-1,20.136000000000003,0.521564952810288,21.700694858430868,18.571305141569137,False
14,89.82,45.98,20.3,Op-1,20.240000000000002,0.4832701108076089,21.68981033242283,18.790189667577174,False
15,99.17,53.54,20.25,Op-1,20.148,0.40959736327276086,21.37679208981828,18.91920791018172,False
16,95.51,45.36,20.52,Op-1,20.128000000000004,0.3823218539398417,21.274965561819528,18.98103443818048,False
17,107.69,48.18,19.33,Op-1,20.092000000000002,0.45636608112347543,21.46109824337043,18.722901756629575,False
18,106.83,50.81,19.12,Op-1,19.904,0.6324792486714467,21.80143774601434,18.00656225398566,False
19,98.73,55.76,19.37,Op-1,19.718,0.6235944194747074,21.588783258424122,17.847216741575878,False
20,94.31,48.74,18.8,Op-1,19.428,0.6508993777843065,21.380698133352922,17.47530186664708,False
21,104.87,49.73,19.94,Op-1,19.312,0.41745658456898044,20.56436975370694,18.05963024629306,False
22,98.06,48.39,19.79,Op-1,19.404,0.46981911412797805,20.813457342383934,17.994542657616066,False
23,108.45,44.46,22.31,Op-1,20.042,1.3427471839478922,24.07024155184368,16.013758448156324,False
24,95.34,46.03,20.17,Op-1,20.202,1.2892517209606489,24.069755162881947,16.334244837118057,False
25,97.66,50.69,19.54,Op-1,20.35,1.1193524913984847,23.708057474195456,16.991942525804546,False
26,102.66,50.76,21.22,Op-1,20.606,1.148141977283295,24.050425931849887,17.161574068150117,False
27,95.69,49.48,17.37,Op-2,20.122,1.864636693836093,25.715910081508277,14.528089918491721,False
28,105.88,49.53,18.7,Op-2,19.4,1.4608045728296453,23.782413718488932,15.017586281511063,False
29,101.68,52.79,19.42,Op-2,19.25,1.3991783303067564,23.447534990920268,15.05246500907973,False
30,93.54,51.05,19.29,Op-2,19.2,1.3906653084045792,23.37199592521374,15.028004074786262,False
31,99.66,48.4,20.64,Op-2,19.084,1.1897184540890362,22.653155362267107,15.51484463773289,False
32,98.38,46.79,21.27,Op-2,19.863999999999997,1.055997159087089,23.031991477261265,16.69600852273873,False
33,95.53,53.83,23.11,Op-2,20.746,1.5614512480381828,25.430353744114548,16.06164625588545,False
34,100.53,50.0,21.13,Op-2,21.088,1.374488995954496,25.21146698786349,16.964533012136513,False
35,95.67,49.64,21.92,Op-2,21.614,0.9530110177747142,24.473033053324144,18.754966946675857,False
