"donation_id","donor_id","amount","donation_date","assignment_id"
1,2733,271.36,"2021-08-21T00:00:00.000",4226
2,2608,251.49,"2021-10-15T00:00:00.000",1323
3,1654,528.38,"2020-03-03T00:00:00.000",4881
4,3265,730.36,"2021-02-06T00:00:00.000",1237
5,4932,285.96,"2022-03-05T00:00:00.000",1626
6,4860,189.5,"2022-01-24T00:00:00.000",1409
7,1034,720.93,"2021-09-21T00:00:00.000",4353
8,4374,938.31,"2021-04-16T00:00:00.000",774
9,3469,370.64,"2022-01-10T00:00:00.000",4810
10,706,488.46,"2021-07-10T00:00:00.000",3190
11,2600,914.75,"2022-06-25T00:00:00.000",3822
12,2136,774.84,"2020-12-05T00:00:00.000",3634
13,2223,183.21,"2022-02-23T00:00:00.000",2187
14,2898,213.1,"2020-08-04T00:00:00.000",156
15,1702,63.06,"2021-03-13T00:00:00.000",3899
16,538,277.55,"2020-08-05T00:00:00.000",43
17,2894,478.59,"2020-05-27T00:00:00.000",1581
18,2164,311.16,"2022-08-18T00:00:00.000",254
19,4852,476.64,"2021-01-24T00:00:00.000",551
20,2047,619.88,"2022-04-07T00:00:00.000",139
21,1872,931.56,"2022-12-31T00:00:00.000",3361
22,2497,924.26,"2022-07-24T00:00:00.000",3472
23,100,626.05,"2020-08-16T00:00:00.000",1559
24,2009,372.43,"2021-04-26T00:00:00.000",937
25,756,265.29,"2020-06-02T00:00:00.000",1933
26,798,610.87,"2020-04-24T00:00:00.000",4557
27,660,650.76,"2022-11-28T00:00:00.000",2229
28,3220,275.3,"2021-05-27T00:00:00.000",3192
29,424,68.02,"2022-01-03T00:00:00.000",525
30,3338,359.99,"2022-05-19T00:00:00.000",4846
31,2746,955,"2020-06-05T00:00:00.000",1716
32,4736,232.3,"2021-07-03T00:00:00.000",2269
33,545,317.11,"2021-11-05T00:00:00.000",172
34,715,299.92,"2021-05-06T00:00:00.000",2172
35,2293,704.35,"2022-08-06T00:00:00.000",1479
36,152,737.66,"2022-09-21T00:00:00.000",2871
37,2724,449.88,"2020-11-13T00:00:00.000",1797
38,3532,913.69,"2022-05-08T00:00:00.000",1887
39,2931,727.99,"2022-01-11T00:00:00.000",973
40,1208,889.1,"2021-11-18T00:00:00.000",1807
41,803,853.58,"2022-03-20T00:00:00.000",3255
42,2177,774.87,"2021-02-08T00:00:00.000",563
43,2177,327.72,"2020-04-06T00:00:00.000",656
44,1957,145.48,"2022-05-02T00:00:00.000",4200
45,3623,676.56,"2020-01-22T00:00:00.000",689
46,3561,703.23,"2020-05-24T00:00:00.000",3993
47,757,755.41,"2021-09-11T00:00:00.000",4576
48,4370,812.53,"2022-11-03T00:00:00.000",3538
49,4485,405.53,"2022-08-29T00:00:00.000",583
50,1642,379.47,"2020-01-02T00:00:00.000",2440
51,3115,322.64,"2022-08-08T00:00:00.000",333
52,4985,438.75,"2022-02-05T00:00:00.000",1589
53,4354,873.17,"2021-06-01T00:00:00.000",786
54,4072,11.9,"2021-01-13T00:00:00.000",3494
55,4010,554.57,"2021-05-20T00:00:00.000",3000
56,2106,231.46,"2022-12-29T00:00:00.000",730
57,3943,577.92,"2020-04-07T00:00:00.000",2121
58,3192,95.36,"2020-10-23T00:00:00.000",3967
59,431,93.86,"2022-05-31T00:00:00.000",2582
60,4188,198.09,"2020-12-10T00:00:00.000",1298
61,2447,985.2,"2021-01-05T00:00:00.000",2117
62,2660,649.37,"2020-08-09T00:00:00.000",926
63,1590,436.67,"2022-04-23T00:00:00.000",422
64,2957,308.55,"2021-11-26T00:00:00.000",1178
65,2682,585.03,"2020-05-21T00:00:00.000",1000
66,4181,458.67,"2020-05-04T00:00:00.000",12
67,2252,467.65,"2021-05-12T00:00:00.000",2648
68,4421,390.98,"2022-02-28T00:00:00.000",3164
69,4871,248.82,"2022-01-30T00:00:00.000",3985
70,1072,93.61,"2020-06-18T00:00:00.000",3017
71,4736,689.33,"2021-04-13T00:00:00.000",4634
72,1205,185.48,"2022-05-06T00:00:00.000",1162
73,3919,431.24,"2021-03-28T00:00:00.000",2757
74,1168,591.38,"2020-07-12T00:00:00.000",2293
75,1685,155.39,"2022-04-30T00:00:00.000",2305
76,3300,601.39,"2021-05-31T00:00:00.000",297
77,2768,368.55,"2022-04-19T00:00:00.000",3790
78,2958,263.05,"2020-11-11T00:00:00.000",716
79,4470,553.11,"2022-07-26T00:00:00.000",6
80,561,989.17,"2022-04-30T00:00:00.000",3324
81,1606,770.9,"2022-07-01T00:00:00.000",2427
82,1473,292.4,"2021-03-22T00:00:00.000",3819
83,3679,506.52,"2021-11-22T00:00:00.000",2947
84,257,412.01,"2020-05-22T00:00:00.000",1930
85,3763,530.21,"2022-07-15T00:00:00.000",238
86,1955,694.63,"2021-08-20T00:00:00.000",4847
87,817,789.86,"2021-05-07T00:00:00.000",4093
88,2436,956.23,"2022-06-13T00:00:00.000",3138
89,1635,302.11,"2021-01-11T00:00:00.000",1875
