station_id,maintenance_date,maintenance_type,cost,description
ST4,2022-01-28,Hardware Replacement,319.59,Routine maintenance
ST5,2022-05-15,Routine Check,975.71,Routine maintenance
ST3,2022-07-20,Software Update,453.79,Routine maintenance
ST5,2022-11-24,Software Update,902.84,Routine maintenance
ST5,2022-09-25,Software Update,668.02,Routine maintenance
ST2,2022-02-02,Routine Check,815.33,Routine maintenance
ST3,2022-02-17,Hardware Replacement,552.37,Routine maintenance
ST3,2022-03-03,Hardware Replacement,619.21,Routine maintenance
ST3,2022-08-04,Software Update,543.27,Routine maintenance
ST5,2022-10-20,Hardware Replacement,275.72,Routine maintenance
ST4,2022-04-09,Hardware Replacement,750.21,Routine maintenance
ST3,2022-06-21,Routine Check,352.7,Routine maintenance
ST5,2022-12-26,Routine Check,121.88,Routine maintenance
ST2,2022-08-02,Routine Check,680.93,Routine maintenance
ST4,2022-02-04,Routine Check,259.4,Routine maintenance
ST2,2022-08-15,Software Update,946.41,Routine maintenance
ST4,2022-04-11,Routine Check,958.54,Routine maintenance
ST5,2022-05-11,Hardware Replacement,923.38,Routine maintenance
ST1,2022-09-14,Software Update,433.14,Routine maintenance
ST4,2022-01-05,Hardware Replacement,113.91,Routine maintenance
ST2,2022-08-06,Hardware Replacement,935.49,Routine maintenance
ST5,2022-09-12,Hardware Replacement,485.37,Routine maintenance
ST4,2022-12-25,Routine Check,969.99,Routine maintenance
ST1,2022-10-10,Routine Check,967.26,Routine maintenance
ST1,2022-07-26,Software Update,867.71,Routine maintenance
ST3,2022-01-15,Software Update,365.0,Routine maintenance
ST3,2022-12-12,Routine Check,446.59,Routine maintenance
ST2,2022-02-11,Hardware Replacement,866.02,Routine maintenance
ST4,2022-06-28,Software Update,385.23,Routine maintenance
ST4,2022-03-04,Routine Check,252.54,Routine maintenance
ST3,2022-12-18,Routine Check,601.12,Routine maintenance
ST4,2022-08-19,Routine Check,942.54,Routine maintenance
ST4,2022-08-29,Hardware Replacement,726.43,Routine maintenance
ST1,2022-02-21,Routine Check,613.06,Routine maintenance
ST3,2022-04-06,Routine Check,187.46,Routine maintenance
ST5,2022-08-10,Routine Check,653.51,Routine maintenance
ST3,2022-08-19,Routine Check,991.05,Routine maintenance
ST5,2022-08-25,Software Update,226.08,Routine maintenance
ST1,2022-05-23,Software Update,566.5,Routine maintenance
ST2,2022-06-20,Routine Check,889.64,Routine maintenance
ST4,2022-01-29,Hardware Replacement,766.69,Routine maintenance
ST1,2022-02-05,Software Update,727.31,Routine maintenance
ST4,2022-01-13,Routine Check,732.24,Routine maintenance
ST2,2022-06-09,Software Update,423.54,Routine maintenance
ST2,2022-11-23,Software Update,364.23,Routine maintenance
ST1,2022-07-06,Hardware Replacement,828.43,Routine maintenance
ST2,2022-08-31,Routine Check,829.1,Routine maintenance
ST5,2022-03-27,Routine Check,880.37,Routine maintenance
ST2,2022-10-11,Hardware Replacement,921.92,Routine maintenance
ST4,2022-03-07,Hardware Replacement,560.21,Routine maintenance
ST4,2022-06-19,Routine Check,551.36,Routine maintenance
ST4,2022-02-14,Routine Check,818.47,Routine maintenance
ST4,2022-03-03,Hardware Replacement,684.97,Routine maintenance
ST5,2022-05-14,Software Update,731.77,Routine maintenance
ST3,2022-10-11,Software Update,816.21,Routine maintenance
ST1,2022-01-28,Hardware Replacement,901.0,Routine maintenance
ST4,2022-04-18,Software Update,404.2,Routine maintenance
ST2,2022-02-13,Hardware Replacement,438.02,Routine maintenance
ST4,2022-12-06,Software Update,184.58,Routine maintenance
ST2,2022-10-13,Software Update,620.45,Routine maintenance
ST2,2022-11-27,Routine Check,132.35,Routine maintenance
ST4,2022-05-08,Routine Check,519.04,Routine maintenance
ST5,2022-12-14,Software Update,588.38,Routine maintenance
ST2,2022-08-19,Software Update,357.89,Routine maintenance
ST2,2022-07-09,Routine Check,631.75,Routine maintenance
ST4,2022-08-13,Routine Check,127.45,Routine maintenance
ST2,2022-10-10,Routine Check,133.61,Routine maintenance
ST2,2022-05-01,Hardware Replacement,840.34,Routine maintenance
ST4,2022-04-26,Software Update,424.17,Routine maintenance
ST4,2022-08-21,Routine Check,214.35,Routine maintenance
ST1,2022-09-16,Software Update,570.02,Routine maintenance
ST5,2022-12-25,Hardware Replacement,792.99,Routine maintenance
ST5,2022-07-17,Hardware Replacement,294.24,Routine maintenance
ST2,2022-05-17,Routine Check,660.6,Routine maintenance
ST5,2022-11-14,Hardware Replacement,176.81,Routine maintenance
ST2,2022-06-14,Software Update,146.51,Routine maintenance
ST1,2022-08-13,Routine Check,578.22,Routine maintenance
ST4,2022-11-03,Software Update,586.57,Routine maintenance
ST4,2022-08-22,Software Update,673.69,Routine maintenance
ST4,2022-06-21,Hardware Replacement,753.48,Routine maintenance
ST5,2022-06-01,Hardware Replacement,978.27,Routine maintenance
ST1,2022-11-11,Hardware Replacement,564.67,Routine maintenance
ST5,2022-06-09,Hardware Replacement,390.66,Routine maintenance
ST5,2022-04-06,Hardware Replacement,815.67,Routine maintenance
ST1,2022-08-21,Routine Check,343.75,Routine maintenance
ST1,2022-06-29,Software Update,495.07,Routine maintenance
ST1,2022-04-23,Software Update,170.61,Routine maintenance
ST1,2022-11-14,Software Update,122.82,Routine maintenance
ST4,2022-02-21,Software Update,966.38,Routine maintenance
ST3,2022-09-25,Hardware Replacement,852.38,Routine maintenance
ST3,2022-10-22,Software Update,726.38,Routine maintenance
ST1,2022-04-23,Routine Check,468.06,Routine maintenance
ST3,2022-04-11,Routine Check,255.96,Routine maintenance
ST3,2022-04-23,Software Update,240.79,Routine maintenance
ST1,2022-03-22,Software Update,325.22,Routine maintenance
ST3,2022-07-06,Routine Check,594.3,Routine maintenance
ST5,2022-04-23,Routine Check,743.14,Routine maintenance
ST2,2022-01-02,Hardware Replacement,694.18,Routine maintenance
ST2,2022-05-10,Routine Check,351.94,Routine maintenance
ST1,2022-08-08,Hardware Replacement,959.38,Routine maintenance
