Customer ID,TotalPrice,TotalOrders,Recency,Cluster
12346.0,-64.68,15,66,0
12347.0,1323.32,2,2,0
12348.0,222.16,1,73,0
12349.0,2646.99,4,42,0
12351.0,300.93,1,10,0
12352.0,343.8,2,10,0
12353.0,317.76,1,43,0
12355.0,488.21000000000004,1,202,0
12356.0,3562.25,3,15,0
12357.0,12079.99,2,23,4
12358.0,2719.01,3,10,0
12359.0,2469.36,8,60,0
12360.0,1550.83,6,14,0
12361.0,321.35,3,97,0
12362.0,130.0,1,373,0
12366.0,500.24,1,268,0
12368.0,917.6999999999999,1,263,0
12369.0,1791.15,3,48,0
12370.0,774.62,3,259,0
12371.0,2179.42,3,44,0
12373.0,763.0500000000001,2,259,0
12374.0,2246.29,3,56,0
12376.0,503.15,2,24,0
12377.0,1798.2,2,16,0
12378.0,1407.7,1,197,0
12379.0,767.98,2,57,0
12380.0,5167.44,10,16,0
12382.0,-18.38,1,317,0
12385.0,1923.4,2,14,0
12386.0,258.9,1,1,0
12387.0,143.94,1,50,0
12388.0,1120.45,2,80,0
12389.0,1433.33,3,37,0
12391.0,2286.93,6,99,0
12392.0,234.75000000000003,1,226,0
12393.0,794.15,3,17,0
12395.0,2048.64,4,6,0
12396.0,931.43,1,309,0
12399.0,853.65,3,20,0
12400.0,205.25,1,49,0
12402.0,1018.55,6,27,0
12403.0,591.6600000000001,1,156,0
12404.0,63.24,1,317,0
12406.0,2791.46,4,23,0
12408.0,1437.07,5,14,0
12409.0,12033.539999999999,6,55,4
12410.0,320.38,1,137,0
12411.0,346.9,1,44,0
12412.0,1354.15,5,37,0
12413.0,241.35,1,37,0
12414.0,130.0,5,98,0
12415.0,19543.84,7,10,4
12416.0,202.56,1,291,0
12417.0,3129.41,15,36,0
12418.0,1348.37,4,48,0
12419.0,503.01,2,20,0
12421.0,286.56,3,50,0
12422.0,3315.79,18,29,0
12423.0,763.08,2,22,0
12424.0,1528.82,5,57,0
12425.0,903.61,2,65,0
12426.0,728.6800000000001,2,281,0
12427.0,303.5,1,6,0
12429.0,3685.11,6,0,0
12431.0,4303.02,16,8,0
12433.0,7052.99,6,1,4
12434.0,297.29,1,16,0
12435.0,6096.04,4,31,4
12437.0,7498.19,28,28,4
12439.0,1104.48,3,317,0
12440.0,768.15,3,92,0
12441.0,173.55,1,1,0
12443.0,485.31,1,367,0
12445.0,293.08000000000004,2,35,0
12449.0,768.6,2,45,0
12450.0,469.07,5,34,0
12451.0,3613.0099999999998,4,98,0
12454.0,4292.71,7,30,0
12455.0,3413.09,4,80,0
12457.0,554.53,2,52,0
12458.0,830.09,2,62,0
12459.0,454.36,1,240,0
12460.0,326.65,1,91,0
12466.0,56.73,1,317,0
12467.0,0.0,2,21,0
12468.0,2900.5099999999998,7,65,0
12469.0,3070.54,2,157,0
12470.0,211.95,1,324,0
12471.0,19207.69,81,7,4
12472.0,10727.21,26,4,4
12474.0,4849.98,25,3,0
12475.0,426.26,1,44,0
12476.0,7169.04,18,9,4
12477.0,7056.63,3,34,4
12480.0,2153.4700000000003,4,34,0
12481.0,6626.17,8,0,4
12482.0,21893.53,32,84,4
12483.0,2519.7400000000002,14,13,0
12484.0,1808.58,8,112,0
12485.0,708.1,1,164,0
12486.0,1037.28,1,66,0
12487.0,259.79999999999995,2,365,0
12490.0,4400.71,12,13,0
12492.0,452.0,1,38,0
12494.0,604.17,5,0,0
12495.0,323.4,2,269,0
12496.0,54.09,2,255,0
12497.0,5168.650000000001,3,35,0
12499.0,393.72,1,195,0
12500.0,1666.04,12,70,0
12503.0,1126.0,1,219,0
12504.0,297.0,2,52,0
12505.0,912.5,2,28,0
12507.0,539.25,1,219,0
12510.0,2706.76,14,94,0
12511.0,3065.77,2,49,0
12514.0,580.08,1,276,0
12516.0,1336.56,2,65,0
12519.0,354.35,2,99,0
12523.0,2475.28,17,9,0
12524.0,6605.64,10,23,4
12525.0,835.1800000000001,8,126,0
12527.0,386.8,2,129,0
12529.0,311.78000000000003,2,157,0
12530.0,2066.23,7,44,0
12531.0,1773.83,2,315,0
12533.0,1149.99,6,253,0
12537.0,732.94,1,43,0
12538.0,276.5,1,13,0
12539.0,5646.400000000001,3,85,4
12540.0,8798.25,17,13,4
12542.0,423.38,4,119,0
12543.0,980.25,1,83,0
12547.0,175.78,1,135,0
12549.0,1575.68,6,210,0
12553.0,896.57,3,20,0
12554.0,468.5,1,83,0
12555.0,129.23,1,317,0
12557.0,6725.18,4,6,4
12562.0,1185.18,2,20,0
12563.0,249.24,1,43,0
12567.0,4278.88,8,2,0
12568.0,70.0,1,279,0
12570.0,77.52,1,317,0
12573.0,556.87,4,16,0
12575.0,622.8199999999999,2,92,0
12576.0,776.89,5,27,0
12577.0,995.9499999999999,5,16,0
12578.0,1819.0900000000001,3,20,0
12580.0,637.2,1,211,0
12582.0,1469.04,2,57,0
12583.0,7157.5599999999995,14,8,4
12586.0,1848.73,4,3,0
12588.0,724.08,4,34,0
12589.0,2447.49,9,49,0
12590.0,-7.9,2,136,0
