salary_id,job_id,max_salary,med_salary,min_salary,pay_period,currency,compensation_type
1,3884428798,,20.0,,HOURLY,USD,BASE_SALARY
2,3887470552,25.0,,23.0,HOURLY,USD,BASE_SALARY
3,3884431523,120000.0,,100000.0,YEARLY,USD,BASE_SALARY
4,3884911725,200000.0,,10000.0,YEARLY,USD,BASE_SALARY
5,3887473220,35.0,,33.0,HOURLY,USD,BASE_SALARY
6,3884432468,,48.43,,HOURLY,USD,BASE_SALARY
7,3884915161,80000.0,,50000.0,YEARLY,USD,BASE_SALARY
8,3884428983,101000.0,,84000.0,YEARLY,USD,BASE_SALARY
9,3884433248,55.0,,50.0,HOURLY,USD,BASE_SALARY
10,3884429625,100000.0,,72000.0,YEARLY,USD,BASE_SALARY
11,3884435029,24.0,,20.0,YEARLY,USD,BASE_SALARY
12,3887468966,100000.0,,95000.0,YEARLY,USD,BASE_SALARY
13,3887473087,80000.0,,75000.0,YEARLY,USD,BASE_SALARY
14,3887466954,160000.0,,110000.0,YEARLY,USD,BASE_SALARY
15,3884428729,67000.0,,50400.0,YEARLY,USD,BASE_SALARY
16,3884427990,,105000.0,,YEARLY,USD,BASE_SALARY
17,3884432493,18.43,,18.43,HOURLY,USD,BASE_SALARY
18,3887467990,80.0,,60.0,HOURLY,USD,BASE_SALARY
19,3884912432,38.0,,32.0,HOURLY,USD,BASE_SALARY
20,3884435030,48000.0,,43000.0,YEARLY,USD,BASE_SALARY
21,3884434034,110000.0,,60000.0,YEARLY,USD,BASE_SALARY
22,3884432469,35.5,,28.0,HOURLY,USD,BASE_SALARY
23,3884917012,190000.0,,180000.0,YEARLY,USD,BASE_SALARY
24,3884432498,100000.0,,85000.0,YEARLY,USD,BASE_SALARY
25,3884431563,55000.0,,45000.0,YEARLY,USD,BASE_SALARY
26,3884435023,115000.0,,110000.0,YEARLY,USD,BASE_SALARY
27,3884915177,51.0,,45.0,HOURLY,USD,BASE_SALARY
28,3884910870,100000.0,,50000.0,YEARLY,USD,BASE_SALARY
29,3884430607,150000.0,,130000.0,YEARLY,USD,BASE_SALARY
30,3884913450,135000.0,,90000.0,YEARLY,USD,BASE_SALARY
31,3887472403,210000.0,,150000.0,YEARLY,USD,BASE_SALARY
32,3887473240,22.0,,22.0,HOURLY,USD,BASE_SALARY
33,3887471201,56000.0,,49000.0,YEARLY,USD,BASE_SALARY
34,3887476201,,25.0,,HOURLY,USD,BASE_SALARY
35,3887469942,100000.0,,70000.0,YEARLY,USD,BASE_SALARY
36,3884433292,115000.0,,85000.0,YEARLY,USD,BASE_SALARY
37,3884425974,,85000.0,,YEARLY,USD,BASE_SALARY
38,3887469932,163000.0,,112000.0,YEARLY,USD,BASE_SALARY
39,3884434097,30.0,,25.0,HOURLY,USD,BASE_SALARY
40,3884430583,100000.0,,72000.0,YEARLY,USD,BASE_SALARY
41,3884430608,75000.0,,65000.0,YEARLY,USD,BASE_SALARY
42,3887464859,130000.0,,120000.0,YEARLY,USD,BASE_SALARY
43,3884429657,28.0,,23.0,HOURLY,USD,BASE_SALARY
44,3884430610,130000.0,,90000.0,YEARLY,USD,BASE_SALARY
45,3887471276,63700.0,,41715.0,YEARLY,USD,BASE_SALARY
46,3884431637,75000.0,,50000.0,YEARLY,USD,BASE_SALARY
47,3884915296,,105000.0,,YEARLY,USD,BASE_SALARY
48,3887476076,50.0,,45.0,HOURLY,USD,BASE_SALARY
49,3887475133,72000.0,,65000.0,YEARLY,USD,BASE_SALARY
50,3884436034,68.0,,68.0,HOURLY,USD,BASE_SALARY
51,3884432491,28.32,,27.41,HOURLY,USD,BASE_SALARY
52,3887469999,65000.0,,45000.0,YEARLY,USD,BASE_SALARY
53,3884911832,175000.0,,160000.0,YEARLY,USD,BASE_SALARY
54,3887474295,65.0,,60.0,HOURLY,USD,BASE_SALARY
