VARIABLE,VARIABLE_NAME,SERIES_ID,MEASURE,UNIT,FREQUENCY,MEASUREMENT_TYPE,SOURCE,GEO_NAME,COUNTERPARTY_GEO_NAME
"BIS,WS_LBS_D_PUB,1.0,Q.B.C.A.EUR.F.5J.A.CN.A.5J.A","China - All Total claims of banks with headquarters in All countries (total) vis-a-vis residents of All countries (total), All sectors (Break in stocks, All instruments in Foreign currency (ie currencies foreign to bank location country), Euro, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,China,All countries (total)
"BIS,WS_LBS_D_PUB,1.0,Q.G.L.G.TO1.A.5J.A.CA.N.AF.N","Canada - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Afghanistan, Non-banks, total (Annual growth (BIS calculated), Loans and deposits in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,Canada,Afghanistan
"BIS,WS_LBS_D_PUB,1.0,Q.S.L.U.TO1.A.5J.A.5A.U.AO.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Angola, Unallocated by sector (Amounts outstanding / Stocks, Unallocated by instrument in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Angola
"BIS,WS_LBS_D_PUB,1.0,Q.F.L.A.UN9.A.5J.A.5A.N.SY.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Syria, Non-banks, total (FX and break adjusted change (BIS calculated), All instruments in All currencies (=D+F+U), Unallocated currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Syria
"BIS,WS_LBS_D_PUB,1.0,Q.S.L.A.USD.A.5J.A.5A.X.AT.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Austria, Residual by sector (Amounts outstanding / Stocks, All instruments in All currencies (=D+F+U), US dollar, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Austria
"BIS,WS_LBS_D_PUB,1.0,Q.F.C.G.TO1.A.5J.A.5A.P.MU.N","All reporting countries - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of Mauritius, Non-financial sectors (FX and break adjusted change (BIS calculated), Loans and deposits in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,All reporting countries,Mauritius
"BIS,WS_LBS_D_PUB,1.0,Q.G.L.A.GBP.A.5J.A.5A.N.HR.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Croatia, Non-banks, total (Annual growth (BIS calculated), All instruments in All currencies (=D+F+U), Pound (sterling), All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Croatia
"BIS,WS_LBS_D_PUB,1.0,Q.G.C.G.TO1.A.5J.A.FR.A.BH.N","France - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of Bahrain, All sectors (Annual growth (BIS calculated), Loans and deposits in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,France,Bahrain
"BIS,WS_CBS_PUB,1.0,Q.B.5A.4B.F.B.A.A.LC1.A.5J","Domestic banks from All reporting countries - Consolidated Local claims in Local currency with residents of All countries (total) (Immediate counterparty basis), All sectors (Break in stocks, All instruments, Total (all maturities)","BIS,WS_CBS_PUB,1.0",Local claims,USD,Quarterly,Other data collection period,,All reporting countries,All countries (total)
"BIS,WS_LBS_D_PUB,1.0,Q.F.L.G.GBP.A.5J.A.5A.H.AW.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Aruba, Households and NPISHs (FX and break adjusted change (BIS calculated), Loans and deposits in All currencies (=D+F+U), Pound (sterling), All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Aruba
