tag,date,question_count,question_pct,unanswered_count,unanswered_pct
paypal,2018-09-25,18050,0.001093757,8402,0.001751857
amazon-elb,2018-09-25,1452,8.8e-5,561,1.16972e-4
amazon-mws,2018-09-25,706,4.28e-5,278,5.8e-5
amazon-swf,2018-09-25,232,1.41e-5,77,1.61e-5
amazon-sns,2018-09-25,1400,8.48e-5,601,1.25312e-4
excel,2018-09-25,177603,0.010762031,61804,0.012886449
mongodb,2018-09-25,104159,0.00631162,36543,0.007619406
amazon-glacier,2018-09-25,192,1.16e-5,59,1.23e-5
amazon-route53,2018-09-25,1098,6.65e-5,389,8.11e-5
dropbox,2018-09-25,3071,1.86091e-4,1169,2.43743e-4
azure,2018-09-25,61259,0.003712048,21114,0.004402372
sql-server,2018-09-25,242484,0.014693559,60854,0.012688369
amazon-cloudwatch,2018-09-25,1165,7.06e-5,496,1.03419e-4
amazon-redshift,2018-09-25,3502,2.12208e-4,1265,2.6376e-4
amazon-cognito,2018-09-25,2830,1.71487e-4,1200,2.50207e-4
amazon-dynamodb,2018-09-25,5985,3.62668e-4,2178,4.54125e-4
ios9,2018-09-25,4183,2.53474e-4,1580,3.29439e-4
amazon-sqs,2018-09-25,1584,9.6e-5,560,1.16763e-4
dropbox-api,2018-09-25,2072,1.25555e-4,831,1.73268e-4
amazon-ses,2018-09-25,934,5.66e-5,353,7.36e-5
amazon-emr,2018-09-25,3046,1.84576e-4,1241,2.58755e-4
citrix,2018-09-25,597,3.62e-5,292,6.09e-5
amazon-elastic-beanstalk,2018-09-25,5490,3.32673e-4,2219,4.62674e-4
amazon-rds,2018-09-25,2537,1.53732e-4,1026,2.13927e-4
amazon-rds-aurora,2018-09-25,323,1.96e-5,148,3.09e-5
android,2018-09-25,1138658,0.068998168,424953,0.088604937
amazon-cloudformation,2018-09-25,2516,1.5246e-4,888,1.85153e-4
ios,2018-09-25,577421,0.034989527,189226,0.039454749
android-pay,2018-09-25,490,2.97e-5,221,4.61e-5
applepay,2018-09-25,357,2.16e-5,174,3.63e-5
windows,2018-09-25,124751,0.007559411,38967,0.008124818
amazon-web-services,2018-09-25,63939,0.003874457,25149,0.005243707
google-spreadsheet,2018-09-25,15685,9.50449e-4,5978,0.001246445
amazon-cloudfront,2018-09-25,2264,1.3719e-4,885,1.84527e-4
amazon-lambda,2018-09-25,8032,4.86708e-4,8032,0.001674715
amazon-cloudsearch,2018-09-25,318,1.93e-5,134,2.79e-5
amazon-ecs,2018-09-25,1074,6.51e-5,507,1.05712e-4
amazon-s3,2018-09-25,25443,0.001541747,10022,0.002089641
amazon-elasticache,2018-09-25,434,2.63e-5,179,3.73e-5
