date,close,volume,open,high,low
23/08/2019,129.57,4818759,133.63,134.26,128.83
22/08/2019,134.32,2695009,134.69,135.68,133.81
21/08/2019,134.25,2806774,134.96,135.94,133.8
20/08/2019,133,3018934,135.24,135.28,132.81
19/08/2019,135.04,3165436,134.88,136.33,134.88
16/08/2019,133.76,3011993,133.04,134.59,132.9539
15/08/2019,131.92,3738945,131.22,132.37,130.25
14/08/2019,131.25,5114159,133.91,134.16,130.98
13/08/2019,135.79,4551170,133.8,136.57,132.8058
12/08/2019,133.67,4083850,135.66,135.87,133.18
09/08/2019,136.13,5244594,139.27,139.31,135.35
08/08/2019,140.1,5261444,138.45,140.42,137.76
07/08/2019,139.11,5931883,138.74,139.58,136.4115
06/08/2019,140.73,5070650,142.03,142.47,139.31
05/08/2019,140.76,7114871,144.98,145.1,139.15
02/08/2019,147.25,8101720,149.03,152.95,145.59
01/08/2019,150.32,6344006,148.9,152.82,148.5
31/07/2019,148.24,3722907,149.7,150.18,146.39
30/07/2019,149.77,2632726,150,150.4,149.22
29/07/2019,150.88,2075528,151.11,151.48,150.32
26/07/2019,151.36,2904494,151,151.41,150.1
25/07/2019,150.39,3102113,149.82,150.62,148.61
24/07/2019,150.03,2952435,150.12,151.45,149.195
23/07/2019,150.38,3742204,150.57,150.72,148.38
22/07/2019,149.74,4093239,150.16,151.94,149.7
19/07/2019,149.68,7290678,149.96,151.58,149.55
18/07/2019,149.63,12695390,142.5,150.31,142.2
17/07/2019,143.07,6064265,143.61,143.8,141.95
16/07/2019,143.53,3474688,143.17,144.04,143.02
15/07/2019,143.32,2368309,142.89,143.51,142.12
12/07/2019,142.74,2786276,141.92,142.92,141.66
11/07/2019,141.24,2133327,140.79,141.58,140.3
10/07/2019,140.47,2513931,140,141.91,139.79
09/07/2019,139.33,3365227,140.61,140.99,139.13
08/07/2019,140.57,2395487,141.05,141.285,140.27
05/07/2019,141.38,2135085,140.87,141.49,139.91
03/07/2019,141.54,1930361,140.72,141.82,140.43
02/07/2019,140.22,2410092,139.75,140.43,139.47
01/07/2019,139.88,3387184,139.6,141.49,139.28
28/06/2019,137.9,6154039,138.57,139.14,137.84
27/06/2019,138.52,2149824,138.72,139.3,137.95
