GEO_ID,VARIABLE,VARIABLE_NAME,DATE,VALUE,UNIT
geoId/C38300,Percent_90_to_180_Days_Past_Due_Date_Government / Non-Conventional,Percent 90 to 180 Days Past Due Date - Government / Non-Conventional,2008-12-31,0.03,Percent
geoId/02,Percent_90_to_180_Days_Past_Due_Date_Other Conventional Market,Percent 90 to 180 Days Past Due Date - Other Conventional Market,2021-06-30,0.008,Percent
geoId/M47894,Percent_30_or_60_Days_Past_Due_Date_Government / Non-Conventional,Percent 30 or 60 Days Past Due Date - Government / Non-Conventional,2020-03-31,0.028,Percent
geoId/M19124,Percent_in_Forbearance_Government / Non-Conventional,Percent in Forbearance - Government / Non-Conventional,2021-12-31,0.025,Percent
country/USA,Percent_in_Forbearance_Enterprise Acquisitions,Percent in Forbearance - Enterprise Acquisitions,2021-03-31,0.023,Percent
geoId/C49180,Percent_in_Forbearance_All Mortgages,Percent in Forbearance - All Mortgages,2022-09-30,0.004,Percent
geoId/M20994,Percent_in_Forbearance_Other Conventional Market,Percent in Forbearance - Other Conventional Market,2020-09-30,0.029,Percent
geoId/C17820,Percent_in_Forbearance_All Mortgages,Percent in Forbearance - All Mortgages,2021-03-31,0.019,Percent
geoId/16,Percent_30_or_60_Days_Past_Due_Date_All Mortgages,Percent 30 or 60 Days Past Due Date - All Mortgages,2023-12-31,0.014,Percent
geoId/37,Percent_in_Forbearance_All Mortgages,Percent in Forbearance - All Mortgages,2020-06-30,0.036,Percent
geoId/C38060,Percent_30_or_60_Days_Past_Due_Date_Other Conventional Market,Percent 30 or 60 Days Past Due Date - Other Conventional Market,2023-12-31,0.015,Percent
geoId/C40060,"Percent_in_the_Process_of_Foreclosure,_Bankruptcy,_or_Deed_in_Lieu_Other Conventional Market","Percent in the Process of Foreclosure, Bankruptcy, or Deed in Lieu - Other Conventional Market",2012-12-31,0.032,Percent
geoId/38,Percent_90_to_180_Days_Past_Due_Date_Other Conventional Market,Percent 90 to 180 Days Past Due Date - Other Conventional Market,2022-06-30,0.004,Percent
geoId/C24860,Percent_30_or_60_Days_Past_Due_Date_Other Conventional Market,Percent 30 or 60 Days Past Due Date - Other Conventional Market,2019-12-31,0.045,Percent
geoId/C12940,"Percent_in_the_Process_of_Foreclosure,_Bankruptcy,_or_Deed_in_Lieu_Other Conventional Market","Percent in the Process of Foreclosure, Bankruptcy, or Deed in Lieu - Other Conventional Market",2019-06-30,0.013,Percent
geoId/40,"Percent_in_the_Process_of_Foreclosure,_Bankruptcy,_or_Deed_in_Lieu_Other Conventional Market","Percent in the Process of Foreclosure, Bankruptcy, or Deed in Lieu - Other Conventional Market",2023-03-31,0.007,Percent
geoId/12,Percent_30_or_60_Days_Past_Due_Date_All Mortgages,Percent 30 or 60 Days Past Due Date - All Mortgages,2005-12-31,0.023,Percent
