station_id,month,revenue,expenses,net_profit
ST4,2022-01-31,5308.77,6505.74,-1196.9699999999993
ST5,2022-02-28,19548.65,7396.34,12152.310000000001
ST3,2022-03-31,17486.64,8472.84,9013.8
ST5,2022-04-30,8185.09,12422.11,-4237.02
ST5,2022-05-31,7727.37,5396.09,2331.2799999999997
ST2,2022-06-30,7751.07,9170.81,-1419.7399999999998
ST3,2022-07-31,9563.63,10108.97,-545.3400000000001
ST3,2022-08-31,12871.35,3557.4,9313.95
ST3,2022-09-30,11479.18,10290.54,1188.6399999999994
ST5,2022-10-31,9368.44,5046.29,4322.150000000001
ST4,2022-11-30,14177.79,3780.62,10397.170000000002
ST3,2022-12-31,7092.41,14386.63,-7294.219999999999
