response_id,user_id,station_id,rating,comment,survey_date
1,User-103,ST5,5,Satisfied,2022-01-01
2,User-180,ST1,4,Satisfied,2022-01-02
3,User-93,ST1,1,Satisfied,2022-01-03
4,User-15,ST1,3,Satisfied,2022-01-04
5,User-107,ST1,4,Satisfied,2022-01-05
6,User-72,ST4,4,Satisfied,2022-01-06
7,User-189,ST3,4,Satisfied,2022-01-07
8,User-21,ST3,4,Satisfied,2022-01-08
9,User-103,ST1,4,Satisfied,2022-01-09
10,User-122,ST3,4,Satisfied,2022-01-10
11,User-75,ST3,1,Satisfied,2022-01-11
12,User-88,ST1,3,Satisfied,2022-01-12
13,User-117,ST3,3,Satisfied,2022-01-13
14,User-100,ST5,5,Satisfied,2022-01-14
15,User-104,ST2,4,Satisfied,2022-01-15
16,User-152,ST2,5,Satisfied,2022-01-16
17,User-131,ST1,3,Satisfied,2022-01-17
18,User-150,ST4,5,Satisfied,2022-01-18
19,User-53,ST1,5,Satisfied,2022-01-19
20,User-2,ST4,2,Satisfied,2022-01-20
21,User-88,ST2,4,Satisfied,2022-01-21
22,User-158,ST1,4,Satisfied,2022-01-22
23,User-38,ST5,5,Satisfied,2022-01-23
24,User-130,ST3,3,Satisfied,2022-01-24
25,User-192,ST4,3,Satisfied,2022-01-25
26,User-188,ST3,5,Satisfied,2022-01-26
27,User-21,ST3,5,Satisfied,2022-01-27
28,User-161,ST1,3,Satisfied,2022-01-28
29,User-58,ST3,1,Satisfied,2022-01-29
30,User-22,ST5,5,Satisfied,2022-01-30
31,User-89,ST3,3,Satisfied,2022-01-31
32,User-49,ST1,4,Satisfied,2022-02-01
33,User-59,ST5,5,Satisfied,2022-02-02
34,User-170,ST2,4,Satisfied,2022-02-03
35,User-188,ST3,5,Satisfied,2022-02-04
36,User-15,ST1,3,Satisfied,2022-02-05
37,User-190,ST2,4,Satisfied,2022-02-06
38,User-190,ST2,4,Satisfied,2022-02-07
39,User-175,ST4,3,Satisfied,2022-02-08
40,User-190,ST5,2,Satisfied,2022-02-09
41,User-51,ST3,5,Satisfied,2022-02-10
42,User-108,ST1,4,Satisfied,2022-02-11
43,User-55,ST4,3,Satisfied,2022-02-12
44,User-64,ST5,5,Satisfied,2022-02-13
45,User-131,ST4,5,Satisfied,2022-02-14
46,User-51,ST5,4,Satisfied,2022-02-15
47,User-135,ST5,5,Satisfied,2022-02-16
48,User-21,ST3,2,Satisfied,2022-02-17
49,User-73,ST5,3,Satisfied,2022-02-18
50,User-167,ST4,5,Satisfied,2022-02-19
51,User-18,ST5,5,Satisfied,2022-02-20
52,User-132,ST3,5,Satisfied,2022-02-21
53,User-89,ST3,4,Satisfied,2022-02-22
54,User-60,ST4,5,Satisfied,2022-02-23
55,User-14,ST2,5,Satisfied,2022-02-24
56,User-9,ST2,5,Satisfied,2022-02-25
57,User-90,ST5,5,Satisfied,2022-02-26
58,User-53,ST1,4,Satisfied,2022-02-27
59,User-130,ST5,4,Satisfied,2022-02-28
60,User-84,ST4,3,Satisfied,2022-03-01
61,User-92,ST4,5,Satisfied,2022-03-02
62,User-111,ST4,5,Satisfied,2022-03-03
63,User-188,ST4,3,Satisfied,2022-03-04
64,User-199,ST4,3,Satisfied,2022-03-05
65,User-172,ST3,4,Satisfied,2022-03-06
66,User-8,ST2,4,Satisfied,2022-03-07
67,User-175,ST4,5,Satisfied,2022-03-08
68,User-35,ST1,2,Satisfied,2022-03-09
69,User-81,ST1,1,Satisfied,2022-03-10
70,User-164,ST1,4,Satisfied,2022-03-11
71,User-50,ST1,2,Satisfied,2022-03-12
72,User-104,ST3,3,Satisfied,2022-03-13
73,User-132,ST1,5,Satisfied,2022-03-14
74,User-2,ST4,5,Satisfied,2022-03-15
75,User-134,ST5,3,Satisfied,2022-03-16
76,User-54,ST1,4,Satisfied,2022-03-17
77,User-106,ST3,4,Satisfied,2022-03-18
78,User-4,ST3,4,Satisfied,2022-03-19
79,User-54,ST1,3,Satisfied,2022-03-20
80,User-191,ST5,4,Satisfied,2022-03-21
81,User-146,ST1,5,Satisfied,2022-03-22
82,User-44,ST3,4,Satisfied,2022-03-23
83,User-162,ST2,5,Satisfied,2022-03-24
84,User-190,ST4,4,Satisfied,2022-03-25
85,User-14,ST3,3,Satisfied,2022-03-26
86,User-95,ST1,4,Satisfied,2022-03-27
87,User-48,ST4,4,Satisfied,2022-03-28
88,User-15,ST1,5,Satisfied,2022-03-29
89,User-190,ST1,3,Satisfied,2022-03-30
90,User-40,ST2,4,Satisfied,2022-03-31
91,User-82,ST4,4,Satisfied,2022-04-01
92,User-111,ST4,5,Satisfied,2022-04-02
93,User-53,ST2,1,Satisfied,2022-04-03
94,User-24,ST3,5,Satisfied,2022-04-04
95,User-154,ST1,4,Satisfied,2022-04-05
96,User-188,ST5,3,Satisfied,2022-04-06
97,User-124,ST1,5,Satisfied,2022-04-07
98,User-41,ST1,5,Satisfied,2022-04-08
99,User-157,ST3,5,Satisfied,2022-04-09
100,User-15,ST1,3,Satisfied,2022-04-10
