industry,valuation_avg,company_id,company,city,country,continent,date_joined,year_founded,valuation_standout,funding,select_investors
"""Supply chain, logistics, & delivery""",1545454545.4545455,241,Kurly,Seoul,South Korea,Asia,2021-07-09,2014,3000000000,770000000,"""Sequoia Capital China, DST Global, DST Global"""
"""Supply chain, logistics, & delivery""",1545454545.4545455,117,RELEX Solutions,Helsinki,Finland,Europe,2022-02-17,2005,6000000000,803000000,"""Blackstone, Technology Crossover Ventures, Summit Partners"""
Artificial intelligence,1413793103.4482758,270,Uniphore,Palo Alto,United States,North America,2022-02-16,2008,3000000000,607000000,"""Chiratae Ventures, March Capital Partners, National Grid Partners"""
Auto & transportation,2000000000.0,220,Hozon Auto,Shanghai,China,Asia,2022-02-22,2014,4000000000,2000000000,"""HD Capital, Qihoo 360 Technology, China Fortune Land Development"""
Cybersecurity,1476190476.1904762,592,StarkWare,Netanya,Israel,Asia,2021-11-17,2018,2000000000,161000000,"""Sequoia Capital, Paradigm, Pantera Capital"""
Cybersecurity,1476190476.1904762,416,Persona,San Francisco,United States,North America,2021-09-15,2018,2000000000,218000000,"""Coatue Management, Index Ventures, Founders Fund"""
Cybersecurity,1476190476.1904762,474,Dragos,Hanover,United States,North America,2021-10-28,2016,2000000000,358000000,"""DataTribe, Energy Impact Partners, AllegisCyber Capital"""
Cybersecurity,1476190476.1904762,438,BitSight Technologies,Boston,United States,North America,2021-09-13,2013,2000000000,401000000,"""Menlo Ventures, GGV Capital, Flybridge Capital Partners"""
Cybersecurity,1476190476.1904762,97,1Password,Toronto,Canada,North America,2021-07-08,2005,7000000000,920000000,"""Slack Fund, Accel, Skip Capital"""
Data management & analytics,1600000000.0,280,JumpCloud,Louisville,United States,North America,2021-09-13,2012,3000000000,407000000,"""Foundry Group, General Atlantic, BlackRock"""
Data management & analytics,1600000000.0,209,dbt Labs,Philadelphia,United States,North America,2021-06-30,2016,4000000000,414000000,"""Andreessen Horowitz, Amplify Partners, Sequoia Capital"""
E-commerce & direct-to-consumer,2027777777.7777777,314,Flink Food,Berlin,Germany,Europe,2021-12-01,2021,3000000000,1000000000,"""Mubadala Capital, Bond, Prosus Ventures"""
E-commerce & direct-to-consumer,2027777777.7777777,27,OpenSea,New York,United States,North America,2021-07-20,2017,13000000000,427000000,"""Andreessen Horowitz, Thirty Five Ventures, Sound Ventures"""
E-commerce & direct-to-consumer,2027777777.7777777,236,Vuori,Carlsbad,United States,North America,2021-10-13,2015,4000000000,445000000,"""SoftBank Group, Norwest Venture Partners"""
E-commerce & direct-to-consumer,2027777777.7777777,320,Nuvemshop,Sao Paulo,Brazil,South America,2021-08-17,2011,3000000000,628000000,"""Kaszek Ventures, Qualcomm Ventures, Accel"""
E-commerce & direct-to-consumer,2027777777.7777777,277,ManoMano,Paris,France,Europe,2021-07-05,2013,3000000000,706000000,"""General Atlantic, Piton Capital, Partech Partners"""
E-commerce & direct-to-consumer,2027777777.7777777,160,OfBusiness,Gurgaon,India,Asia,2021-07-31,2015,5000000000,734000000,"""Matrix Partners India, Falcon Edge Capital, SoftBank Group"""
E-commerce & direct-to-consumer,2027777777.7777777,202,Sorare,Paris,France,Europe,2021-09-21,2019,4000000000,739000000,"""Benchmark, Accel, SoftBank Group"""
Edtech,2000000000.0,204,Articulate,New York,United States,North America,2021-07-01,2015,4000000000,2000000000,"""Blackstone, ICONIQ Growth, General Atlantic"""
Fintech,2564814814.814815,82,Fireblocks,New York,United States,North America,2021-07-27,2018,8000000000,1000000000,"""Tenaya Capital, Coatue Management, Stripes Group"""
Fintech,2564814814.814815,44,Bolt,San Francisco,United States,North America,2021-10-08,2014,11000000000,1000000000,"""Activant Capital, Tribe Capital, General Atlantic"""
Fintech,2564814814.814815,53,Digital Currency Group,New York,United States,North America,2021-11-01,2015,10000000000,1000000000,"""Ribbit Capital, capitalG, Softbank Group"""
Fintech,2564814814.814815,12,FTX,,Bahamas,North America,2021-07-20,2018,32000000000,2000000000,"""Sequoia Capital, Thoma Bravo, Softbank"""
Fintech,2564814814.814815,206,FalconX,San Mateo,United States,North America,2021-08-10,2018,4000000000,324000000,"""Tiger Global Management, American Express Ventures, B Capital Group"""
Fintech,2564814814.814815,99,Gemini,New York,United States,North America,2021-11-19,2015,7000000000,424000000,"""Morgan Creek Digital, Marcy Venture Partners, 10T Fund"""
Fintech,2564814814.814815,145,Pleo,Copenhagen,Denmark,Europe,2021-07-06,2015,5000000000,428000000,"""Creandum, Founders, Kinnevik"""
Fintech,2564814814.814815,238,Yuga Labs,Miami,United States,North America,2022-03-22,2021,4000000000,450000000,"""Andreessen Horowitz, Thrive Capital, Sound Ventures"""
Fintech,2564814814.814815,177,MoonPay,Miami,United States,North America,2021-11-22,2019,4000000000,555000000,"""New Enterprise Associates, Coatue Management, Tiger Global Management"""
Fintech,2564814814.814815,51,Alchemy,San Francisco,United States,North America,2021-10-28,2017,10000000000,564000000,"""DFJ Growth Fund, Coatue Management, Addition"""
Fintech,2564814814.814815,167,ZEPZ,London,United Kingdom,Europe,2021-08-23,2010,5000000000,655000000,"""Accel, Technology Crossover Ventures, LeapFrog Investments"""
Fintech,2564814814.814815,100,ConsenSys,New York,United States,North America,2021-11-17,2014,7000000000,660000000,"""Third Point, Electric Capital, Coinbase Ventures"""
Fintech,2564814814.814815,163,Qonto,Paris,France,Europe,2022-01-11,2016,5000000000,704000000,"""Alven Capital, Valar Ventures, Tencent Holdings"""
Fintech,2564814814.814815,61,Dunamu,Seoul,South Korea,Asia,2021-07-22,2012,9000000000,71000000,"""Qualcomm Ventures, Woori Investment, Hanwha Investment & Securities"""
Fintech,2564814814.814815,126,iCapital Network,New York,United States,North America,2021-07-27,2013,6000000000,729000000,"""BlackRock, Blackstone, UBS"""
Fintech,2564814814.814815,178,Celsius Network,Hoboken,United States,North America,2021-10-12,2017,4000000000,864000000,"""WestCap Group, Caisse de depot et placement du Quebec"""
Hardware,2300000000.0,147,Chipone,Beijing,China,Asia,2021-12-16,2008,5000000000,1000000000,"""China Grand Prosperity Investment, Silk Road Huacheng, Oriza Equity Investment"""
Hardware,2300000000.0,182,Flock Safety,Atlanta,United States,North America,2021-07-13,2017,4000000000,381000000,"""Matrix Partners, Initialized Capital, Tiger Global Management"""
Health,1600000000.0,273,Oura,Oulu,Finland,Europe,2022-04-05,2013,3000000000,148000000,"""Forerunner Ventures, Lifeline Ventures, MSD Capital"""
