industry,valuation
Fintech,2564814814.814815
Hardware,2300000000.0
E-commerce & direct-to-consumer,2027777777.7777777
Auto & transportation,2000000000.0
Edtech,2000000000.0
Internet software & services,1893617021.2765958
Other,1666666666.6666667
Data management & analytics,1600000000.0
Health,1600000000.0
"""Supply chain, logistics, & delivery""",1545454545.4545455
Mobile & telecommunications,1500000000.0
Cybersecurity,1476190476.1904762
Artificial intelligence,1413793103.4482758
Travel,1333333333.3333333
Consumer & retail,1000000000.0
