Title,Number of Sub-genres,URL
Action & Adventure,0,https://www.amazon.in/gp/bestsellers/books/1318158031
"Arts, Film & Photography",11,https://www.amazon.in/gp/bestsellers/books/1318052031
"Biographies, Diaries & True Accounts",3,https://www.amazon.in/gp/bestsellers/books/1318064031
Business & Economics,4,https://www.amazon.in/gp/bestsellers/books/1318068031
Children's Books,34,https://www.amazon.in/gp/bestsellers/books/64619755031
Comics & Mangas,2,https://www.amazon.in/gp/bestsellers/books/1318104031
"Computing, Internet & Digital Media",11,https://www.amazon.in/gp/bestsellers/books/1318105031
"Crafts, Home & Lifestyle",9,https://www.amazon.in/gp/bestsellers/books/1318118031
"Crime, Thriller & Mystery",3,https://www.amazon.in/gp/bestsellers/books/1318161031
Engineering,18,https://www.amazon.in/gp/bestsellers/books/22960344031
Exam Preparation,15,https://www.amazon.in/gp/bestsellers/books/4149751031
"Fantasy, Horror & Science Fiction",3,https://www.amazon.in/gp/bestsellers/books/1402038031
"Health, Family & Personal Development",4,https://www.amazon.in/gp/bestsellers/books/1318128031
"Health, Fitness & Nutrition",1,https://www.amazon.in/gp/bestsellers/books/23033693031
Higher Education Textbooks,10,https://www.amazon.in/gp/bestsellers/books/4149418031
Historical Fiction,0,https://www.amazon.in/gp/bestsellers/books/1318164031
History,6,https://www.amazon.in/gp/bestsellers/books/4149493031
Humour,0,https://www.amazon.in/gp/bestsellers/books/1318143031
"Language, Linguistics & Writing",7,https://www.amazon.in/gp/bestsellers/books/1318144031
Law,6,https://www.amazon.in/gp/bestsellers/books/4149542031
Literature & Fiction,19,https://www.amazon.in/gp/bestsellers/books/1318157031
Maps & Atlases,0,https://www.amazon.in/gp/bestsellers/books/1318298031
Medicine & Health Sciences,10,https://www.amazon.in/gp/bestsellers/books/4149549031
Politics,7,https://www.amazon.in/gp/bestsellers/books/1318176031
Reference,5,https://www.amazon.in/gp/bestsellers/books/1318185031
Religion,12,https://www.amazon.in/gp/bestsellers/books/1318188031
Romance,29,https://www.amazon.in/gp/bestsellers/books/1318168031
School Books,8,https://www.amazon.in/gp/bestsellers/books/4149807031
Science & Mathematics,9,https://www.amazon.in/gp/bestsellers/books/4149708031
"Sciences, Technology & Medicine",13,https://www.amazon.in/gp/bestsellers/books/1318203031
Society & Social Sciences,7,https://www.amazon.in/gp/bestsellers/books/1318216031
Sports,37,https://www.amazon.in/gp/bestsellers/books/1318224031
Teen & Young Adult,18,https://www.amazon.in/gp/bestsellers/books/64619754031
Textbooks & Study Guides,2,https://www.amazon.in/gp/bestsellers/books/15417300031
Travel,6,https://www.amazon.in/gp/bestsellers/books/1318295031
