Best-Rated Author,Most Expensive Author,Most Rated Author
AHILA ISAAC,Sigeru Omatu,J.K. Rowling
AI Beauty and AI Gravure Laboratory,Alan S. L. Yu MD,Colleen Hoover
ANAMIKA MISHRA,Sujal Desai,Sarah J. Maas
AOYAMA,Dr Chan,Jeff Kinney
Aaron Webster,Andrew Ramdayal,Rebecca Yarros
Abhishikha Kaushik Swati chauhan ,Richard P. Feynman,Rick Riordan
Abirami Sukumaran,Jonathon G. Ruffer,Yuval Noah Harari
Adegbola Ojo,S Piantadosi,Alex Michaelides
Aimi Hodiwala Rale,Ella Kokotsis,George Orwell
Alex Wade,Yogen Singh,Fredrik Backman
