CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12747,4584,10,948.7,1,1,1,111,High Value1
12748,4582,143,7046.16,1,1,1,111,High Value1
12749,4585,4,813.4499999999999,1,2,1,121,High Value1
12820,4585,4,268.02,1,2,2,122,High Value2
12822,4652,2,146.15,3,3,2,332,3Medium Value
12823,4878,1,306.0,4,4,2,442,4Low Value
12824,4641,1,106.38000000000001,3,4,3,343,3Lost
12826,4584,6,272.66,1,1,2,112,High Value2
12827,4614,2,44.550000000000004,2,3,4,234,234
12828,4589,5,195.39999999999998,1,1,2,112,High Value2
12829,4918,2,95.80000000000001,4,3,3,433,Lost3
12830,4673,4,1727.92,3,2,1,321,Medium Value1
12832,4614,2,67.4,2,3,3,233,2Lost
12833,4727,1,87.0,4,4,3,443,4Lost
12834,4864,1,161.00000000000003,4,4,2,442,4Low Value
12836,4641,4,585.53,3,2,1,321,Medium Value1
12837,4755,1,10.55,4,4,4,444,444
12838,4615,1,62.11,2,4,3,243,2Lost
12839,4584,13,947.63,1,1,1,111,High Value1
12840,4725,4,459.66,4,2,1,421,4Medium Value
12841,4586,20,630.95,1,1,1,111,High Value1
12842,4652,2,224.54,3,3,2,332,3Medium Value
12843,4741,7,385.55,4,1,1,411,4High Value
12844,4611,2,38.05,2,3,4,234,234
12845,4850,3,221.1,4,2,2,422,4Medium Value
12847,4604,1,123.20999999999998,2,4,3,243,2Lost
12849,4613,2,266.74999999999994,2,3,2,232,2Medium Value
12851,4678,1,29.57,3,4,4,344,344
12852,4876,1,32.550000000000004,4,4,4,444,444
12853,4716,4,234.48000000000002,3,2,2,322,Medium Value2
12854,4660,3,319.01,3,2,2,322,Medium Value2
12856,4589,6,402.48,1,1,1,111,High Value1
12857,4792,2,283.85,4,3,2,432,4Medium Value
12863,4634,1,34.8,3,4,4,344,344
12864,4720,1,17.4,3,4,4,344,344
12867,4608,7,749.2900000000001,2,1,1,211,2High Value
12868,4767,5,177.31,4,1,2,412,4High Value
12871,4666,2,70.74,3,3,3,333,Lost3
12872,4908,1,73.4,4,4,3,443,4Lost
12873,4864,1,102.0,4,4,3,443,4Lost
12877,4585,10,232.71,1,1,2,112,High Value2
12878,4818,2,174.3,4,3,2,432,4Medium Value
12879,4673,1,70.80000000000001,3,4,3,343,3Lost
12883,4606,4,186.18,2,2,2,222,Medium Value2
12884,4670,1,31.8,3,4,4,344,344
12885,4645,2,361.4799999999999,3,3,1,331,3Medium Value
12886,4649,2,212.39000000000001,3,3,2,332,3Medium Value
12890,4606,1,53.87,2,4,4,244,244
12893,4612,1,20.4,2,4,4,244,244
12895,4624,2,107.65,2,3,3,233,2Lost
12901,4592,14,3647.06,1,1,1,111,High Value1
12902,4846,1,42.03,4,4,4,444,444
12904,4600,2,64.55000000000001,1,3,3,133,1Lost
12906,4593,4,494.87,1,2,1,121,High Value1
12909,4669,4,624.21,3,2,1,321,Medium Value1
12910,4646,4,481.26,3,2,1,321,Medium Value1
12912,4590,2,162.36,1,3,2,132,1Medium Value
12913,4586,4,617.7800000000001,1,2,1,121,High Value1
12915,4730,1,35.9,4,4,4,444,444
12916,4720,4,699.38,3,2,1,321,Medium Value1
12919,4590,4,133.74,1,2,3,123,High Value3
12920,4599,1,23.4,1,4,4,144,144
12921,4591,31,2393.04,1,1,1,111,High Value1
12922,4743,1,57.239999999999995,4,4,4,444,444
12923,4646,1,59.5,3,4,3,343,3Lost
12924,4670,3,220.83,3,2,2,322,Medium Value2
12925,4586,2,183.16,1,3,2,132,1Medium Value
12928,4617,5,366.8,2,1,1,211,2High Value
12929,4893,1,42.900000000000006,4,4,4,444,444
12930,4660,2,97.51,3,3,3,333,Lost3
12931,4603,10,8490.64,2,1,1,211,2High Value
12933,4606,3,113.87,2,2,3,223,Medium Value3
12935,4584,6,406.1,1,1,1,111,High Value1
12936,4599,2,236.79000000000002,1,3,2,132,1Medium Value
12937,4597,4,393.43,1,2,1,121,High Value1
12939,4646,6,1680.6799999999998,3,1,1,311,3High Value
12940,4636,2,207.07000000000002,3,3,2,332,3Medium Value
12942,4713,2,80.92,3,3,3,333,Lost3
12944,4617,2,189.4,2,3,2,232,2Medium Value
12945,4870,1,129.10000000000002,4,4,3,443,4Lost
12947,4725,4,215.87,4,2,2,422,4Medium Value
12948,4626,6,372.78,2,1,1,211,2High Value
12949,4612,7,748.02,2,1,1,211,2High Value
12950,4584,3,471.6,1,2,1,121,High Value1
12951,4590,4,157.3,1,2,2,122,High Value2
12952,4587,4,291.27,1,2,2,122,High Value2
12953,4591,1,76.3,1,4,3,143,1Lost
12955,4583,10,875.52,1,1,1,111,High Value1
12956,4888,1,7.9,4,4,4,444,444
12957,4591,8,814.6999999999998,1,1,1,111,High Value1
12962,4589,2,40.45,1,3,4,134,134
12963,4590,6,257.62,1,1,2,112,High Value2
12965,4671,1,102.10000000000001,3,4,3,343,3Lost
12966,4591,1,42.5,1,4,4,144,144
12968,4694,1,24.95,3,4,4,344,344
12970,4589,3,72.78,1,2,3,123,High Value3
12971,4597,40,2082.6899999999996,1,1,1,111,High Value1
12974,4779,1,47.5,4,4,4,444,444
12976,4793,1,203.68,4,4,2,442,4Low Value
12977,4738,1,0.65,4,4,4,444,444
12980,4769,6,2463.5399999999995,4,1,1,411,4High Value
12981,4611,2,84.47999999999999,2,3,3,233,2Lost
12982,4824,1,85.28999999999999,4,4,3,443,4Lost
12984,4600,1,19.8,1,4,4,144,144
12985,4582,2,174.82000000000002,1,3,2,132,1Medium Value
12987,4655,2,45.4,3,3,4,334,Lost4
12988,4874,1,102.41999999999997,4,4,3,443,4Lost
12989,4585,6,976.8000000000001,1,1,1,111,High Value1
12990,4613,1,20.8,2,4,4,244,244
12991,4605,2,77.7,2,3,3,233,2Lost
12993,4605,4,154.14999999999998,2,2,2,222,Medium Value2
12994,4586,3,212.45,1,2,2,122,High Value2
12997,4604,4,165.37999999999997,2,2,2,222,Medium Value2
12999,4787,2,21.9,4,3,4,434,Lost4
13000,4841,2,46.08,4,3,4,434,Lost4
13001,4586,10,2109.48,1,1,1,111,High Value1
13002,4900,1,24.95,4,4,4,444,444
13004,4593,17,1044.63,1,1,1,111,High Value1
13005,4755,2,92.85000000000001,4,3,3,433,Lost3
13006,4638,1,77.00999999999999,3,4,3,343,3Lost
13008,4905,1,46.92,4,4,4,444,444
13012,4591,6,418.92,1,1,1,111,High Value1
13013,4603,10,624.6,2,1,1,211,2High Value
13014,4592,8,680.5999999999999,1,1,1,111,High Value1
13015,4635,5,900.1500000000001,3,1,1,311,3High Value
13016,4655,2,184.10999999999996,3,3,2,332,3Medium Value
13018,4598,23,1483.6200000000001,1,1,1,111,High Value1
13021,4586,8,585.4999999999999,1,1,1,111,High Value1
13023,4646,2,181.48999999999998,3,3,2,332,3Medium Value
13026,4583,5,391.79999999999995,1,1,1,111,High Value1
13027,4695,3,1344.0,3,2,1,321,Medium Value1
13028,4604,2,160.20000000000002,2,3,2,232,2Medium Value
13029,4720,1,315.9,3,4,2,342,3Low Value
13030,4593,1,60.93,1,4,3,143,1Lost
13032,4634,2,115.22999999999999,3,3,3,333,Lost3
13033,4939,1,55.050000000000004,4,4,4,444,444
13034,4636,1,86.99999999999999,3,4,3,343,3Lost
13035,4655,2,262.70000000000005,3,3,2,332,3Medium Value
13037,4720,3,237.22,3,2,2,322,Medium Value2
13038,4872,1,75.6,4,4,3,443,4Lost
13040,4590,2,109.01,1,3,3,133,1Lost
13043,4855,1,196.8,4,4,2,442,4Low Value
13044,4873,1,150.83999999999997,4,4,2,442,4Low Value
13045,4681,1,45.34,3,4,4,344,344
13046,4612,2,99.33000000000001,2,3,3,233,2Lost
13047,4638,6,626.02,3,1,1,311,3High Value
13048,4596,4,479.40000000000003,1,2,1,121,High Value1
13049,4646,2,122.1,3,3,3,333,Lost3
13050,4596,16,1147.52,1,1,1,111,High Value1
13052,4794,1,72.6,4,4,3,443,4Lost
13055,4660,2,191.64,3,3,2,332,3Medium Value
13058,4606,3,59.0,2,2,3,223,Medium Value3
13060,4835,1,62.39999999999999,4,4,3,443,4Lost
