CustomerID,RFM_Level
12747,Top
12748,Top
12749,Top
12820,Top
12822,Top
12823,Top
12824,Top
12826,Top
12827,Top
12828,Top
12829,Top
12830,Top
12832,Top
12833,Top
12834,Top
12836,Top
12837,Top
12838,Top
12839,Top
12840,Top
12841,Top
12842,Top
12843,Top
12844,Top
12845,Top
12847,Top
12849,Top
12851,Top
12852,Top
12853,Top
12854,Top
12856,Top
12857,Top
12863,Top
12864,Top
12867,Top
12868,Top
12871,Top
12872,Top
12873,Top
12877,Top
12878,Top
12879,Top
12883,Top
12884,Top
12885,Top
12886,Top
12890,Top
12893,Top
12895,Top
12901,Top
12902,Top
12904,Top
12906,Top
12909,Top
12910,Top
12912,Top
12913,Top
12915,Top
12916,Top
12919,Top
12920,Top
12921,Top
12922,Top
12923,Top
12924,Top
12925,Top
12928,Top
12929,Top
12930,Top
12931,Top
12933,Top
12935,Top
12936,Top
12937,Top
12939,Top
12940,Top
12942,Top
12944,Top
12945,Top
12947,Top
12948,Top
12949,Top
12950,Top
12951,Top
12952,Top
12953,Top
12955,Top
12956,Top
12957,Top
12962,Top
12963,Top
12965,Top
12966,Top
12968,Top
12970,Top
12971,Top
12974,Top
12976,Top
12977,Top
12980,Top
12981,Top
12982,Top
12984,Top
12985,Top
12987,Top
12988,Top
12989,Top
12990,Top
12991,Top
12993,Top
12994,Top
12997,Top
12999,Top
13000,Top
13001,Top
13002,Top
13004,Top
13005,Top
13006,Top
13008,Top
13012,Top
13013,Top
13014,Top
13015,Top
13016,Top
13018,Top
13021,Top
13023,Top
13026,Top
13027,Top
13028,Top
13029,Top
13030,Top
13032,Top
13033,Top
13034,Top
13035,Top
13037,Top
13038,Top
13040,Top
13043,Top
13044,Top
13045,Top
13046,Top
13047,Top
13048,Top
13049,Top
13050,Top
13052,Top
13055,Top
13058,Top
13060,Top
13061,Top
13062,Top
13064,Top
13066,Top
13067,Top
13069,Top
13070,Top
13072,Top
13075,Top
13077,Top
13078,Top
13080,Top
13081,Top
13082,Top
13083,Top
13085,Top
13089,Top
13090,Top
13091,Top
13092,Top
13093,Top
13094,Top
13095,Top
13097,Top
13098,Top
13101,Top
13102,Top
13104,Top
13106,Top
13107,Top
13109,Top
13110,Top
13113,Top
13115,Top
13116,Top
13117,Top
13118,Top
13120,Top
13121,Top
13122,Top
13124,Top
13126,Top
13127,Top
13131,Top
13132,Top
13133,Top
13134,Top
13135,Top
13136,Top
13137,Top
13138,Top
13139,Top
13140,Top
13141,Top
13142,Top
13144,Top
13145,Top
13146,Top
13147,Top
13148,Top
13149,Top
13151,Top
13153,Top
13155,Top
13157,Top
13158,Top
13159,Top
13160,Top
13161,Top
13162,Top
13165,Top
13166,Top
13167,Top
13168,Top
13169,Top
13170,Top
13171,Top
13173,Top
13174,Top
13176,Top
13177,Top
13178,Top
13182,Top
13183,Top
13184,Top
13186,Top
13187,Top
13189,Top
13192,Top
13193,Top
13194,Top
13196,Top
13198,Top
13199,Top
13200,Top
13203,Top
13208,Top
13209,Top
13210,Top
13211,Top
13212,Top
13213,Top
13216,Top
13220,Top
13221,Top
13223,Top
13224,Top
13225,Top
13226,Top
13228,Top
13229,Top
13230,Top
13232,Top
13233,Top
13235,Top
13236,Top
13238,Top
13239,Top
13240,Top
13242,Top
13243,Top
13244,Top
13245,Top
13246,Top
13247,Top
13248,Top
13249,Top
13253,Top
13255,Top
13258,Top
13259,Top
13260,Top
13261,Top
13262,Top
13263,Top
13265,Top
13266,Top
13267,Top
13268,Top
13269,Top
13271,Top
13272,Top
13273,Top
13276,Top
13277,Top
13278,Top
13280,Top
13282,Top
13283,Top
13285,Top
13291,Top
13292,Top
13294,Top
13296,Top
13297,Top
13300,Top
13301,Top
13302,Top
13304,Top
13305,Top
13308,Top
13309,Top
13310,Top
13311,Top
13313,Top
13314,Top
13316,Top
13317,Top
13318,Top
13319,Top
13320,Top
13321,Top
13322,Top
13323,Top
13324,Top
13325,Top
13327,Top
13328,Top
13329,Top
13330,Top
13332,Top
13334,Top
13336,Top
13338,Top
13339,Top
13340,Top
13341,Top
13343,Top
13344,Top
13345,Top
13347,Top
13348,Top
13349,Top
13350,Top
13351,Top
13352,Top
13354,Top
13355,Top
13356,Top
13357,Top
13358,Top
13359,Top
13362,Top
13363,Top
13364,Top
13365,Top
13368,Top
13372,Top
13373,Top
13375,Top
13376,Top
13379,Top
13381,Top
13382,Top
13384,Top
13385,Top
13388,Top
13389,Top
13394,Top
13395,Top
13396,Top
13397,Top
13398,Top
13402,Top
13403,Top
13404,Top
13405,Top
13408,Top
13410,Top
13411,Top
13414,Top
13416,Top
13417,Top
13418,Top
13419,Top
13420,Top
13421,Top
13422,Top
13425,Top
13426,Top
13427,Top
13428,Top
13429,Top
13430,Top
13431,Top
13435,Top
13436,Top
13437,Top
13439,Top
13441,Top
13447,Top
13448,Top
13449,Top
13450,Top
13451,Top
13452,Top
13453,Top
13455,Top
13456,Top
13458,Top
13460,Top
13461,Top
13462,Top
13464,Top
13466,Top
13467,Top
13468,Top
13470,Top
13471,Top
13473,Top
13474,Top
13475,Top
13476,Top
13477,Top
13479,Top
13481,Top
13482,Top
13483,Top
13484,Top
13485,Top
13486,Top
13487,Top
13488,Top
13489,Top
13491,Top
13494,Top
13495,Top
13496,Top
13497,Top
13499,Top
13500,Top
13502,Top
13503,Top
13504,Top
13506,Top
13507,Top
13508,Top
13509,Top
13510,Top
13512,Top
13513,Top
13515,Top
13516,Top
13517,Top
13518,Top
13519,Top
13521,Top
13523,Top
13524,Top
13525,Top
13527,Top
13529,Top
13531,Top
13532,Top
13533,Top
13534,Top
13536,Top
13538,Top
13539,Top
13544,Top
13546,Top
13548,Top
13549,Top
13551,Top
13552,Top
13555,Top
13557,Top
13558,Top
13560,Top
13562,Top
13563,Top
13564,Top
13565,Top
13566,Top
13568,Top
13569,Top
13570,Top
13571,Top
13572,Top
13573,Top
13575,Top
13576,Top
13577,Top
13581,Top
13583,Top
13584,Top
13587,Top
13588,Top
13589,Top
13590,Top
13591,Top
13592,Top
13593,Top
13594,Top
13596,Top
13598,Top
13599,Top
13600,Top
13601,Top
13602,Top
13603,Top
13606,Top
13607,Top
13610,Top
13611,Top
13614,Top
13615,Top
13617,Top
13618,Top
13621,Top
13623,Top
13626,Top
13627,Top
13629,Top
13630,Top
13631,Top
13632,Top
13634,Top
13635,Top
13636,Top
13637,Top
13638,Top
13639,Top
13642,Top
13643,Top
13644,Top
13645,Top
13647,Top
13649,Top
13650,Top
13652,Top
13654,Top
13655,Top
13656,Top
13657,Top
13658,Top
13659,Top
13662,Top
13663,Top
13666,Top
13667,Top
13668,Top
13669,Top
13670,Top
13673,Top
13675,Top
13678,Top
13680,Top
13681,Top
13682,Top
13684,Top
13685,Top
13686,Top
13689,Top
13690,Top
13692,Top
13694,Top
13695,Top
13697,Top
13699,Top
13700,Top
13703,Top
13704,Top
13705,Top
13706,Top
13707,Top
13708,Top
13709,Top
13710,Top
13711,Top
13712,Top
13715,Top
13716,Top
13717,Top
13718,Top
13719,Top
13720,Top
13721,Top
13722,Top
13723,Top
13725,Top
13726,Top
13727,Top
13728,Top
13730,Top
13731,Top
13732,Top
13735,Top
13736,Top
13737,Top
13740,Top
13741,Top
13742,Top
13743,Top
13744,Top
13745,Top
13748,Top
13750,Top
13751,Top
13752,Top
13753,Top
13754,Top
13755,Top
13756,Top
13758,Top
13759,Top
13760,Top
13761,Top
13762,Top
13763,Top
13764,Top
13767,Top
13769,Top
13771,Top
13772,Top
13774,Top
13777,Top
13778,Top
13780,Top
