"assignment_id","assignment_name","start_date","end_date","budget","region","impact_score"
1,"Assignment_1","2021-10-17T00:00:00.000","2021-12-04T00:00:00.000",-32322.03,"West",5.55
2,"Assignment_2","2020-10-26T00:00:00.000","2020-11-28T00:00:00.000",57278.4,"South",1.45
3,"Assignment_3","2021-08-11T00:00:00.000","2022-03-17T00:00:00.000",40414.51,"West",2.34
4,"Assignment_4","2021-11-22T00:00:00.000","2022-05-17T00:00:00.000",31732.48,"East",7.05
5,"Assignment_5","2020-11-22T00:00:00.000","2021-07-10T00:00:00.000",13548.22,"North",5.29
6,"Assignment_6","2020-01-02T00:00:00.000","2021-01-17T00:00:00.000",46884.12,"East",6.38
7,"Assignment_7","2020-07-20T00:00:00.000","2020-11-18T00:00:00.000",15638.08,"East",5.12
8,"Assignment_8","2021-02-01T00:00:00.000","2021-03-10T00:00:00.000",83765.95,"North",9.33
9,"Assignment_9","2021-12-01T00:00:00.000","2021-07-12T00:00:00.000",94549.41,"North",8.43
10,"Assignment_10","2020-10-11T00:00:00.000","2020-12-23T00:00:00.000",7516.23,"South",9.82
11,"Assignment_11","2021-12-14T00:00:00.000","2022-08-28T00:00:00.000",68758.76,"South",9.45
12,"Assignment_12","2021-08-31T00:00:00.000","2022-05-11T00:00:00.000",29334.24,"East",7.56
13,"Assignment_13","2021-06-10T00:00:00.000","2022-09-29T00:00:00.000",35206.68,"West",1.47
14,"Assignment_14","2020-08-23T00:00:00.000","2020-11-03T00:00:00.000",88839.5,"South",9.99
15,"Assignment_15","2021-01-05T00:00:00.000","2021-09-30T00:00:00.000",-39344.59,"West",5.26
16,"Assignment_16","2020-05-10T00:00:00.000","2021-06-15T00:00:00.000",-36930.61,"East",1.55
17,"Assignment_17","2021-03-29T00:00:00.000","2021-09-16T00:00:00.000",-46967.24,"West",9.92
18,"Assignment_18","2021-11-23T00:00:00.000","2022-10-21T00:00:00.000",74892.98,"South",6.13
19,"Assignment_19","2021-06-12T00:00:00.000","2022-08-21T00:00:00.000",66723.51,"East",5.13
20,"Assignment_20","2020-06-18T00:00:00.000","2021-06-14T00:00:00.000",80501.82,"West",1.18
21,"Assignment_21","2021-01-27T00:00:00.000","2021-09-26T00:00:00.000",96792.75,"South",4.86
22,"Assignment_22","2020-04-18T00:00:00.000","2020-10-23T00:00:00.000",69873.78,"South",2.65
23,"Assignment_23","2020-08-06T00:00:00.000","2021-05-05T00:00:00.000",19221.9,"East",7.47
24,"Assignment_24","2020-04-18T00:00:00.000","2020-10-25T00:00:00.000",67079.38,"West",1.07
25,"Assignment_25","2021-10-08T00:00:00.000","2022-02-14T00:00:00.000",-32258.84,"North",5.8
26,"Assignment_26","2020-03-14T00:00:00.000","2020-06-10T00:00:00.000",45988.15,"South",1.39
27,"Assignment_27","2021-04-25T00:00:00.000","2021-07-02T00:00:00.000",-28497.01,"East",7.43
28,"Assignment_28","2021-09-12T00:00:00.000","2022-05-17T00:00:00.000",91700.34,"East",9.58
29,"Assignment_29","2020-07-13T00:00:00.000","2020-09-15T00:00:00.000",28277.25,"East",1.39
30,"Assignment_30","2021-07-12T00:00:00.000","2022-09-01T00:00:00.000",12199.29,"North",1.93
31,"Assignment_31","2021-02-17T00:00:00.000","2021-03-30T00:00:00.000",-10316.66,"North",5.64
32,"Assignment_32","2021-07-01T00:00:00.000","2021-10-30T00:00:00.000",66135.05,"South",9.84
33,"Assignment_33","2021-09-21T00:00:00.000","2022-05-19T00:00:00.000",18422.55,"East",4.7
34,"Assignment_34","2021-04-12T00:00:00.000","2021-10-28T00:00:00.000",35265.09,"West",6.54
35,"Assignment_35","2021-12-01T00:00:00.000","2022-06-20T00:00:00.000",-47181.53,"North",7.85
36,"Assignment_36","2020-04-24T00:00:00.000","2020-09-25T00:00:00.000",42645.32,"North",9.35
37,"Assignment_37","2020-08-28T00:00:00.000","2021-04-15T00:00:00.000",41814.36,"North",2.59
38,"Assignment_38","2020-03-17T00:00:00.000","2020-04-06T00:00:00.000",42540.1,"North",9.2
39,"Assignment_39","2021-07-20T00:00:00.000","2021-08-11T00:00:00.000",91562.21,"West",6.64
40,"Assignment_40","2020-02-27T00:00:00.000","2020-05-16T00:00:00.000",52273.04,"East",8.25
41,"Assignment_41","2021-11-29T00:00:00.000","2022-03-16T00:00:00.000",3926.19,"South",3.66
42,"Assignment_42","2021-10-22T00:00:00.000","2021-12-10T00:00:00.000",15554.79,"West",5.5
43,"Assignment_43","2021-06-15T00:00:00.000","2021-11-09T00:00:00.000",54644.68,"North",2.88
44,"Assignment_44","2020-09-13T00:00:00.000","2021-03-21T00:00:00.000",-40966.18,"South",8.69
45,"Assignment_45","2021-01-01T00:00:00.000","2021-04-30T00:00:00.000",50015.01,"North",2.84
46,"Assignment_46","2021-10-03T00:00:00.000","2021-07-24T00:00:00.000",50595.68,"West",5.93
47,"Assignment_47","2020-03-19T00:00:00.000","2020-12-15T00:00:00.000",-18442.62,"North",4.76
48,"Assignment_48","2020-10-01T00:00:00.000","2021-08-12T00:00:00.000",-30661.06,"South",1.45
49,"Assignment_49","2020-12-03T00:00:00.000","2021-05-19T00:00:00.000",-2685.75,"South",4.71
50,"Assignment_50","2020-02-09T00:00:00.000","2021-04-24T00:00:00.000",4556.62,"East",8.06
