"garage_id","user_id","user_type","start_plugin","start_plugin_hour","end_plugout","end_plugout_hour","el_kwh","duration_hours","month_plugin","weekdays_plugin"
"AdO3","AdO3-4","Private","2018-12-21T10:20:00.000",10,"2018-12-21T10:23:00.000",10,0.3,0.05,"Dec","Friday"
"AdO3","AdO3-4","Private","2018-12-21T10:24:00.000",10,"2018-12-21T10:32:00.000",10,0.87,0.136666667,"Dec","Friday"
"AdO3","AdO3-4","Private","2018-12-21T11:33:00.000",11,"2018-12-21T19:46:00.000",19,29.87,8.216388889,"Dec","Friday"
"AdO3","AdO3-2","Private","2018-12-22T16:15:00.000",16,"2018-12-23T16:40:00.000",16,15.56,24.41972222,"Dec","Saturday"
"AdO3","AdO3-2","Private","2018-12-24T22:03:00.000",22,"2018-12-24T23:02:00.000",23,3.62,0.970555556,"Dec","Monday"
"AdO3","AdO3-2","Private","2018-12-24T23:32:00.000",23,"2018-12-25T17:37:00.000",17,16.14,18.07777778,"Dec","Monday"
"AdO3","AdO3-2","Private","2018-12-25T18:25:00.000",18,"2018-12-26T16:08:00.000",16,10.33,21.72083333,"Dec","Tuesday"
"AdO3","AdO3-4","Private","2018-12-26T10:41:00.000",10,"2018-12-26T16:52:00.000",16,27.66,6.188055556,"Dec","Wednesday"
"AdO3","AdO3-2","Private","2018-12-26T18:46:00.000",18,"2018-12-26T21:08:00.000",21,8.83,2.371111111,"Dec","Wednesday"
"AdO3","AdO3-2","Private","2018-12-29T16:04:00.000",16,"2018-12-29T20:55:00.000",20,8.58,4.856111111,"Dec","Saturday"
"AdO3","AdO3-2","Private","2018-12-29T23:48:00.000",23,"2018-12-30T15:13:00.000",15,15.95,15.42833333,"Dec","Saturday"
"AdO3","AdO3-2","Private","2018-12-30T16:24:00.000",16,"2018-12-30T17:23:00.000",17,3.64,0.981111111,"Dec","Sunday"
"AdO3","AdO3-2","Private","2018-12-30T22:00:00.000",22,"2018-12-31T11:28:00.000",11,9.79,13.45472222,"Dec","Sunday"
"AdO3","AdO3-4","Private","2019-01-02T08:39:00.000",8,"2019-01-03T09:11:00.000",9,28.11,24.53388889,"Jan","Wednesday"
"Bl2","Bl2-4","Private","2019-01-02T19:59:00.000",19,"2019-01-03T00:52:00.000",0,14.64,4.879722222,"Jan","Wednesday"
"AdO3","AdO3-2","Private","2019-01-04T15:44:00.000",15,"2019-01-05T08:06:00.000",8,2,16.37472222,"Jan","Friday"
"AdO3","AdO3-4","Private","2019-01-05T17:10:00.000",17,"2019-01-06T16:24:00.000",16,29.34,23.24166667,"Jan","Saturday"
"Bl2","Bl2-4","Private","2019-01-05T18:04:00.000",18,"2019-01-06T17:39:00.000",17,14.77,23.58583333,"Jan","Saturday"
"AdO1","AdO1-2","Private","2019-01-05T20:06:00.000",20,"2019-01-06T13:23:00.000",13,10.46,17.28666667,"Jan","Saturday"
"AdO1","AdO1-2","Private","2019-01-06T18:02:00.000",18,"2019-01-06T21:31:00.000",21,3.92,3.479722222,"Jan","Sunday"
"AdO1","AdO1-2","Private","2019-01-07T20:02:00.000",20,"2019-01-07T20:05:00.000",20,0.08,0.036944444,"Jan","Monday"
"AdO1","AdO1-2","Private","2019-01-07T20:05:00.000",20,"2019-01-08T10:05:00.000",10,6.14,14,"Jan","Monday"
"AdO1","AdO1-2","Private","2019-01-08T19:28:00.000",19,"2019-01-09T12:01:00.000",12,5.34,16.55194444,"Jan","Tuesday"
"Bl2","Bl2-4","Private","2019-01-09T16:46:00.000",16,"2019-01-10T10:20:00.000",10,18.7,17.57194444,"Jan","Wednesday"
"AdO1","AdO1-2","Private","2019-01-09T20:59:00.000",20,"2019-01-10T15:19:00.000",15,10.38,18.33777778,"Jan","Wednesday"
"Bl2","Bl2-2","Shared","2019-01-09T22:35:00.000",22,"2019-01-09T23:10:00.000",23,1.85,0.585,"Jan","Wednesday"
"AdO3","AdO3-4","Private","2019-01-09T23:53:00.000",23,"2019-01-09T23:56:00.000",23,0.34,0.056666667,"Jan","Wednesday"
"UT9","Share-12","Shared","2019-01-10T16:30:00.000",16,"2019-01-10T17:20:00.000",17,5.1,0.831944444,"Jan","Thursday"
"AdO1","AdO1-2","Private","2019-01-10T23:32:00.000",23,"2019-01-11T18:10:00.000",18,8.35,18.63138889,"Jan","Thursday"
"UT9","Share-12","Shared","2019-01-11T15:12:00.000",15,"2019-01-11T17:07:00.000",17,11.7,1.917777778,"Jan","Friday"
"AsO2","Share-4","Shared","2019-01-11T17:13:00.000",17,"2019-01-11T21:43:00.000",21,7.28,4.500833333,"Jan","Friday"
"Bl2","Share-8","Shared","2019-01-11T18:54:00.000",18,"2019-01-12T09:47:00.000",9,16.79,14.88722222,"Jan","Friday"
"UT9","Share-12","Shared","2019-01-11T20:34:00.000",20,"2019-01-11T22:56:00.000",22,14.63,2.374166667,"Jan","Friday"
"AsO2","Share-4","Shared","2019-01-12T12:23:00.000",12,"2019-01-12T13:58:00.000",13,5.51,1.576388889,"Jan","Saturday"
"UT9","Share-12","Shared","2019-01-12T13:36:00.000",13,"2019-01-12T15:32:00.000",15,11.99,1.938611111,"Jan","Saturday"
"AsO2","Share-4","Shared","2019-01-12T15:29:00.000",15,"2019-01-12T18:09:00.000",18,6.56,2.669444444,"Jan","Saturday"
"UT9","Share-14","Shared","2019-01-12T15:53:00.000",15,"2019-01-12T21:21:00.000",21,19,5.477222222,"Jan","Saturday"
"AdO1","AdO1-2","Private","2019-01-12T18:10:00.000",18,"2019-01-13T18:42:00.000",18,6.19,24.53638889,"Jan","Saturday"
"AdO3","AdO3-2","Private","2019-01-12T21:43:00.000",21,"2019-01-13T14:13:00.000",14,16.5,16.50194444,"Jan","Saturday"
"AsO2","Share-4","Shared","2019-01-13T12:27:00.000",12,"2019-01-13T16:16:00.000",16,5.72,3.818055556,"Jan","Sunday"
"UT9","Share-12","Shared","2019-01-13T13:30:00.000",13,"2019-01-13T16:23:00.000",16,14.4,2.879722222,"Jan","Sunday"
"Bl2","Share-8","Shared","2019-01-13T15:01:00.000",15,"2019-01-13T18:20:00.000",18,18.48,3.311944444,"Jan","Sunday"
"AdO3","AdO3-2","Private","2019-01-13T17:07:00.000",17,"2019-01-14T12:53:00.000",12,13.88,19.77722222,"Jan","Sunday"
"Bl2","Bl2-4","Private","2019-01-14T18:53:00.000",18,"2019-01-15T10:06:00.000",10,14.21,15.20972222,"Jan","Monday"
"UT9","Share-12","Shared","2019-01-14T19:52:00.000",19,"2019-01-15T06:37:00.000",6,27.24,10.74611111,"Jan","Monday"
"AdO1","AdO1-2","Private","2019-01-14T21:05:00.000",21,"2019-01-15T13:33:00.000",13,4.09,16.47166667,"Jan","Monday"
"AdO1","AdO1-2","Private","2019-01-15T15:28:00.000",15,"2019-01-15T17:12:00.000",17,3.97,1.730555556,"Jan","Tuesday"
"AdO3","AdO3-4","Private","2019-01-15T18:39:00.000",18,"2019-01-16T08:24:00.000",8,15.47,13.74833333,"Jan","Tuesday"
"AdO1","AdO1-2","Private","2019-01-15T19:57:00.000",19,"2019-01-16T10:15:00.000",10,5.29,14.30305556,"Jan","Tuesday"
"Bl2","Bl2-2","Shared","2019-01-15T22:41:00.000",22,"2019-01-16T07:52:00.000",7,14.61,9.182222222,"Jan","Tuesday"
"Bl2","Share-8","Shared","2019-01-15T23:32:00.000",23,"2019-01-16T11:08:00.000",11,22.31,11.5975,"Jan","Tuesday"
"AdO1","AdO1-2","Private","2019-01-16T13:44:00.000",13,"2019-01-17T17:37:00.000",17,6.2,27.87416667,"Jan","Wednesday"
"UT9","Share-14","Shared","2019-01-17T11:32:00.000",11,"2019-01-17T12:18:00.000",12,2.83,0.773055556,"Jan","Thursday"
"UT9","Share-14","Shared","2019-01-17T12:51:00.000",12,"2019-01-17T13:51:00.000",13,3.67,1.006666667,"Jan","Thursday"
"AdO3","AdO3-4","Private","2019-01-17T17:39:00.000",17,"2019-01-18T15:16:00.000",15,30.2,21.61916667,"Jan","Thursday"
"AdO1","AdO1-2","Private","2019-01-17T18:56:00.000",18,"2019-01-18T18:20:00.000",18,9.25,23.40583333,"Jan","Thursday"
"Bl2","Share-8","Shared","2019-01-17T22:16:00.000",22,"2019-01-18T10:16:00.000",10,25.62,12.01138889,"Jan","Thursday"
"UT9","Share-14","Shared","2019-01-17T22:48:00.000",22,"2019-01-18T05:38:00.000",5,18.29,6.841944444,"Jan","Thursday"
"AsO2","Share-6","Shared","2019-01-18T02:00:00.000",2,"2019-01-18T02:08:00.000",2,0.75,0.1325,"Jan","Friday"
"UT9","Share-6","Shared","2019-01-18T02:12:00.000",2,"2019-01-18T02:30:00.000",2,1.45,0.309722222,"Jan","Friday"
"Bl2","Bl2-4","Private","2019-01-18T15:39:00.000",15,"2019-01-19T10:47:00.000",10,20.53,19.12833333,"Jan","Friday"
"UT9","Share-6","Shared","2019-01-18T22:33:00.000",22,"2019-01-19T01:18:00.000",1,16.71,2.735,"Jan","Friday"
"Bl2","Share-8","Shared","2019-01-18T23:35:00.000",23,"2019-01-19T04:00:00.000",4,13.06,4.411666667,"Jan","Friday"
"AsO2","Share-4","Shared","2019-01-19T13:07:00.000",13,"2019-01-19T16:35:00.000",16,8.79,3.454722222,"Jan","Saturday"
"UT9","Share-12","Shared","2019-01-19T14:16:00.000",14,"2019-01-19T19:47:00.000",19,29.73,5.527222222,"Jan","Saturday"
"UT9","Share-6","Shared","2019-01-19T22:27:00.000",22,"2019-01-20T00:57:00.000",0,14.84,2.502777778,"Jan","Saturday"
"Bl2","Bl2-2","Shared","2019-01-20T21:21:00.000",21,"2019-01-21T10:14:00.000",10,19.43,12.88361111,"Jan","Sunday"
"UT9","Share-12","Shared","2019-01-21T15:57:00.000",15,"2019-01-21T18:40:00.000",18,16.65,2.709166667,"Jan","Monday"
"AdO1","AdO1-2","Private","2019-01-21T16:27:00.000",16,"2019-01-29T11:31:00.000",11,7.99,187.0569444,"Jan","Monday"
"UT9","Share-12","Shared","2019-01-22T14:36:00.000",14,"2019-01-22T18:39:00.000",18,24.36,4.046388889,"Jan","Tuesday"
"Bl2","Share-8","Shared","2019-01-22T18:52:00.000",18,"2019-01-22T23:13:00.000",23,18.47,4.346111111,"Jan","Tuesday"
"UT9","Share-14","Shared","2019-01-23T11:48:00.000",11,"2019-01-23T12:48:00.000",12,2.92,0.9975,"Jan","Wednesday"
"UT9","Share-12","Shared","2019-01-23T15:57:00.000",15,"2019-01-23T20:50:00.000",20,20.48,4.878611111,"Jan","Wednesday"
"Bl2","Bl2-4","Private","2019-01-23T19:00:00.000",19,"2019-01-24T05:17:00.000",5,15.66,10.28333333,"Jan","Wednesday"
"UT9","Share-14","Shared","2019-01-23T21:43:00.000",21,"2019-01-24T04:10:00.000",4,19.25,6.458055556,"Jan","Wednesday"
"AsO2","Share-4","Shared","2019-01-24T16:33:00.000",16,"2019-01-25T00:14:00.000",0,6.9,7.694166667,"Jan","Thursday"
"Bl2","Share-8","Shared","2019-01-24T22:15:00.000",22,"2019-01-25T07:29:00.000",7,18.47,9.231666667,"Jan","Thursday"
"Bl2","Bl2-2","Shared","2019-01-25T13:29:00.000",13,"2019-01-25T14:47:00.000",14,4.39,1.302777778,"Jan","Friday"
"Bl2","Bl2-1","Private","2019-01-25T15:39:00.000",15,"2019-01-25T15:52:00.000",15,0.71,0.204444444,"Jan","Friday"
"Bl2","Bl2-1","Private","2019-01-25T15:52:00.000",15,"2019-01-25T15:52:00.000",15,0.01,0.007777778,"Jan","Friday"
"Bl2","Bl2-1","Private","2019-01-25T15:52:00.000",15,"2019-01-25T16:01:00.000",16,0.47,0.143611111,"Jan","Friday"
"Bl2","Bl2-1","Private","2019-01-25T16:04:00.000",16,"2019-01-25T16:05:00.000",16,0.03,0.013055556,"Jan","Friday"
"Bl2","Bl2-1","Private","2019-01-25T16:09:00.000",16,"2019-01-25T16:50:00.000",16,2.39,0.669722222,"Jan","Friday"
"AsO2","Share-4","Shared","2019-01-25T16:47:00.000",16,"2019-01-25T21:34:00.000",21,7.31,4.7925,"Jan","Friday"
"Bl2","Bl2-1","Private","2019-01-25T16:50:00.000",16,"2019-01-25T16:53:00.000",16,0.09,0.056666667,"Jan","Friday"
"Bl2","Bl2-1","Private","2019-01-25T16:54:00.000",16,"2019-01-25T17:36:00.000",17,2.51,0.7025,"Jan","Friday"
