Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1447152396,JET2661,NY,PAS,2019-06-28,21,SDN,,P,27390,36290,36350,,26.0,26,26,964055,0026,0.0,1000A,,NY,F,21,OLD BROADWAY,,0,408,D1,,BYBBYBB,0900A,1030A,GRY,0.0,0,-,0,,,,,
1447152402,JCV6523,NY,PAS,2019-06-28,20,SDN,,P,36290,27390,13113,,26.0,26,26,964055,0026,0.0,1011A,,NY,F,545,W 126 STREET,,0,408,D1,,BBBBBBB,ALL,ALL,GY,0.0,0,-,0,,,,,
1447152554,GMK6954,NY,PAS,2019-06-16,19,SUBN,,P,36270,11710,27390,,26.0,26,26,927590,0026,0.0,0107A,,,F,509,W 125 ST,,0,408,F1,,BBBBBBB,ALL,ALL,BLK,0.0,2019,-,0,,,,,
1447152580,JGX1641,NY,PAS,2019-06-24,19,SDN,,P,36270,11710,27390,,26.0,26,26,927590,0026,0.0,0300A,,,F,501,W 125 ST,,0,408,F2,,BBBBBBB,ALL,ALL,BLK,0.0,2015,-,0,,,,,
1447152724,GDM8069,NY,COM,2019-07-06,48,Unknown,,P,31190,36310,36330,,26.0,26,26,963447,0026,0.0,0653A,,NY,F,341,ST NICHOLAS AVENUE,,0,408,F1,,BBBBBBB,ALL,ALL,,0.0,0,-,0,,,,,
1447152992,HXH5242,NY,PAS,2019-06-14,46,SUBN,,P,36270,11710,27390,,26.0,26,26,963451,0026,0.0,0515P,,NY,F,564,W 125 ST,,0,408,C,,BBBBBBB,ALL,ALL,GY,0.0,0,-,0,,,,,
1447153315,HXM3470,NY,PAS,2019-06-14,40,SUBN,,P,36290,11710,27390,,26.0,26,26,959203,0026,0.0,0524P,,NY,O,504,W 126 ST,,0,408,F1,,BBBBBBB,ALL,ALL,BK,0.0,2005,-,1,,,,,
1447153327,GWH9640,NY,PAS,2019-06-14,46,SUBN,,P,36270,11710,27390,,26.0,26,26,959203,0026,0.0,0601P,,NY,F,515,W 125 ST,,0,408,E2,,BBBBBBB,ALL,ALL,GY,0.0,2003,-,0,,,,,
1447153340,HKB1769,NY,PAS,2019-06-28,40,SUBN,,P,36290,11710,27390,,26.0,26,26,959203,0026,0.0,0935A,,NY,O,504,W 126 ST,,0,408,D,,BBBBBBB,ALL,ALL,GY,0.0,2004,-,0,,,,,
1447153352,GDH2184,ME,PAS,2019-07-06,48,SDN,,P,31190,40404,40404,,26.0,26,26,959205,0026,0.0,1217P,,NY,F,361,SAINT NICHOLAS AVE,,0,408,E9,,BBBBBBB,ALL,ALL,ORANG,0.0,0,-,0,,,,,
1447153649,JCA5331,NY,PAS,2019-07-01,46,SDN,,P,36270,11710,27390,,26.0,26,26,957363,0026,0.0,0049A,,NY,F,515,W 125 ST,,0,408,F1,,BBBBBBB,ALL,ALL,WH,0.0,0,-,0,,,,,
1447153789,JFW5006,99,PAS,2019-06-16,46,SDN,,P,36270,11710,27390,,26.0,26,26,957367,0026,0.0,0046A,,,F,511,W 125 STREET,,0,408,C3,,BBBBBBB,ALL,ALL,BK,0.0,0,-,0,,,,,
1447153790,HGR2634,NY,PAS,2019-06-16,46,Unknown,,P,36270,11710,27390,,26.0,26,26,957363,0026,0.0,0124A,,NY,F,515,W 125 STREET,,0,408,F1,,BBBBBBB,ALL,ALL,WH,0.0,0,-,0,,,,,
1447153819,GYM7645,NY,PAS,2019-06-15,19,SUBN,,P,36270,11710,27390,,26.0,26,26,965164,0026,0.0,0500A,,NY,F,501Q,W 125 ST,,0,408,F1,,BBBBBBB,ALL,ALL,GR,0.0,2019,-,0,,,,,
1447153820,KHW5523,PA,PAS,2019-06-23,78,SDN,,P,24490,11710,13610,,26.0,26,26,965064,0026,0.0,1221A,,NY,F,75,LA SALLE STREET,,0,408,C3,,BBBBBBB,ALL,ALL,BK,0.0,0,-,0,,,,,
1447153844,JGX7169,NY,PAS,2019-06-30,41,SDN,,P,24490,11710,13610,,26.0,26,26,965164,0026,0.0,1241A,,NY,,75,LA SALLE ST,,0,408,F1,,BBBBBBB,ALL,ALL,BK,0.0,2016,-,0,,,,,
1447154198,JGL4948,NY,PAS,2019-06-18,46,SDN,,P,36190,11710,13610,,26.0,26,26,958135,0026,0.0,1110A,,NY,O,517,W 121ST ST,,0,408,F2,,BBBBBBB,ALL,ALL,GY,0.0,2007,-,0,,,,,
1447154411,JKSN62,FL,PAS,2019-06-14,46,SUBN,,P,36270,11710,27390,,26.0,26,26,944339,0026,0.0,0105A,,,F,511,WEST 125 STREET,,0,408,F1,,BBBBBBB,ALL,ALL,BLK,0.0,0,-,0,,,,,
1447155294,GMC1999,NY,PAS,2019-06-26,14,TRK,,P,13610,24490,32595,,26.0,26,26,954023,0026,0.0,1000P,,NY,F,3163,BROADWAY,,0,408,C,,BBBBBBB,ALL,ALL,RD,0.0,2016,-,0,,,,,
1447155427,JEL8372,NY,PAS,2019-06-29,74,SDN,,P,27390,36290,36350,,26.0,26,26,964055,0026,0.0,0843A,,NY,F,21,OLD BROADWAY,,0,408,D,,BBBBBBB,ALL,ALL,ORANG,0.0,0,-,0,,,,,
1447155750,GHP8968,NY,PAS,2019-06-26,14,SDN,,P,13610,24490,32595,,26.0,26,26,962964,0026,0.0,0955P,,NY,O,3161,BROADWAY,,0,408,C,,BBBBBBB,ALL,ALL,,0.0,0,-,0,,,,,
1447155877,KHG6053,PA,PAS,2019-06-27,46,SDN,,P,15410,24490,32595,,26.0,26,26,943637,0026,0.0,0508P,,,F,181,CLAREMONT AVE,,0,408,E2,,BBBBBBB,ALL,ALL,GRAY,0.0,0,-,0,,,,,
1447156183,JCC9316,NY,PAS,2019-06-14,20,SUBN,,P,36330,15910,11710,,26.0,26,26,950145,0026,0.0,1100A,,NY,O,449,W 128 ST,,0,408,C3,,BBBBBBB,ALL,ALL,WH,0.0,2017,-,0,,,,,
1447156195,HMP3112,99,PAS,2019-06-14,20,SDN,,P,36330,15910,11710,,26.0,26,26,950149,0026,0.0,1100A,,NY,O,449,W 128,,0,408,D,,BBBBBBB,ALL,ALL,WH,0.0,2014,-,0,,,,,
1447156201,JFG3676,99,PAS,2019-06-14,20,SUBN,,P,36330,15910,11710,,26.0,26,26,950148,0026,0.0,1100A,,NY,O,449,W 128 ST,,0,408,D,,BBBBBBB,ALL,ALL,BK,0.0,2018,-,0,,,,,
1447156614,JCR3754,NY,PAS,2019-06-28,17,SDN,,P,26490,36230,36250,,26.0,26,26,961389,0026,0.0,0718A,,NY,O,109,MORNINGSIDE AVE,,0,408,C,,BBBBBBB,ALL,ALL,BLK,0.0,2001,-,0,,,,,
1447156626,HXH7367,NY,PAS,2019-06-28,17,SDN,,P,26490,36230,36250,,26.0,26,26,961389,0026,0.0,0722A,,NY,O,111,MORNINGSIDE AVE,,0,408,C4,,BBBBBBB,ALL,ALL,WHT,0.0,2016,-,0,,,,,
1447156638,HXH5563,NY,PAS,2019-06-28,17,VAN,,P,26490,36230,36250,,26.0,26,26,961389,0026,0.0,0726A,,NY,O,113,MORNINGSIDE AVE,,0,408,C4,,BBBBBBB,ALL,ALL,WHT,0.0,2015,-,0,,,,,
1447157000,HPA3075,NY,PAS,2019-06-30,19,Unknown,,P,36270,11710,27390,,26.0,26,26,921706,0026,0.0,0430A,,,F,509,W 125 ST,,0,408,E3,,BBBBBBB,ALL,ALL,,0.0,0,-,0,,,,,
1447157060,GFT5393,NY,PAS,2019-07-04,46,SDN,,P,31190,40404,40404,,26.0,26,26,936269,0026,0.0,0615P,,NY,O,587,ST NICHOLAS AVE,,0,408,E9,,BBBBBBB,ALL,ALL,WH,0.0,2009,-,0,,,,,
1447168951,HDH9057,NY,PAS,2019-06-29,19,SDN,,P,24690,36310,36330,,26.0,26,28,941307,0028,0.0,0115A,,NY,F,339,LENOX AVE,,0,408,D,,BBBBBBB,ALL,ALL,WT,0.0,2019,-,0,,,,,
1447168975,JHU5285,NY,PAS,2019-06-30,19,SDN,,P,24690,36290,36310,,28.0,28,28,941307,0028,0.0,0350A,,NY,F,333,LENOX AVE,,0,408,C3,,BBBBBBB,ALL,ALL,WH,0.0,2013,-,0,,,,,
1447169335,JHX7405,NY,PAS,2019-06-14,40,SUBN,,P,36010,24690,31190,,28.0,28,28,965629,0028,0.0,0125A,,,F,101,W 112 ST,,0,408,F1,,BBBBBBB,ALL,ALL,BLUE,0.0,2006,-,0,,,,,
1447170593,HZU1090,NY,PAS,2019-06-27,46,SDN,,P,36230,10610,10810,,28.0,28,28,936775,0028,0.0,1110A,,,F,214,W 123 ST,,0,408,C,,BBBBBBB,ALL,ALL,,0.0,0,-,0,,,,,
1447171275,JJG2614,NY,PAS,2019-07-03,20,SDN,,P,36050,10610,10810,,28.0,28,28,949901,0028,0.0,0924A,,NY,F,215,W 114 ST,,0,408,F2,,BBBBBBB,0700A,0400P,RED,0.0,2019,-,0,,,,,
1447171287,GYU6351,NY,PAS,2019-07-03,20,SDN,,P,36050,10610,10810,,28.0,28,28,949901,0028,0.0,0918A,,NY,F,215,W 114 ST,,0,408,D,,BBBBBBB,0700A,0400P,BLUE,0.0,2009,-,0,,,,,
1447174100,L12LEG,NJ,PAS,2019-06-21,46,SUBN,,P,10610,36690,36710,,32.0,32,32,957520,0032,0.0,0912P,,NY,F,2524,7TH AVE,,0,408,F1,,BBBBBBB,ALL,ALL,BK,0.0,0,-,0,,,,,
1447174150,GXT1533,NY,PAS,2019-06-25,46,SDN,,P,36750,10610,10810,,32.0,32,32,951520,0032,0.0,0318P,,,F,224,W 149 ST,,0,408,J6,,BBBBBBB,ALL,ALL,BLK,0.0,2002,-,0,,,,,
1447174409,HSC7008,NY,PAS,2019-06-29,46,SDN,,P,36450,16400,24695,,32.0,32,32,953993,0032,0.0,0850A,,NY,F,34,W 134 ST,,0,408,C3,,BBBBBBB,ALL,ALL,SIL,0.0,2017,-,0,,,,,
1447177113,JHS4392,NY,PAS,2019-06-23,20,SDN,,P,36650,24690,10610,,32.0,32,32,957690,0032,0.0,1055A,,NY,O,162,W 144 ST,,0,408,F1,,BBBBBBB,ALL,ALL,BK,0.0,2007,-,0,,,,,
1447182868,GTW6638,NY,PAS,2019-06-16,19,SUBN,,P,25690,36070,36090,,28.0,28,28,952521,0028,0.0,0152A,,NY,F,372,MANHATTAN AVE,,0,408,D,,BBBBBBB,ALL,ALL,WH,0.0,2018,-,0,,,,,
1447184282,JET2379,NY,PAS,2019-06-28,21,SDN,,P,37170,40404,40404,,28.0,28,28,962002,0028,0.0,0845A,,,F,310,W 170 STREET,,0,408,F2,,BYBBYBB,0830A,1000A,WHITE,0.0,0,-,0,,,,,
1447184294,GXT3109,NY,PAS,2019-06-28,21,SDN,,P,37170,40404,40404,,28.0,28,28,962002,0028,0.0,0849A,,,F,302,W 170 ST,,0,408,D1,,BYBBYBB,0830A,1000A,BLU,0.0,2018,-,0,,,,,
1447185640,MINTED,NY,PAS,2019-06-22,61,SDN,,P,26490,36170,36190,,28.0,28,28,960880,0028,0.0,0627A,,NY,F,65,MORNINGSIDE AVENUE,,0,408,D,,BBBBBBB,ALL,ALL,WHITE,0.0,2014,-,0,,,,,
1447185651,MINTED,NY,PAS,2019-06-22,70,SDN,,P,26490,36170,36190,,28.0,28,28,960880,0028,0.0,0627A,,NY,F,65,MORNINGSIDE AVENUE,,0,408,M1,,BBBBBBB,ALL,ALL,WHITE,0.0,2014,-,0,,,,,
1447195747,HCH5849,NY,PAS,2019-06-28,10,VAN,,X,14590,97780,14710,,5.0,5,868,868009,0868,0.0,1101A,,NY,F,1,CENTRE STREET,,0,408,E2,,BBBBBBB,ALL,ALL,WHT,0.0,1998,-,0,,,,,
1447199789,HUG9376,NY,PAS,2019-06-24,17,SUBN,,X,29390,14590,20240,,5.0,5,868,868019,0868,0.0,0608P,,NY,F,10,READE,,0,408,B,,YYYYYBB,0700A,0700P,WH,0.0,2008,-,0,,,,,
1447199807,HLD8482,NY,PAS,2019-06-25,17,SUBN,,X,29390,14590,20240,,5.0,5,868,868019,0868,0.0,0430P,,NY,F,10,READE,,0,408,C4,,YYYYYBB,0700A,0700P,,0.0,2014,-,0,,,,,
1447203793,HXU6709,NY,PAS,2019-07-02,17,SUBN,,D,0,0,0,,120.0,120,868,868032,0868,0.0,0917A,,R,,259,W/O NICK LAPORTE PL,,0,408,K2,,YYYYYBB,0700A,0500P,WHT,0.0,2018,-,0,,,,,
1447203800,HXU6709,NY,PAS,2019-07-05,17,SUBN,,D,0,0,0,,120.0,120,868,868032,0868,0.0,0910A,,R,,259,W/O NICK LAPORTE PL,,0,408,C4,,YYYYYBB,0700A,0500P,WHT,0.0,2018,-,0,,,,,
1447209047,JCM2446,NY,PAS,2019-06-20,46,Unknown,,X,21350,30800,29940,,1.0,1,868,868077,0868,0.0,0811A,0800A,,O,100,GOLD STREET,,0,408,C4,,BBBBBBB,ALL,ALL,WHITE,0.0,2017,-,0,,,,,
1447209096,GSN6227,NY,PAS,2019-06-25,17,Unknown,,X,21350,30800,29940,,1.0,1,868,868027,0868,0.0,0748A,0740A,,F,100,GOLD STREET,,0,408,F1,,YYYYYBB,0700A,0700P,WHITE,0.0,2017,-,0,,,,,
1447209102,GCG9680,NY,PAS,2019-06-24,17,VAN,,X,21350,30800,29940,,1.0,1,868,868027,0868,0.0,1120A,1119A,NY,F,100,GOLD STREET,,0,408,C4,,YYYYYBB,0700A,0700P,WHITE,0.0,2003,-,0,,,,,
1447209114,HFV8924,NY,PAS,2019-06-24,17,Unknown,,X,21350,30800,29940,,1.0,1,868,868027,0868,0.0,1040A,1035A,,F,100,GOLD STREET,,0,408,C4,,YYYYYBB,0700A,0700P,WHITE,0.0,2018,-,0,,,,,
1447209138,HUJ9005,NY,PAS,2019-06-21,17,SDN,,X,21350,30800,29940,,1.0,1,868,868027,0868,0.0,1143A,1140A,,,100,GOLD STREET,,0,408,C4,,YYYYYBB,0700A,0700P,,0.0,2017,-,0,,,,,
1447209140,HVV2082,NY,PAS,2019-06-21,17,SUBN,,X,21350,30800,29940,,1.0,1,868,868027,0868,0.0,1138A,1133A,,F,100,GOLD STREET,,0,408,C4,,YYYYYBB,0700A,0700P,RED,0.0,2018,-,0,,,,,
1447209620,HN581X,NJ,PAS,2019-07-01,46,DELV,,X,21350,30800,29940,,1.0,1,868,868027,0868,0.0,0238P,0230P,NY,F,100,GOLD STREET,,0,408,F1,,BBBBBBB,ALL,ALL,,0.0,0,-,0,,,,,
1447209643,HPA1523,NY,PAS,2019-06-28,46,Unknown,,X,21350,30800,29940,,1.0,1,868,868027,0868,0.0,1201P,1150A,NY,F,100,GOLD STREET,,0,408,C4,,BBBBBBB,ALL,ALL,,0.0,0,-,0,,,,,
1447209667,JEG2452,NY,PAS,2019-06-28,17,Unknown,,X,0,0,0,,1.0,1,868,868027,0868,0.0,1101A,1250P,NY,,,FRANK FORT STREET,GOLD,0,408,F1,,YYYYYBB,0700A,0700P,WHITE,0.0,2019,-,0,,,,,
1447209746,JEF5501,NY,PAS,2019-06-28,14,SUBN,,X,0,40404,40404,,1.0,1,868,868027,0868,0.0,1154A,1140A,,F,100,GOLD STREET OPPOSITE,,0,408,C4,,BBBBBBB,ALL,ALL,BLK,0.0,2019,-,0,,,,,
1447209758,HXA2899,NY,PAS,2019-06-27,17,Unknown,,X,20850,21350,0,,1.0,1,868,868027,0868,0.0,0936A,0930A,,,,FRANKFORT STREET,GOLD STREET,0,408,C,,YYYYYBB,0700A,0700P,BLK,0.0,2016,-,0,,,,,
1447209795,HFK808,NY,PAS,2019-06-25,17,Unknown,,X,21350,30800,29940,,1.0,1,868,868027,0868,0.0,0405P,0350P,,F,100,GOLD STREET,,20190625,408,C4,,YYYYYBB,0700A,0700P,WHITE,0.0,2019,-,0,,,,,
1447222775,HZD7928,NY,PAS,2019-06-30,98,SUBN,,P,43130,5430,5580,,78.0,78,78,964372,0078,0.0,1004P,1004P,,F,25,GARFIELD PL,,0,408,F7,,BBBBBBB,ALL,ALL,GREY,0.0,0,-,0,,,,,
1447222970,JFG9137,NY,PAS,2019-06-22,19,SDN,,P,40930,31830,19230,,78.0,78,78,963847,0078,0.0,0204P,,K,F,239,FLATBUSH AVENUE,,0,408,E2,,BBBBBBB,ALL,ALL,WHITE,0.0,2018,-,0,,,,,
1447222982,KPG6849,PA,PAS,2019-07-04,14,SDN,,P,20670,75750,91180,,60.0,60,78,963847,0078,0.0,0523P,,K,F,1319,BOWERY ST,,0,408,C,,BBBBBBB,ALL,ALL,SILVE,0.0,0,-,0,,,,,
1447225375,JCU3847,NY,PAS,2019-07-02,98,SDN,,P,74630,64330,5280,,78.0,78,78,965222,0078,0.0,0632P,0632P,K,F,556,SACKETT,,0,408,F1,,BBBBBBB,ALL,ALL,SILVE,0.0,2011,-,0,,,,,
1447236749,HVC9163,NY,PAS,2019-07-04,14,SDN,,P,0,40404,40404,,60.0,60,60,965385,0060,0.0,0351P,,K,,,S/E C/O WEST 10 BOAR,,0,408,C,,BBBBBBB,ALL,ALL,WHITE,0.0,2017,-,0,,,,,
1447244151,GRM1069,NY,PAS,2019-07-04,51,SDN,,P,5280,7030,0,,72.0,72,72,955615,0072,0.0,0550A,,K,,,3 AVE,19 ST,0,408,E5,,BBBBBBB,ALL,ALL,BLK,0.0,2004,-,0,,,,,
1447246007,HZP2449,NY,PAS,2019-06-30,40,VAN,,P,83630,90730,90880,,60.0,60,60,963797,0060,0.0,0400P,,NY,F,602,SURF AVE,,0,408,C3,,BBBBBBB,ALL,ALL,BLK,0.0,2015,-,0,,,,,
1447247929,JFS4147,NY,PAS,2019-07-02,21,SDN,,P,6180,72530,6730,,72.0,72,72,941214,0072,0.0,1140A,,,F,1521,11 AVE,,0,408,E3,,BBBBBBB,1130A,0100P,GR,0.0,1970,-,0,,,,,
1447248739,JAF3296,NY,PAS,2019-06-18,98,SDN,,P,5880,6830,6930,,72.0,72,72,932883,0072,0.0,0148P,0145P,,F,1701,8TH AVENUE,,0,408,J6,,BBBBBBB,ALL,ALL,BLA,0.0,2006,-,0,,,,,
1447251581,GZE1544,NY,PAS,2019-07-04,40,SDN,,P,9030,5280,5430,,72.0,72,72,958045,0072,0.0,1000P,,K,F,341,49 ST,,0,408,D1,,BBBBBBB,ALL,ALL,WH,0.0,2019,-,0,,,,,
1447257583,GJZ4839,NY,PAS,2019-06-29,50,SUBN,,P,0,0,0,,71.0,71,71,953492,0071,0.0,0957P,,K,,,C/O HAWTHORNE ST,NEW YORK AVE,0,408,E2,,BBBBBBB,ALL,ALL,GN,0.0,0,-,0,,,,,
1447259701,LBM7856,PA,PAS,2019-06-18,98,SDN,,P,62330,12130,86030,,71.0,71,71,943664,0071,0.0,1004A,,K,F,785,MONTGOMERY ST,,0,408,F2,,BBBBBBB,ALL,ALL,WH,0.0,0,-,0,,,,,
1447261707,GVB8591,NY,PAS,2019-06-30,20,SDN,,P,91180,20670,20030,,60.0,60,60,958847,0060,0.0,0123P,,K,F,3067,W 15 ST,,0,408,E5,,BBBBBBB,ALL,ALL,GRAY,0.0,2004,-,0,,,,,
1447261719,HRW4320,NY,PAS,2019-06-30,40,SUBN,,P,83630,81830,75750,,60.0,60,60,958847,0060,0.0,0104P,,K,F,1301,SURF AVE,,0,408,D,,BBBBBBB,ALL,ALL,BLACK,0.0,2004,-,3,,,,,
1447261720,HUS6002,NY,PAS,2019-06-30,14,SDN,,P,81830,20670,32600,,60.0,60,60,958847,0060,0.0,1132A,,K,F,3030,STILLWELL AVE,,0,408,E2,,BBBBBBB,ALL,ALL,GRAY,0.0,2014,-,0,,,,,
1447261744,HZH9770,NY,PAS,2019-07-03,14,SDN,,P,83630,90980,53730,,60.0,60,60,958847,0060,0.0,0550P,,K,F,1000,SURF AVE,,0,408,E2,,BBBBBBB,ALL,ALL,BLUE,0.0,2015,-,0,,,,,
1447261781,GAJ6359,NY,PAS,2019-07-08,14,SDN,,P,83630,90730,90880,,60.0,60,60,958847,0060,0.0,1242P,,K,F,602,SURF AVENUE,,0,408,C,,BBBBBBB,ALL,ALL,GRAY,0.0,2008,-,0,,,,,
1447266390,HXV7827,NY,PAS,2019-06-29,46,SDN,,P,35030,41730,89180,,70.0,70,70,952504,0070,0.0,1120P,,NY,F,950,E 5TH,,0,408,F2,,BBBBBBB,ALL,ALL,BLK,0.0,2018,-,0,,,,,
