district,stop_time,is_arrested,fine_grained_location,stop_date,county_name,out_of_state,search_type,id,driver_race_raw,driver_race,police_department,stop_outcome,driver_age,stop_duration,search_conducted,state,county_fips,search_type_raw,driver_age_raw,contraband_found,driver_gender,violation_raw,violation,drugs_related_stop,location_raw
Zone X4,17:15,False,,2005-10-25,,True,,RI-2005-03666,W,White,500,Citation,21.0,0-15 Min,False,RI,,,1984.0,False,M,Other Traffic Violation,Moving violation,False,Zone X4
Zone K3,08:25,False,,2006-03-24,,True,,RI-2006-13742,W,White,300,Citation,44.0,0-15 Min,False,RI,,,1962.0,False,F,Speeding,Speeding,False,Zone K3
Zone K2,08:15,False,,2006-01-04,,False,,RI-2006-00418,W,White,900,Citation,31.0,16-30 Min,False,RI,,,1975.0,False,M,Registration Violation,Registration/plates,False,Zone K2
Zone K1,12:25,False,,2005-12-29,,True,,RI-2005-13652,W,White,600,Citation,51.0,0-15 Min,False,RI,,,1954.0,False,F,Speeding,Speeding,False,Zone K1
Zone X3,15:15,False,,2006-01-15,,True,,RI-2006-02624,W,White,500,Citation,70.0,0-15 Min,False,RI,,,1936.0,False,M,Speeding,Speeding,False,Zone X3
Zone K3,12:55,False,,2005-11-27,,False,,RI-2005-09305,W,White,300,N/D,24.0,0-15 Min,False,RI,,,1981.0,False,F,Equipment/Inspection Violation,Equipment,False,Zone K3
Zone X4,13:25,False,,2006-01-01,,True,,RI-2006-00056,W,White,500,Citation,24.0,0-15 Min,False,RI,,,1982.0,False,M,Speeding,Speeding,False,Zone X4
Zone X1,11:33,False,,2006-06-06,,False,,RI-2006-25847,W,White,000,Citation,25.0,0-15 Min,False,RI,,,1981.0,False,M,Speeding,Speeding,False,Zone X1
Zone K1,11:09,False,,2005-10-26,,False,,RI-2005-03747,W,White,600,Citation,28.0,0-15 Min,False,RI,,,1977.0,False,M,Speeding,Speeding,False,Zone K1
Zone K3,21:00,False,,2006-04-08,,True,,RI-2006-16176,W,White,300,Citation,51.0,0-15 Min,False,RI,,,1955.0,False,M,Speeding,Speeding,False,Zone K3
