date_key,full_date,month,day,month_name,day_name,financial_qtr,weekend
1,2016-01-01,1,1,January,Friday,1,False
2,2016-01-02,1,2,January,Saturday,1,True
3,2016-01-03,1,3,January,Sunday,1,True
4,2016-01-04,1,4,January,Monday,1,False
5,2016-01-05,1,5,January,Tuesday,1,False
6,2016-01-06,1,6,January,Wednesday,1,False
7,2016-01-07,1,7,January,Thursday,1,False
8,2016-01-08,1,8,January,Friday,1,False
9,2016-01-09,1,9,January,Saturday,1,True
10,2016-01-10,1,10,January,Sunday,1,True
11,2016-01-11,1,11,January,Monday,1,False
12,2016-01-12,1,12,January,Tuesday,1,False
13,2016-01-13,1,13,January,Wednesday,1,False
14,2016-01-14,1,14,January,Thursday,1,False
15,2016-01-15,1,15,January,Friday,1,False
16,2016-01-16,1,16,January,Saturday,1,True
17,2016-01-17,1,17,January,Sunday,1,True
18,2016-01-18,1,18,January,Monday,1,False
19,2016-01-19,1,19,January,Tuesday,1,False
20,2016-01-20,1,20,January,Wednesday,1,False
21,2016-01-21,1,21,January,Thursday,1,False
22,2016-01-22,1,22,January,Friday,1,False
23,2016-01-27,1,27,January,Wednesday,1,False
24,2016-01-28,1,28,January,Thursday,1,False
25,2016-01-29,1,29,January,Friday,1,False
26,2016-01-30,1,30,January,Saturday,1,True
27,2016-01-31,1,31,January,Sunday,1,True
28,2016-02-01,2,1,February,Monday,1,False
29,2016-02-02,2,2,February,Tuesday,1,False
30,2016-02-03,2,3,February,Wednesday,1,False
31,2016-02-04,2,4,February,Thursday,1,False
32,2016-02-05,2,5,February,Friday,1,False
33,2016-02-06,2,6,February,Saturday,1,True
34,2016-02-07,2,7,February,Sunday,1,True
35,2016-02-08,2,8,February,Monday,1,False
36,2016-02-09,2,9,February,Tuesday,1,False
37,2016-02-10,2,10,February,Wednesday,1,False
38,2016-02-11,2,11,February,Thursday,1,False
39,2016-02-12,2,12,February,Friday,1,False
40,2016-02-13,2,13,February,Saturday,1,True
41,2016-02-14,2,14,February,Sunday,1,True
42,2016-02-15,2,15,February,Monday,1,False
43,2016-02-16,2,16,February,Tuesday,1,False
44,2016-02-17,2,17,February,Wednesday,1,False
45,2016-02-18,2,18,February,Thursday,1,False
46,2016-02-19,2,19,February,Friday,1,False
47,2016-02-20,2,20,February,Saturday,1,True
48,2016-02-21,2,21,February,Sunday,1,True
49,2016-02-22,2,22,February,Monday,1,False
50,2016-02-23,2,23,February,Tuesday,1,False
51,2016-02-24,2,24,February,Wednesday,1,False
52,2016-02-25,2,25,February,Thursday,1,False
53,2016-02-26,2,26,February,Friday,1,False
54,2016-02-27,2,27,February,Saturday,1,True
55,2016-02-28,2,28,February,Sunday,1,True
56,2016-02-29,2,29,February,Monday,1,False
57,2016-03-01,3,1,March,Tuesday,1,False
58,2016-03-02,3,2,March,Wednesday,1,False
59,2016-03-03,3,3,March,Thursday,1,False
60,2016-03-04,3,4,March,Friday,1,False
61,2016-03-05,3,5,March,Saturday,1,True
62,2016-03-06,3,6,March,Sunday,1,True
63,2016-03-07,3,7,March,Monday,1,False
64,2016-03-08,3,8,March,Tuesday,1,False
65,2016-03-09,3,9,March,Wednesday,1,False
66,2016-03-10,3,10,March,Thursday,1,False
67,2016-03-11,3,11,March,Friday,1,False
68,2016-03-12,3,12,March,Saturday,1,True
69,2016-03-13,3,13,March,Sunday,1,True
70,2016-03-14,3,14,March,Monday,1,False
71,2016-03-15,3,15,March,Tuesday,1,False
72,2016-03-16,3,16,March,Wednesday,1,False
73,2016-03-17,3,17,March,Thursday,1,False
74,2016-03-18,3,18,March,Friday,1,False
75,2016-03-19,3,19,March,Saturday,1,True
76,2016-03-20,3,20,March,Sunday,1,True
77,2016-03-21,3,21,March,Monday,1,False
78,2016-03-22,3,22,March,Tuesday,1,False
79,2016-03-23,3,23,March,Wednesday,1,False
80,2016-03-24,3,24,March,Thursday,1,False
81,2016-03-25,3,25,March,Friday,1,False
82,2016-03-26,3,26,March,Saturday,1,True
83,2016-03-27,3,27,March,Sunday,1,True
84,2016-03-28,3,28,March,Monday,1,False
85,2016-03-29,3,29,March,Tuesday,1,False
86,2016-03-30,3,30,March,Wednesday,1,False
87,2016-03-31,3,31,March,Thursday,1,False
88,2016-04-01,4,1,April,Friday,2,False
89,2016-04-02,4,2,April,Saturday,2,True
90,2016-04-03,4,3,April,Sunday,2,True
91,2016-04-04,4,4,April,Monday,2,False
92,2016-04-05,4,5,April,Tuesday,2,False
93,2016-04-06,4,6,April,Wednesday,2,False
94,2016-04-07,4,7,April,Thursday,2,False
95,2016-04-08,4,8,April,Friday,2,False
96,2016-04-09,4,9,April,Saturday,2,True
97,2016-04-10,4,10,April,Sunday,2,True
98,2016-04-11,4,11,April,Monday,2,False
99,2016-04-12,4,12,April,Tuesday,2,False
100,2016-04-13,4,13,April,Wednesday,2,False
101,2016-04-14,4,14,April,Thursday,2,False
102,2016-04-15,4,15,April,Friday,2,False
103,2016-04-16,4,16,April,Saturday,2,True
104,2016-04-17,4,17,April,Sunday,2,True
105,2016-04-18,4,18,April,Monday,2,False
106,2016-04-19,4,19,April,Tuesday,2,False
107,2016-04-20,4,20,April,Wednesday,2,False
108,2016-04-21,4,21,April,Thursday,2,False
109,2016-04-22,4,22,April,Friday,2,False
110,2016-04-23,4,23,April,Saturday,2,True
111,2016-04-24,4,24,April,Sunday,2,True
112,2016-04-25,4,25,April,Monday,2,False
113,2016-04-26,4,26,April,Tuesday,2,False
114,2016-04-27,4,27,April,Wednesday,2,False
115,2016-04-28,4,28,April,Thursday,2,False
116,2016-04-29,4,29,April,Friday,2,False
117,2016-04-30,4,30,April,Saturday,2,True
118,2016-05-01,5,1,May,Sunday,2,True
119,2016-05-02,5,2,May,Monday,2,False
120,2016-05-03,5,3,May,Tuesday,2,False
121,2016-05-04,5,4,May,Wednesday,2,False
122,2016-05-05,5,5,May,Thursday,2,False
123,2016-05-06,5,6,May,Friday,2,False
124,2016-05-07,5,7,May,Saturday,2,True
125,2016-05-08,5,8,May,Sunday,2,True
126,2016-05-09,5,9,May,Monday,2,False
127,2016-05-10,5,10,May,Tuesday,2,False
128,2016-05-11,5,11,May,Wednesday,2,False
129,2016-05-12,5,12,May,Thursday,2,False
130,2016-05-13,5,13,May,Friday,2,False
131,2016-05-14,5,14,May,Saturday,2,True
132,2016-05-15,5,15,May,Sunday,2,True
133,2016-05-16,5,16,May,Monday,2,False
134,2016-05-17,5,17,May,Tuesday,2,False
135,2016-05-18,5,18,May,Wednesday,2,False
136,2016-05-19,5,19,May,Thursday,2,False
137,2016-05-20,5,20,May,Friday,2,False
138,2016-05-21,5,21,May,Saturday,2,True
139,2016-05-22,5,22,May,Sunday,2,True
140,2016-05-23,5,23,May,Monday,2,False
141,2016-05-24,5,24,May,Tuesday,2,False
142,2016-05-25,5,25,May,Wednesday,2,False
143,2016-05-26,5,26,May,Thursday,2,False
144,2016-05-27,5,27,May,Friday,2,False
145,2016-05-28,5,28,May,Saturday,2,True
146,2016-05-29,5,29,May,Sunday,2,True
147,2016-05-30,5,30,May,Monday,2,False
148,2016-05-31,5,31,May,Tuesday,2,False
149,2016-06-01,6,1,June,Wednesday,2,False
150,2016-06-02,6,2,June,Thursday,2,False
151,2016-06-03,6,3,June,Friday,2,False
152,2016-06-04,6,4,June,Saturday,2,True
153,2016-06-05,6,5,June,Sunday,2,True
154,2016-06-06,6,6,June,Monday,2,False
155,2016-06-07,6,7,June,Tuesday,2,False
156,2016-06-08,6,8,June,Wednesday,2,False
157,2016-06-09,6,9,June,Thursday,2,False
158,2016-06-10,6,10,June,Friday,2,False
159,2016-06-11,6,11,June,Saturday,2,True
160,2016-06-12,6,12,June,Sunday,2,True
161,2016-06-13,6,13,June,Monday,2,False
162,2016-06-14,6,14,June,Tuesday,2,False
163,2016-06-15,6,15,June,Wednesday,2,False
164,2016-06-16,6,16,June,Thursday,2,False
165,2016-06-17,6,17,June,Friday,2,False
166,2016-06-18,6,18,June,Saturday,2,True
167,2016-06-19,6,19,June,Sunday,2,True
168,2016-06-20,6,20,June,Monday,2,False
169,2016-06-21,6,21,June,Tuesday,2,False
170,2016-06-22,6,22,June,Wednesday,2,False
171,2016-06-23,6,23,June,Thursday,2,False
172,2016-06-24,6,24,June,Friday,2,False
173,2016-06-25,6,25,June,Saturday,2,True
174,2016-06-26,6,26,June,Sunday,2,True
175,2016-06-27,6,27,June,Monday,2,False
176,2016-06-28,6,28,June,Tuesday,2,False
177,2016-06-29,6,29,June,Wednesday,2,False
178,2016-06-30,6,30,June,Thursday,2,False
179,2016-07-01,7,1,July,Friday,3,False
180,2016-07-02,7,2,July,Saturday,3,True
181,2016-07-03,7,3,July,Sunday,3,True
182,2016-07-04,7,4,July,Monday,3,False
183,2016-07-05,7,5,July,Tuesday,3,False
184,2016-07-06,7,6,July,Wednesday,3,False
185,2016-07-07,7,7,July,Thursday,3,False
186,2016-07-08,7,8,July,Friday,3,False
187,2016-07-09,7,9,July,Saturday,3,True
188,2016-07-10,7,10,July,Sunday,3,True
189,2016-07-11,7,11,July,Monday,3,False
190,2016-07-12,7,12,July,Tuesday,3,False
191,2016-07-13,7,13,July,Wednesday,3,False
192,2016-07-14,7,14,July,Thursday,3,False
193,2016-07-15,7,15,July,Friday,3,False
194,2016-07-16,7,16,July,Saturday,3,True
195,2016-07-17,7,17,July,Sunday,3,True
196,2016-07-18,7,18,July,Monday,3,False
197,2016-07-19,7,19,July,Tuesday,3,False
198,2016-07-20,7,20,July,Wednesday,3,False
199,2016-07-21,7,21,July,Thursday,3,False
200,2016-07-22,7,22,July,Friday,3,False
201,2016-07-23,7,23,July,Saturday,3,True
202,2016-07-24,7,24,July,Sunday,3,True
203,2016-07-25,7,25,July,Monday,3,False
204,2016-07-26,7,26,July,Tuesday,3,False
