ride_id,rideable_type,started_at,ended_at,start_station_id,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,ride_length
1,standard_bike,2016-01-01 00:02:52,2016-01-01 00:08:54,3186,3209,40.71958611647166,-74.04311746358871,40.7241765,-74.0506564,Subscriber,362
2,standard_bike,2016-01-01 00:18:22,2016-01-01 00:21:42,3186,3213,40.71958611647166,-74.04311746358871,40.71848892,-74.047726625,Subscriber,200
3,standard_bike,2016-01-01 00:18:25,2016-01-01 00:21:47,3186,3213,40.71958611647166,-74.04311746358871,40.71848892,-74.047726625,Subscriber,202
4,standard_bike,2016-01-01 00:23:13,2016-01-01 00:27:21,3209,3203,40.7241765,-74.0506564,40.727595966,-74.044247311,Subscriber,248
5,standard_bike,2016-01-01 01:03:20,2016-01-01 01:18:24,3195,3210,40.73074262530658,-74.06378388404846,40.742677141,-74.051788633,Customer,903
6,standard_bike,2016-01-01 01:03:28,2016-01-01 01:18:11,3195,3210,40.73074262530658,-74.06378388404846,40.742677141,-74.051788633,Customer,883
7,standard_bike,2016-01-01 01:07:45,2016-01-01 01:15:11,3186,3203,40.71958611647166,-74.04311746358871,40.727595966,-74.044247311,Subscriber,445
8,standard_bike,2016-01-01 01:18:51,2016-01-01 01:22:03,3211,3203,40.72152515,-74.046304543,40.727595966,-74.044247311,Subscriber,192
9,standard_bike,2016-01-01 01:23:44,2016-01-01 01:30:34,3187,3214,40.7211236,-74.03805095,40.7127742,-74.0364857,Subscriber,409
10,standard_bike,2016-01-01 01:25:12,2016-01-01 01:29:57,3187,3214,40.7211236,-74.03805095,40.7127742,-74.0364857,Subscriber,285
11,standard_bike,2016-01-01 01:45:34,2016-01-01 01:49:00,3183,3187,40.7162469,-74.0334588,40.7211236,-74.03805095,Subscriber,206
12,standard_bike,2016-01-01 02:02:55,2016-01-01 02:07:06,3213,3209,40.71848892,-74.047726625,40.7241765,-74.0506564,Subscriber,251
13,standard_bike,2016-01-01 02:20:38,2016-01-01 02:25:30,3186,3187,40.71958611647166,-74.04311746358871,40.7211236,-74.03805095,Subscriber,292
14,standard_bike,2016-01-01 02:23:37,2016-01-01 02:26:32,3186,3213,40.71958611647166,-74.04311746358871,40.71848892,-74.047726625,Subscriber,175
15,standard_bike,2016-01-01 02:28:58,2016-01-01 02:41:47,3193,3211,40.7246050998869,-74.07840594649315,40.72152515,-74.046304543,Subscriber,769
16,standard_bike,2016-01-01 02:39:07,2016-01-01 02:45:32,3209,3213,40.7241765,-74.0506564,40.71848892,-74.047726625,Subscriber,384
17,standard_bike,2016-01-01 02:39:28,2016-01-01 02:45:33,3209,3213,40.7241765,-74.0506564,40.71848892,-74.047726625,Subscriber,364
18,standard_bike,2016-01-01 02:47:39,2016-01-01 02:53:05,3186,3202,40.71958611647166,-74.04311746358871,40.7272235,-74.0337589,Subscriber,326
19,standard_bike,2016-01-01 02:53:35,2016-01-01 02:59:17,3186,3202,40.71958611647166,-74.04311746358871,40.7272235,-74.0337589,Subscriber,341
20,standard_bike,2016-01-01 02:54:56,2016-01-01 03:05:30,3194,3209,40.7253399253558,-74.06762212514877,40.7241765,-74.0506564,Subscriber,634
21,standard_bike,2016-01-01 03:02:35,2016-01-01 03:08:06,3202,3203,40.7272235,-74.0337589,40.727595966,-74.044247311,Subscriber,331
22,standard_bike,2016-01-01 03:10:25,2016-01-01 03:19:36,3183,3199,40.7162469,-74.0334588,40.7287448,-74.0321082,Subscriber,550
23,standard_bike,2016-01-01 03:16:33,2016-01-01 03:33:02,3196,3209,40.7443187,-74.0439909,40.7241765,-74.0506564,Customer,988
24,standard_bike,2016-01-01 03:16:34,2016-01-01 03:32:43,3196,3209,40.7443187,-74.0439909,40.7241765,-74.0506564,Subscriber,969
25,standard_bike,2016-01-01 03:17:01,2016-01-01 03:23:19,3202,3203,40.7272235,-74.0337589,40.727595966,-74.044247311,Subscriber,378
26,standard_bike,2016-01-01 03:17:13,2016-01-01 03:23:21,3202,3203,40.7272235,-74.0337589,40.727595966,-74.044247311,Subscriber,368
27,standard_bike,2016-01-01 03:43:03,2016-01-01 03:47:51,3202,3183,40.7272235,-74.0337589,40.7162469,-74.0334588,Subscriber,287
28,standard_bike,2016-01-01 03:51:30,2016-01-01 03:56:16,3214,3187,40.7127742,-74.0364857,40.7211236,-74.03805095,Subscriber,286
