id,user_type,birth_year,gender,age
1,Subscriber,1964.0,Female,60.0
2,Subscriber,1962.0,Male,62.0
3,Subscriber,1962.0,Female,62.0
4,Subscriber,1984.0,Male,40.0
5,Customer,,Unknown,
7,Subscriber,1988.0,Female,36.0
8,Subscriber,1980.0,Male,44.0
9,Subscriber,1990.0,Male,34.0
11,Subscriber,1993.0,Male,31.0
12,Subscriber,1976.0,Male,48.0
13,Subscriber,1992.0,Male,32.0
14,Subscriber,1991.0,Male,33.0
15,Subscriber,1968.0,Male,56.0
16,Subscriber,1975.0,Female,49.0
19,Subscriber,1982.0,Male,42.0
20,Subscriber,1981.0,Male,43.0
22,Subscriber,1986.0,Male,38.0
26,Subscriber,1982.0,Female,42.0
29,Subscriber,1966.0,Female,58.0
30,Subscriber,1972.0,Male,52.0
34,Subscriber,1977.0,Male,47.0
35,Subscriber,1975.0,Male,49.0
36,Subscriber,1979.0,Male,45.0
37,Subscriber,1987.0,Female,37.0
39,Subscriber,1983.0,Male,41.0
40,Subscriber,1957.0,Male,67.0
42,Subscriber,1956.0,Male,68.0
43,Subscriber,1988.0,Male,36.0
44,Subscriber,1960.0,Male,64.0
45,Subscriber,1956.0,Female,68.0
46,Subscriber,1972.0,Female,52.0
49,Subscriber,1985.0,Male,39.0
51,Subscriber,1969.0,Male,55.0
53,Subscriber,1989.0,Male,35.0
67,Subscriber,1950.0,Male,74.0
69,Subscriber,1978.0,Male,46.0
71,Subscriber,1961.0,Female,63.0
72,Subscriber,1977.0,Female,47.0
73,Subscriber,1978.0,Female,46.0
79,Subscriber,1985.0,Female,39.0
84,Subscriber,1996.0,Female,28.0
85,Subscriber,1983.0,Female,41.0
98,Subscriber,1960.0,Female,64.0
100,Subscriber,1968.0,Female,56.0
116,Subscriber,1970.0,Male,54.0
123,Subscriber,1974.0,Male,50.0
129,Subscriber,1990.0,Female,34.0
140,Subscriber,1971.0,Male,53.0
153,Subscriber,1973.0,Male,51.0
155,Subscriber,1991.0,Female,33.0
175,Subscriber,1965.0,Male,59.0
190,Subscriber,1979.0,Female,45.0
214,Subscriber,1970.0,Female,54.0
231,Subscriber,1963.0,Male,61.0
237,Subscriber,1994.0,Male,30.0
243,Subscriber,1949.0,Male,75.0
246,Subscriber,1955.0,Male,69.0
256,Subscriber,1993.0,Unknown,31.0
290,Subscriber,1981.0,Female,43.0
305,Subscriber,1976.0,Female,48.0
316,Subscriber,1987.0,Male,37.0
350,Subscriber,1980.0,Female,44.0
362,Subscriber,1989.0,Female,35.0
421,Subscriber,1973.0,Female,51.0
457,Subscriber,1974.0,Female,50.0
462,Subscriber,1967.0,Male,57.0
480,Subscriber,1951.0,Male,73.0
528,Subscriber,1961.0,Male,63.0
567,Subscriber,1971.0,Female,53.0
569,Subscriber,1986.0,Female,38.0
577,Subscriber,1964.0,Male,60.0
654,Subscriber,1984.0,Female,40.0
685,Subscriber,1959.0,Male,65.0
736,Subscriber,1954.0,Male,70.0
798,Subscriber,1953.0,Male,71.0
932,Subscriber,1958.0,Male,66.0
1060,Subscriber,1944.0,Male,80.0
1189,Subscriber,1959.0,Female,65.0
1306,Subscriber,1993.0,Female,31.0
1378,Subscriber,1954.0,Female,70.0
1502,Subscriber,1941.0,Male,83.0
1511,Subscriber,1969.0,Female,55.0
1867,Subscriber,1967.0,Female,57.0
1897,Subscriber,1966.0,Male,58.0
2128,Subscriber,1963.0,Female,61.0
2673,Subscriber,1995.0,Male,29.0
2774,Subscriber,1998.0,Female,26.0
3886,Subscriber,1952.0,Male,72.0
4704,Subscriber,1992.0,Female,32.0
4812,Subscriber,1945.0,Male,79.0
5017,Subscriber,1947.0,Male,77.0
5123,Subscriber,1948.0,Male,76.0
5576,Subscriber,1998.0,Male,26.0
5701,Subscriber,1957.0,Female,67.0
5783,Subscriber,1995.0,Female,29.0
7326,Subscriber,1958.0,Female,66.0
7411,Subscriber,1965.0,Female,59.0
8936,Subscriber,1994.0,Female,30.0
9110,Subscriber,1949.0,Female,75.0
11930,Subscriber,1999.0,Male,25.0
23262,Subscriber,1952.0,Female,72.0
25268,,1987.0,Male,37.0
25601,Subscriber,1997.0,Male,27.0
25824,Subscriber,1978.0,Unknown,46.0
26598,Subscriber,1997.0,Female,27.0
26883,Subscriber,1967.0,Unknown,57.0
27480,Subscriber,1950.0,Female,74.0
