id,user_type,gender,birth_year,age
1,Subscriber,2,1964.0,60
2,Subscriber,1,1962.0,62
3,Subscriber,2,1962.0,62
4,Subscriber,1,1984.0,40
5,Subscriber,2,1988.0,36
6,Subscriber,1,1980.0,44
7,Subscriber,1,1990.0,34
8,Subscriber,1,1993.0,31
9,Subscriber,1,1976.0,48
10,Subscriber,1,1992.0,32
11,Subscriber,1,1991.0,33
12,Subscriber,1,1968.0,56
13,Subscriber,2,1975.0,49
14,Subscriber,1,1982.0,42
15,Subscriber,1,1981.0,43
16,Subscriber,1,1986.0,38
17,Subscriber,2,1982.0,42
18,Subscriber,2,1966.0,58
19,Subscriber,1,1972.0,52
20,Subscriber,1,1977.0,47
21,Subscriber,1,1975.0,49
22,Subscriber,1,1979.0,45
23,Subscriber,2,1987.0,37
24,Subscriber,1,1983.0,41
25,Subscriber,1,1957.0,67
26,Subscriber,1,1956.0,68
27,Subscriber,1,1988.0,36
28,Subscriber,1,1960.0,64
29,Subscriber,2,1956.0,68
30,Subscriber,2,1972.0,52
31,Subscriber,1,1985.0,39
32,Subscriber,1,1969.0,55
33,Subscriber,1,1989.0,35
34,Subscriber,1,1950.0,74
35,Subscriber,1,1978.0,46
36,Subscriber,2,1961.0,63
37,Subscriber,2,1977.0,47
38,Subscriber,2,1978.0,46
39,Subscriber,2,1985.0,39
40,Subscriber,2,1996.0,28
41,Subscriber,2,1983.0,41
42,Subscriber,2,1960.0,64
43,Subscriber,2,1968.0,56
