id,card_id,winner_id,win_type,loser_id,match_type_id,duration,title_id,title_change
1,1,1,def.,2,1,,1,0
2,1,3,def.,4,1,04:02,1,0
3,1,5,def.,6,1,,1,0
4,1,7,def. (CO),8,1,,1,0
5,1,9,def.,10,1,04:35,1,0
6,1,11,def.,12,1,01:20,1,0
7,1,13,def. (CO),14,1,06:04,1,0
8,1,15,def. (pin),16,8,18:04,1,0
9,1,17,def.,18,9,30:56,9,0
10,2,19,def.,20,1,,10,0
11,2,21,vs.,22,1,,1,0
12,2,5,def.,10,1,,1,0
13,2,3,def.,26,1,,1,0
14,2,27,def.,28,1,,14,0
15,2,1,def. (CO),14,1,,1,0
16,2,7,draw,8,1,,1,0
17,2,17,draw (time),18,1,60:00,9,0
18,3,27,def.,12,1,,14,0
19,3,37,def.,26,1,,1,0
20,3,39,def.,40,1,,1,0
21,3,41,def.,10,1,,1,0
22,3,43,def.,44,1,,1,0
23,3,19,def.,46,1,,10,0
24,3,8,def. (CO),1,1,,1,0
25,3,17,def.,2,25,20:46,9,0
26,4,4,def.,52,1,,1,0
27,4,53,def.,54,1,,1,0
28,4,27,def.,56,1,,14,0
29,4,41,draw,58,1,,1,0
30,4,59,def.,60,1,,1,0
31,4,61,def.,62,1,,31,0
32,4,12,def.,28,1,,1,0
33,4,65,def.,66,33,,1,0
34,4,17,def. (CO),2,1,,9,0
35,5,56,def.,28,1,09:48,1,0
36,5,71,def.,72,1,,1,0
37,5,73,def.,74,8,,1,0
38,5,58,def.,4,1,05:31,1,0
39,5,77,draw (DDQ),78,1,,1,0
40,5,2,def. (CO),17,1,09:18,9,0
41,5,52,def.,9,1,,1,0
42,5,14,draw,41,1,,1,0
43,5,85,def.,53,1,07:45,1,0
44,6,12,def.,88,1,,1,0
45,6,10,draw (time),4,1,,1,0
46,6,14,def. (pin),9,1,,1,0
47,6,93,def. (pin),94,1,03:57,10,0
48,6,52,def. (pin),28,1,04:39,1,0
49,6,17,def. (pin),53,1,17:24,9,0
50,6,7,def.,77,1,12:19,1,0
51,6,8,def. (pin),60,1,02:39,1,0
52,6,78,def. (pin),71,1,03:46,1,0
53,7,77,def. (pin),41,1,,1,0
54,7,107,def. (pin),10,1,,1,0
55,7,71,def. (CO),9,1,,1,0
56,7,52,def. (pin),4,1,,1,0
57,7,14,def.,54,1,,1,0
58,7,58,draw (time),60,1,20:00,1,0
59,7,2,def. (pin),118,1,,1,0
60,7,43,def. (pin),120,1,,1,0
61,7,78,def. (CO),44,1,,1,0
62,7,17,def. (pin),8,1,,9,0
63,8,125,def.,10,1,07:12,1,0
64,8,14,def.,4,1,,1,0
65,8,8,def.,17,1,30:11,9,0
66,8,2,def. (DQ),71,1,,1,0
