home_player_Y3,SJH,away_player_1,BWH,match_api_id,home_player_X7,VCH,away_player_9,id,away_player_Y7,home_player_10,cross,shoton,away_team_api_id,away_player_10,home_player_Y2,LBH,away_player_Y4,home_team_api_id,B365H,VCA,home_player_Y8,home_player_X4,home_player_3,away_player_X7,home_player_X1,BWD,home_player_6,card,goal,away_player_5,away_player_X1,B365D,home_player_Y4,home_player_1,away_player_Y10,away_player_3,away_player_X9,BSD,away_player_X4,home_player_Y9,away_player_X10,WHA,IWD,IWA,LBA,season,home_player_X2,league_id,BSH,date,away_player_Y9,home_player_Y7,away_player_Y6,home_player_Y10,home_player_9,home_player_5,home_player_Y11,away_player_X3,away_player_7,country_id,away_player_6,home_player_X10,shotoff,away_player_Y11,away_player_X11,GBA,home_player_4,home_player_Y1,home_team_goal,PSA,SJA,corner,home_player_11,away_player_X2,B365A,away_player_X5,away_player_Y5,home_player_Y6,BSA,LBD,home_player_X6,home_player_7,home_player_8,GBH,home_player_Y5,WHH,stage,GBD,BWA,WHD,away_player_X8,home_player_X3,possession,home_player_X9,IWH,away_player_Y8,away_player_Y2,home_player_X8,PSD,PSH,away_player_Y3,away_player_11,away_player_X6,home_player_X5,away_team_goal,SJD,foulcommit,home_player_2,away_player_Y1,VCD,home_player_X11,away_player_2,away_player_4,away_player_8
,1.9,,1.75,492473,,1.65,,1,,,,,9993,,,1.8,,9987,1.73,4.5,,,,,,3.35,,,,,,3.4,,,,,,3.4,,,,4.33,3.2,3.5,3.75,2008/2009,,1,1.73,2008-08-17 00:00:00,,,,,,,,,,1,,,,,,4.0,,,1,,4.0,,,,5.0,,,,4.2,3.3,,,,1.78,,1.7,1,3.25,4.2,3.3,,,,,1.85,,,,,,,,,,1,3.3,,,,3.4,,,,
,1.95,,1.8,492474,,2.0,,2,,,,,9994,,,1.9,,10000,1.95,3.25,,,,,,3.3,,,,,,3.2,,,,,,3.25,,,,3.6,3.2,3.5,3.5,2008/2009,,1,1.91,2008-08-16 00:00:00,,,,,,,,,,1,,,,,,3.75,,,0,,3.8,,,,3.6,,,,3.6,3.2,,,,1.85,,1.83,1,3.25,3.95,3.3,,,,,1.9,,,,,,,,,,0,3.3,,,,3.25,,,,
,2.63,,2.4,492475,,2.35,,3,,,,,8635,,,2.5,,9984,2.38,2.65,,,,,,3.3,,,,,,3.3,,,,,,3.2,,,,2.4,3.1,2.3,2.5,2008/2009,,1,2.3,2008-08-16 00:00:00,,,,,,,,,,1,,,,,,2.5,,,0,,2.5,,,,2.75,,,,2.75,3.2,,,,2.5,,2.5,1,3.2,2.55,3.25,,,,,2.6,,,,,,,,,,3,3.3,,,,3.25,,,,
,1.44,,1.4,492476,,1.45,,4,,,,,9998,,,1.44,,9991,1.44,6.5,,,,,,4.0,,,,,,3.75,,,,,,3.75,,,,6.0,3.9,6.0,6.5,2008/2009,,1,1.44,2008-08-17 00:00:00,,,,,,,,,,1,,,,,,5.5,,,5,,7.5,,,,7.5,,,,6.5,3.6,,,,1.5,,1.44,1,3.75,6.8,3.75,,,,,1.4,,,,,,,,,,0,4.0,,,,3.75,,,,
,4.5,,5.0,492477,,4.5,,5,,,,,9985,,,4.0,,7947,5.0,1.65,,,,,,3.5,,,,,,3.5,,,,,,3.3,,,,1.7,3.3,1.7,1.72,2008/2009,,1,4.75,2008-08-16 00:00:00,,,,,,,,,,1,,,,,,1.65,,,1,,1.73,,,,1.65,,,,1.67,3.4,,,,4.5,,4.2,1,3.5,1.6,3.4,,,,,4.0,,,,,,,,,,3,3.5,,,,3.4,,,,
,5.5,,4.85,492478,,4.35,,6,,,,,8342,,,5.0,,8203,4.75,1.7,,,,,,3.4,,,,,,3.4,,,,,,,,,,1.7,3.2,1.8,1.62,2008/2009,,1,,2008-09-24 00:00:00,,,,,,,,,,1,,,,,,1.7,,,1,,1.67,,,,1.67,,,,,3.25,,,,4.5,,4.2,1,3.4,1.65,3.4,,,,,3.7,,,,,,,,,,1,3.75,,,,3.4,,,,
,1.91,,2.05,492479,,2.1,,7,,,,,8571,,,1.83,,9999,2.1,3.0,,,,,,3.25,,,,,,3.2,,,,,,3.25,,,,3.6,3.2,3.5,3.6,2008/2009,,1,2.1,2008-08-16 00:00:00,,,,,,,,,,1,,,,,,3.75,,,2,,3.6,,,,3.3,,,,3.1,3.3,,,,1.85,,1.83,1,3.25,3.15,3.3,,,,,1.85,,,,,,,,,,2,3.4,,,,3.25,,,,
,2.6,,2.55,492480,,2.8,,8,,,,,9996,,,2.5,,4049,3.2,2.25,,,,,,3.3,,,,,,3.4,,,,,,3.25,,,,2.25,3.2,2.4,2.5,2008/2009,,1,2.88,2008-08-16 00:00:00,,,,,,,,,,1,,,,,,2.25,,,1,,2.4,,,,2.2,,,,2.2,3.2,,,,2.8,,2.7,1,3.2,2.4,3.25,,,,,2.4,,,,,,,,,,2,3.4,,,,3.25,,,,
,2.2,,2.3,492481,,2.25,,9,,,,,9986,,,2.25,,10001,2.25,2.8,,,,,,3.25,,,,,,3.25,,,,,,3.2,,,,2.75,3.1,3.0,2.75,2008/2009,,1,2.25,2008-08-16 00:00:00,,,,,,,,,,1,,,,,,2.8,,,1,,3.1,,,,2.88,,,,2.8,3.2,,,,2.2,,2.2,1,3.3,2.7,3.25,,,,,2.1,,,,,,,,,,0,3.3,,,,3.25,,,,
,1.27,,1.25,492564,,1.3,,10,,,,,8571,,,1.25,,8342,1.3,8.5,,,,,,5.0,,,,,,5.25,,,,,,4.5,,,,7.0,4.2,8.0,10.0,2008/2009,,1,1.29,2008-11-01 00:00:00,,,,,,,,,,1,,,,,,10.0,,,4,,10.0,,,,9.5,,,,9.0,4.5,,,,1.25,,1.35,10,5.0,10.0,4.2,,,,,1.3,,,,,,,,,,1,5.0,,,,4.35,,,,
