weight,id,name,gender,height,age
64.0,51,Nstor Abad Sanjun,M,167.0,23
65.0,55,Antonio Abadia Beci,M,170.0,26
66.0,110,Abubakar Abbas Abbas,M,175.0,20
58.0,126,Forough Abbasi,F,164.0,20
56.0,251,Bashir Abdi,M,176.0,27
50.0,273,Maizurah Abdul Rahim,F,147.0,17
85.0,402,Arthur Abele,M,184.0,30
68.0,412,Tesfaye Abera Dibaba,M,192.0,24
74.0,430,Matthew Duncan Abeysinghe,M,180.0,20
62.0,455,Denis Mikhaylovich Ablyazin,M,161.0,24
60.0,463,Agnese boltia,F,166.0,17
92.0,465,"Matthew ""Matt"" Abood",M,197.0,30
61.0,511,Tadesse Abraham,M,178.0,33
82.0,532,Iason Abramashvili,M,176.0,25
95.0,533,Yelena Vasilyevna Abramchuk (Kopets-),F,182.0,28
80.0,535,Yevgeny Sergeyevich Abramenko,M,181.0,26
53.0,551,Aliyah Abrams,F,163.0,19
115.0,554,Benik Abramyan,M,186.0,31
52.0,574,rika Abril Surez,F,164.0,38
70.0,578,Bourhan Abro,M,180.0,21
67.0,593,Methkal Marouf Abu Drais,M,168.0,32
67.0,611,Mohammed Abukhousa,M,170.0,23
70.0,613,Kariman Abuljadayel,F,180.0,22
68.0,650,Javier Carlos Acevedo,M,182.0,18
54.0,668,Gemma Acheampong,F,163.0,23
87.0,679,Ioan Valeriu Achiriloaie,M,183.0,23
,720,Marcelo Alberto Acosta Jimnez,M,,20
79.0,804,Antoine Xavier Adams,M,180.0,27
65.0,811,Natalie Cammile Adams (-Brannan),F,173.0,24
64.0,823,Liam Adams,M,178.0,29
120.0,846,Valerie Kasanita Adams-Vili (-Price),F,193.0,31
63.0,900,Oluwakemi 'Kemi' Adekoya,F,166.0,23
58.0,915,Abrar Osman Adem,M,168.0,22
,931,Nyakisi Adero,F,,30
80.0,961,"Bradley Don ""Brad"" Adkins",M,188.0,22
100.0,1017,Nathan Ghar-Jun Adrian,M,198.0,27
86.0,1052,Jasper Aerents,M,191.0,23
80.0,1053,Luca Aerni,M,177.0,20
58.0,1081,Alessia Afi Dipol,F,168.0,18
60.0,1087,Evelina Afoa,F,162.0,17
75.0,1162,Levon Aghasyan,M,193.0,21
90.0,1173,Yannick Agnel,M,202.0,24
52.0,1200,Debora Agreiter,F,166.0,22
50.0,1234,Alessandra Aguilar Morn,F,165.0,38
64.0,1242,Evelis Jazmin Aguilar Torres,F,173.0,23
66.0,1265,Yulenmis Aguilar Martnez,F,165.0,20
63.0,1320,Kelsie Ahbe,F,170.0,25
56.0,1405,Mohammed Ahmed,M,182.0,25
,1421,Masbah Ahmmed,M,,21
58.0,1439,Murielle Ahour,F,165.0,28
64.0,1462,Michelle-Lee Raquel Ahye,F,160.0,24
54.0,1464,Ai Yanhan,F,168.0,14
60.0,1477,Neringa Aidietyt,F,177.0,33
87.0,1488,Harry Leslie Aikines-Aryeetey,M,180.0,27
65.0,1526,Samir At Sad,M,167.0,26
50.0,1527,Souad At Salem (-Mahour-Bacha),F,158.0,37
62.0,1561,Mobolade Abimbola Ajomale,M,180.0,20
60.0,1575,Stella Akakpo,F,166.0,22
51.0,1599,Meryem (Mirriam Jepchirchir-) Akda (Mayo-),F,171.0,23
60.0,1600,Tark Langat Akda,M,176.0,28
72.0,1648,Yerdos Zhaksimbinovich Akhmadiyev,M,180.0,28
61.0,1682,Morolake Akinosun,F,163.0,22
49.0,1696,Malika Al-Akkaoui,F,160.0,28
58.0,1697,Halil Akka,M,175.0,33
80.0,1721,Ahmed Akram Abbas Mahmoud,M,188.0,19
,1746,Sonia Aktar,F,,19
50.0,1749,Shirin Akter,F,159.0,21
,1780,Mazoon Khalfan Saleh Al-Alawi,F,182.0,18
49.0,1787,Tariq Ahmed Al-Amri,M,165.0,25
57.0,1807,Mary Al-Atrash,F,170.0,22
53.0,1832,Nada Mohamed Abdulzaher Mohamed Al-Bedwawi,F,162.0,18
86.0,1856,Sultan Mubarak M. Al-Dawoodi,M,192.0,31
55.0,1943,Dalal Masfir Al-Harith,F,160.0,16
67.0,1946,Barakat Mubarak Al-Harthi,M,173.0,28
45.0,1993,Hajar Saeed Saad Sowaid Al-Khaldi,F,160.0,21
86.0,2008,Noah Abdalaziz Al-Khulaifi,M,190.0,17
60.0,2021,Fatema Abdul Muhsin Al-Mahmeed,F,167.0,17
60.0,2090,Moukheld Mahil F. Al-Outaibi,M,163.0,40
62.0,2119,Yaaqoub Al-Saadi,M,175.0,20
,2135,Mayada Al-Sayad,F,,23
61.0,2169,Hicham Al-Siguni,M,172.0,23
,2197,Saud Al-Zaabi,M,,27
58.0,2236,Salima El Ouali Al-Alami,F,179.0,32
76.0,2314,Markel Alberdi Sarobe,M,187.0,24
47.0,2408,Aurelie Alcindor,F,169.0,22
69.0,2414,"Chimene Mary ""Chemmy"" Alcott (-Crawford)",F,169.0,31
81.0,2467,Eric Javier Alejandro,M,180.0,30
52.0,2537,Habitam Alemu,F,171.0,19
92.0,2551,Arnaud Alessandria,M,185.0,20
65.0,2574,Kineke Alicia Alexander,F,178.0,30
60.0,2604,Khaido Alexouli,F,180.0,25
75.0,2663,Ahmed Ali,M,173.0,22
84.0,2683,Kame Ali,M,185.0,32
,2688,Mehboob Ali,M,,26
65.0,2695,Nia Sifaatihii Ali,F,170.0,27
44.0,2719,Bibiro Ali Taher,F,160.0,28
130.0,2726,Hamza Ali,M,186.0,37
76.0,2775,Antonio Alkana,M,183.0,26
60.0,2779,Jasmine Alkhaldi,F,180.0,23
60.0,2784,Fatim Alkrmova,F,175.0,14
84.0,2838,Devon Allen,M,185.0,21
,2861,Nathon Allen,M,178.0,20
77.0,2900,Martin Allikvee,M,182.0,21
55.0,2943,Miguel ngel Almachi Condo,M,165.0,31
53.0,2952,Rose Mary Almanza Blanco,F,165.0,24
73.0,2969,Brandonn Pierry Cruz de Almeida,M,186.0,19
75.0,2976,Kaio Mrcio Ferreira Costa de Almeida,M,177.0,31
73.0,3001,Alexei Almoukov,M,173.0,23
60.0,3048,Kseniya Alekseyevna Alopina,F,165.0,21
64.0,3070,Malin Therse Alshammar,F,180.0,38
50.0,3081,Tabea Lara Alt,F,158.0,16
78.0,3139,Alberto lvarez Muoz,M,191.0,25
64.0,3221,Higor Silva Alves,M,183.0,22
59.0,3267,Isabella del Carmen Amado Medrano,F,155.0,19
58.0,3280,Mohammed Aman Geleto,M,165.0,22
,3284,Alex Amankwah,M,,24
64.0,3310,Hailemariyam Amare Tegen,M,175.0,19
70.0,3316,Nauraj Singh Randhawa Amarjit Singh,M,193.0,24
63.0,3326,Eyawomano Doreen Amata,F,191.0,28
87.0,3340,Kim Oscar Amb,M,180.0,26
65.0,3352,Mal Ambonguilat,M,170.0,18
54.0,3411,Christine Amertil (-Ling),F,168.0,36
60.0,3464,Mathilde Amivi Petitjean,F,163.0,19
54.0,3473,Amanda Ammar,F,157.0,28
60.0,3512,Nijel Carlos Amilfitano Amos,M,179.0,22
61.0,3515,Paulo Amotun Lokoro,M,170.0,24
100.0,3527,John Ampomah,M,191.0,26
52.0,3528,Janet Amponsah,F,171.0,23
55.0,3560,Oluwatobiloba Ayomide Amusan,F,,19
57.0,3596,An Se-Hyeon,F,168.0,20
46.0,3600,An Seul-Ki,F,161.0,24
58.0,3616,Phara Anacharsis,F,177.0,32
85.0,3620,Khrysoula Anagnostopoulou,F,175.0,24
92.0,3640,Mikhailis Anastasakis,M,183.0,21
68.0,3820,Haley Danita Anderson,F,178.0,24
77.0,4041,Jordin Andrade,M,183.0,24
46.0,4048,Rebeca Rodrigues de Andrade,F,151.0,17
70.0,4054,Mathilde Andraud,F,173.0,27
52.0,4070,Thiago do Rosario Andr,M,163.0,20
77.0,4104,Maria Andrejczyk,F,174.0,20
52.0,4155,"Jessica ""Jess"" Andrews (-Martin)",F,168.0,23
66.0,4159,"Robert Adrian ""Robby"" Andrews",M,178.0,25
93.0,4171,Leonid Vladimirovich Andreyev,M,198.0,32
64.0,4181,Sofya Denisovna Andreyeva,F,178.0,18
74.0,4183,Viktoriya Olegovna Andreyeva,F,190.0,24
85.0,4233,Vyacheslav Dmitriyevich Andrusenko,M,194.0,24
78.0,4247,Daniel Andjar Ponce,M,182.0,22
60.0,4248,Youndry Andjar de la Cruz,M,171.0,26
73.0,4257,Krasimir Anev,M,174.0,26
76.0,4286,Apostolos Angelis,M,181.0,20
62.0,4310,Tonje Angelsen,F,179.0,26
60.0,4314,Lucia Anger,F,168.0,23
72.0,4322,Tobias Angerer,M,179.0,36
78.0,4379,Rami Anis,M,178.0,25
64.0,4407,Emilia Ankiewicz,F,178.0,25
80.0,4420,Mame-Ibra Anne,M,184.0,26
92.0,4523,Seema Antil,F,182.0,33
73.0,4540,Jan Antolek,M,179.0,23
52.0,4605,Maryna Mykolavna Antsybor,F,160.0,26
55.0,4654,Tomomi Aoki,F,164.0,21
69.0,4662,Zouhair Aouad,M,175.0,27
120.0,4674,Eref Apak,M,184.0,34
50.0,4745,Lusapho Lesly April,M,172.0,34
54.0,4747,Alice Aprot Nawowuna,F,152.0,22
52.0,4776,Rababe Arafi,F,167.0,25
62.0,4782,Hirooki Arai,M,180.0,28
96.0,4787,Ryohei Arai,M,183.0,25
59.0,4809,Nada Mohammed Wafa S Arakji,F,163.0,21
55.0,4844,"Kalliopi ""Kelly"" Araouzou",F,169.0,25
58.0,4848,Jacob Araptany,M,168.0,22
88.0,4866,Luiz Alberto Cardoso de Arajo,M,188.0,29
55.0,4869,Vctor Aravena Pincheira,M,167.0,26
62.0,4871,Edward Ignacio Araya Corts,M,176.0,30
64.0,4874,Yerko Ignacio Araya Corts,M,178.0,30
92.0,4903,Geisa Rafaela Arcanjo,F,180.0,24
64.0,4937,Isabella Arcila Hurtado,F,168.0,22
58.0,4938,Francisco Arcilla Aller,M,171.0,32
65.0,4953,Ingrida Ardiauskait,F,178.0,21
50.0,4972,Sandra Lorena Arenas Campuzano,F,160.0,22
85.0,4991,Mareks rents,M,190.0,29
60.0,5006,ider Orlando Arvalo Truque,M,165.0,23
60.0,5009,Samantha Michelle Arvalo Salinas,F,171.0,21
47.0,5050,Kellys Yesenia Arias Figueroa,F,150.0,27
80.0,5053,Pol Arias Dourdet,M,175.0,19
68.0,5056,Ferhat Arcan,M,178.0,23
59.0,5065,Polat Kemboi Arkan,M,175.0,25
51.0,5103,Yuliya Vladimirovna Arkhipova-Andreyeva,F,168.0,32
