Id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
202,6.7,0.7,0.01,2.1,0.059,7.0,25.0,0.99508,3.44,0.56,11.5,5
751,7.8,0.835,0.0,2.1,0.083,8.0,20.0,0.99562,3.41,0.65,11.5,5
1136,8.2,0.31,0.24,2.2,0.064,25.0,52.0,0.99408,3.43,0.77,12.7,7
1357,6.7,0.53,0.09,1.7,0.166,26.0,45.0,0.99498,3.35,0.86,10.0,5
1834,9.9,0.78,0.21,2.2,0.077,32.0,54.0,0.9991,3.48,0.62,9.4,5
321,8.1,0.39,0.42,2.1,0.079,27.0,60.0,0.99608,3.3,0.85,12.1,7
288,9.3,0.4,0.42,1.7,0.069,3.0,8.0,0.99458,3.3,0.85,12.1,8
904,8.8,0.43,0.49,2.2,0.084,10.0,43.0,0.9982,3.3,0.9,9.4,6
499,6.8,0.64,0.0,1.5,0.062,27.0,53.0,0.9959,3.38,0.59,10.9,6
1019,8.7,0.35,0.27,2.4,0.073,25.0,85.0,0.99628,3.34,0.85,10.7,7
636,7.6,0.57,0.06,3.0,0.076,51.0,70.0,0.9972,3.37,0.93,9.5,7
1596,11.9,0.38,0.6,3.3,0.093,8.0,23.0,1.0,3.16,0.69,9.5,7
1520,7.0,0.51,0.18,3.0,0.07,12.0,49.0,0.99768,3.38,0.73,9.5,6
908,9.6,0.43,0.29,2.6,0.077,23.0,43.0,0.9979,3.19,0.64,10.1,6
701,8.2,0.27,0.52,2.2,0.05,5.0,11.0,0.99316,3.17,0.79,12.4,6
875,7.3,0.46,0.21,2.6,0.07,13.0,31.0,0.9966,3.13,0.59,9.2,5
1967,9.6,0.41,0.5,2.2,0.213,19.0,32.0,0.99787,3.04,1.08,9.7,6
153,7.0,0.66,0.02,2.1,0.066,21.0,58.0,0.9972,3.47,0.72,9.7,6
944,8.6,0.28,0.49,2.4,0.061,6.0,18.0,0.9957,3.3,0.57,9.2,4
1888,6.0,0.685,0.0,2.1,0.071,26.0,35.0,0.99622,3.54,0.72,11.0,7
1915,6.8,0.875,0.15,2.4,0.0819999999999999,26.0,60.0,0.99808,3.39,0.68,10.5,6
578,7.6,0.34,0.34,2.5,0.0819999999999999,15.0,26.0,0.99356,3.22,0.62,12.8,7
699,7.4,0.48,0.32,2.1,0.062,3.0,9.0,0.9956,3.3,0.78,11.0,7
502,8.9,0.49,0.39,1.8,0.078,34.0,61.0,0.99652,3.32,0.78,10.8,7
1193,7.2,0.66,0.03,3.0,0.083,5.0,15.0,0.99761,3.38,0.48,10.0,6
669,8.9,0.28,0.45,2.3,0.0579999999999999,5.0,9.0,0.99386,3.31,0.69,12.8,6
876,7.1,0.65,0.02,2.1,0.067,16.0,38.0,0.9934,3.34,0.82,10.0,7
425,9.2,0.39,0.24,2.0,0.084,19.0,122.0,0.9988,3.31,0.54,9.6,5
1449,6.5,0.43,0.24,1.8,0.08,10.0,23.0,0.9956,3.35,0.62,10.3,6
98,8.1,0.64,0.22,2.5,0.096,34.0,143.0,0.99712,3.2,0.48,9.5,5
623,7.6,0.49,0.26,2.5,0.094,16.0,86.0,0.9976,3.32,0.64,9.2,5
367,6.5,0.32,0.09,2.2,0.073,4.0,11.0,0.99444,3.33,0.78,10.6,6
1507,8.0,0.57,0.22,2.7,0.084,17.0,91.0,0.9984,3.28,0.57,9.9,6
898,11.5,0.38,0.53,2.6,0.088,6.0,18.0,0.9982,3.11,0.72,10.0,5
1301,6.2,0.41,0.14,2.2,0.067,11.0,21.0,0.99462,3.54,0.62,11.8,6
435,8.3,0.43,0.31,2.6,0.086,24.0,66.0,0.9963,3.47,0.62,9.7,5
1781,10.0,0.35,0.45,3.4,0.08,6.0,17.0,0.9994,3.22,0.67,10.5,5
899,6.6,0.66,0.07,1.9,0.059,7.0,12.0,0.99458,3.35,0.72,11.8,6
1094,6.6,0.58,0.02,6.6,0.0819999999999999,6.0,14.0,0.9948,3.36,0.58,12.5,7
626,8.8,0.68,0.0,2.5,0.091,22.0,46.0,0.9997,3.39,0.6,9.3,5
1670,7.5,0.55,0.03,2.3,0.07,16.0,86.0,0.99746,3.35,0.83,11.4,7
187,7.1,0.575,0.22,1.9,0.076,27.0,51.0,0.9946,3.39,0.59,10.1,6
974,8.1,0.8,0.0,1.8,0.078,19.0,35.0,0.9969,3.28,0.56,9.6,5
275,9.4,0.28,0.32,2.1,0.079,38.0,54.0,0.99622,3.26,0.62,10.6,7
1574,6.8,0.5,0.0,1.9,0.057,13.0,26.0,0.99448,3.5,0.45,10.0,6
1115,8.1,0.28,0.49,2.3,0.095,18.0,95.0,0.9962,3.31,0.6,9.4,7
468,7.3,0.31,0.3,1.8,0.0819999999999999,27.0,85.0,0.99688,3.35,0.54,9.5,6
1684,9.0,0.48,0.28,3.6,0.087,23.0,119.0,0.9982,3.13,0.54,9.3,4
1756,7.5,0.88,0.02,2.3,0.1,8.0,17.0,0.99588,3.2,0.54,9.4,5
711,8.8,0.6,0.26,2.8,0.09,23.0,81.0,0.9987,3.21,0.51,9.7,5
1962,5.2,0.34,0.08,2.4,0.071,7.0,18.0,0.99374,3.68,0.72,11.0,5
1970,8.2,0.63,0.31,2.6,0.084,17.0,81.0,0.9968,3.23,0.52,9.5,5
423,6.8,0.63,0.1,1.8,0.121,17.0,38.0,0.99619,3.53,0.52,10.3,3
283,9.9,0.49,0.19,2.6,0.111,1.0,47.0,0.9996,3.19,0.72,9.7,6
914,9.2,0.46,0.24,2.2,0.079,26.0,85.0,0.9976,3.12,0.48,9.4,5
523,13.0,0.27,0.41,2.2,0.083,6.0,16.0,1.0002,3.08,0.69,10.8,6
123,7.5,0.65,0.02,2.4,0.102,5.0,9.0,0.99498,3.37,0.62,10.8,6
1776,11.9,0.51,0.44,2.55,0.089,16.0,47.0,1.0002,3.18,0.64,10.0333333333333,6
