id,Sex,Length,Diameter,Height,Whole weight,Whole weight.1,Whole weight.2,Shell weight,Rings
83572,M,0.55,0.43,0.165,0.872,0.321,0.1625,0.2515,9
26317,I,0.31,0.225,0.07,0.1325,0.054,0.0305,0.035,5
54438,F,0.585,0.45,0.16,0.9805,0.3155,0.2375,0.2945,8
51776,F,0.655,0.505,0.16,1.1605,0.5305,0.23,0.305,10
10464,F,0.65,0.545,0.17,1.5175,0.7765,0.38,0.431,12
19037,M,0.53,0.405,0.14,0.7805,0.354,0.171,0.2185,8
52078,I,0.57,0.44,0.155,0.811,0.3685,0.178,0.235,7
31505,F,0.515,0.385,0.13,0.6275,0.3045,0.1445,0.1445,8
11749,I,0.465,0.355,0.13,0.4885,0.2005,0.111,0.166,8
82765,M,0.52,0.45,0.14,0.8175,0.2795,0.158,0.255,11
25995,M,0.525,0.445,0.125,0.826,0.341,0.1615,0.27,10
33894,M,0.625,0.495,0.175,1.3105,0.5855,0.2095,0.365,13
73848,F,0.585,0.45,0.16,1.13,0.4155,0.2285,0.345,15
72081,F,0.575,0.455,0.135,0.869,0.3305,0.1785,0.2485,9
59400,M,0.585,0.46,0.14,1.027,0.4905,0.2055,0.265,9
76905,I,0.275,0.205,0.07,0.1055,0.495,0.019,0.035,7
90593,I,0.515,0.4,0.135,0.6615,0.2925,0.156,0.239,10
49000,I,0.33,0.275,0.09,0.197,0.06,0.0345,0.0615,8
38127,M,0.59,0.475,0.165,1.113,0.4525,0.195,0.305,14
33753,M,0.605,0.475,0.16,1.0105,0.4285,0.2475,0.2735,9
88427,F,0.72,0.56,0.195,1.5715,0.6585,0.3365,0.435,27
12298,M,0.48,0.37,0.135,0.7835,0.3285,0.1635,0.185,14
88636,M,0.54,0.415,0.175,0.8975,0.278,0.193,0.3,17
89151,I,0.525,0.405,0.14,0.974,0.4325,0.2095,0.2085,9
9080,F,0.45,0.335,0.115,0.3975,0.1865,0.081,0.135,9
79833,F,0.655,0.505,0.185,1.7015,0.5415,0.3265,0.52,14
42071,M,0.655,0.555,0.195,1.4385,0.655,0.3365,0.405,12
63631,F,0.655,0.525,0.175,1.403,0.621,0.3485,0.465,13
63486,F,0.54,0.405,0.145,0.8035,0.3095,0.156,0.265,11
12760,M,0.62,0.45,0.15,1.0175,0.5245,0.2035,0.2545,9
29952,I,0.47,0.375,0.13,0.6855,0.2335,0.1325,0.255,14
38412,F,0.625,0.495,0.175,1.1565,0.52,0.2705,0.2895,9
14564,I,0.46,0.335,0.1,0.3325,0.1525,0.0585,0.095,7
55630,I,0.585,0.44,0.145,0.972,0.393,0.1955,0.26,10
85584,F,0.385,0.3,0.09,0.2845,0.1215,0.0675,0.0875,9
67880,M,0.625,0.485,0.155,1.161,0.572,0.2435,0.3055,9
55060,M,0.575,0.445,0.145,0.8875,0.4345,0.1635,0.223,10
45442,I,0.42,0.33,0.105,0.3245,0.1285,0.0865,0.09,8
45027,F,0.62,0.46,0.155,1.0235,0.466,0.268,0.275,8
83439,I,0.49,0.375,0.12,0.4725,0.2185,0.106,0.1345,9
75121,I,0.44,0.345,0.105,0.4385,0.18,0.0905,0.17,8
1763,M,0.65,0.525,0.2,1.461,0.5815,0.308,0.415,12
26252,F,0.62,0.47,0.17,1.0605,0.3665,0.261,0.295,15
80681,I,0.28,0.21,0.075,0.1055,0.0425,0.0265,0.04,5
41389,M,0.505,0.38,0.125,0.6255,0.2055,0.17,0.205,12
21783,I,0.255,0.18,0.055,0.0805,0.037,0.0075,0.01,9
11977,F,0.59,0.44,0.15,1.073,0.467,0.19,0.25,10
90246,F,0.475,0.355,0.125,0.4875,0.2015,0.111,0.165,9
31079,F,0.495,0.375,0.15,0.7105,0.24,0.102,0.255,14
9611,F,0.5,0.395,0.14,0.578,0.2795,0.13,0.177,7
67304,F,0.59,0.475,0.14,0.9155,0.4095,0.166,0.235,8
3350,M,0.6,0.475,0.155,1.0295,0.4775,0.2485,0.3,10
25148,F,0.595,0.475,0.165,1.0575,0.3945,0.2595,0.33,11
54958,M,0.535,0.435,0.16,0.8915,0.3275,0.2,0.2515,10
42504,I,0.33,0.245,0.085,0.2085,0.0965,0.0395,0.052,6
68892,I,0.52,0.395,0.14,0.549,0.248,0.1315,0.169,8
23008,I,0.48,0.35,0.13,0.5425,0.235,0.119,0.175,7
55080,I,0.52,0.375,0.125,0.567,0.2655,0.1315,0.1405,8
60722,I,0.515,0.39,0.12,0.5105,0.2555,0.1095,0.169,7
58522,I,0.555,0.425,0.15,0.875,0.3685,0.2005,0.255,8
68346,F,0.68,0.54,0.165,1.639,0.6055,0.318,0.46,11
85002,M,0.595,0.47,0.17,1.059,0.4,0.273,0.38,13
72549,F,0.61,0.48,0.16,1.0425,0.567,0.2245,0.315,9
69273,F,0.57,0.435,0.135,0.7865,0.332,0.1545,0.235,18
33824,M,0.515,0.395,0.155,0.9115,0.404,0.1875,0.2475,10
10992,I,0.55,0.42,0.155,0.853,0.3305,0.2155,0.25,11
50899,I,0.385,0.3,0.105,0.2765,0.1265,0.0585,0.08,7
2499,F,0.565,0.45,0.155,1.0075,0.4675,0.239,0.2585,9
71346,M,0.655,0.515,0.18,1.466,0.6245,0.3485,0.405,10
