ID,CATEGORY
280701,e
96509,b
280870,e
285435,e
379532,m
233727,e
77384,t
363681,e
247944,b
177070,t
235562,t
108658,t
210372,e
201416,t
300512,b
338022,e
11324,e
316146,t
270695,e
369165,e
153323,t
279212,e
342245,e
302573,b
118497,e
361370,e
262549,m
183631,t
211643,m
291525,t
143088,b
39715,e
84188,b
73990,t
355392,e
346397,e
287766,e
234016,m
367938,t
188492,b
400744,m
384303,t
68561,b
227009,b
312651,b
228302,e
174394,t
411311,e
302418,b
347814,m
176102,b
116008,m
28290,m
303267,t
296620,e
23316,e
119152,e
380010,b
138350,e
215153,e
60670,b
332747,e
139414,b
313264,e
9814,t
174896,e
148266,e
102084,b
398940,b
15191,e
241960,t
109295,e
250344,b
263412,b
21045,b
290307,b
195104,e
87353,b
341112,t
247119,e
407039,t
169789,e
37892,b
208070,b
295222,t
15400,m
115414,e
379541,m
249500,e
319670,e
154660,e
7506,e
34208,m
35284,b
235247,b
320137,e
60940,t
229313,e
259751,t
113910,t
230825,e
103340,e
164276,t
42239,t
239663,t
340613,b
49525,e
279399,e
37753,b
299706,e
121497,b
155862,b
309539,t
389864,e
61708,t
293274,e
803,b
277785,t
105277,b
174573,t
94237,t
38199,b
51625,t
406884,t
4336,b
40191,e
178991,e
157602,b
203141,e
248692,t
13138,b
366650,m
50632,b
81379,t
407348,t
142409,e
50663,b
283605,t
402458,t
105511,t
1278,t
73966,t
41962,t
397812,m
87523,b
45767,e
119677,e
200719,b
266510,b
153808,e
371339,b
5790,t
330771,b
247890,b
39509,t
408737,e
9997,t
235216,b
336163,t
359325,m
183043,e
325376,e
228398,e
368374,t
341240,t
242180,t
10149,t
382089,e
189315,t
241893,t
297149,b
232194,t
124950,b
412683,b
281193,e
171687,t
120686,e
376183,e
128393,b
381477,e
312847,e
274734,e
302073,b
195397,e
94871,e
169005,e
341838,e
371256,b
402983,e
314596,m
228051,e
369376,e
104669,m
202277,e
327150,b
99514,e
206007,e
12537,b
400686,m
143215,t
258329,e
289314,e
138780,e
154815,t
410972,b
291406,t
236248,e
18650,e
67814,e
125935,t
116522,b
135292,e
211964,b
414270,t
56856,b
202933,e
251587,e
11667,e
29178,b
260964,e
261251,e
127906,b
416561,e
181506,t
42241,t
402890,e
61897,t
247210,e
353313,b
7859,m
390740,b
11296,e
329936,m
162537,e
131380,e
44074,b
212982,b
217838,t
136832,t
88522,t
389085,e
303568,t
282339,b
383323,b
111306,e
252752,b
23358,b
24315,b
319166,e
413176,b
36453,e
257941,e
266384,m
157911,e
134831,e
369421,b
277363,b
350078,t
110069,t
154768,e
253805,t
227873,e
289271,e
40707,e
250871,t
210596,e
36937,e
29674,b
326661,t
289241,e
280441,e
322485,t
274624,e
84703,t
51768,b
244543,m
334386,b
345944,t
369580,e
296679,e
99360,e
339214,b
271190,e
69915,e
261823,e
68560,t
294388,b
126293,e
309208,t
63657,m
52624,t
320089,e
144480,m
56189,b
128534,b
275146,e
249691,t
188806,t
266386,m
193965,t
336307,t
330116,b
44111,b
205204,t
97641,t
305941,t
169365,e
157177,e
326311,m
258075,e
254752,e
142245,e
305250,t
339026,b
122600,t
406175,b
48311,t
14892,e
334426,b
203497,b
209511,t
148294,e
365650,e
410575,b
257023,t
350312,t
97287,t
354544,e
351051,e
267670,b
186232,t
226365,b
266486,m
420849,e
340906,b
286017,b
301836,b
136203,b
422772,m
250869,t
86225,e
143830,e
18942,e
205515,t
125729,t
47732,b
164237,t
396288,e
112245,b
18106,t
182372,e
96295,b
4425,b
237106,e
411664,e
9783,b
320072,e
78973,e
213779,t
403646,e
144121,e
114215,e
207825,b
199460,e
160608,t
157699,e
84491,b
268733,t
176877,t
124,b
112251,b
273186,b
9477,t
8068,m
347578,e
16880,b
174114,t
125293,b
87018,m
293980,t
388178,t
399306,t
193547,t
36250,e
104203,e
101220,b
326396,m
310664,b
252677,b
364339,b
273219,b
11994,t
237389,m
276571,b
53565,e
343522,m
91387,b
174962,e
101297,b
388532,t
200387,b
163645,b
402041,t
200252,b
108707,e
405846,b
403547,e
55317,m
64361,b
11804,e
232303,t
277241,b
328047,t
79191,e
19259,e
238724,b
297692,b
96220,b
388601,t
204181,b
226426,e
248527,t
284002,t
227323,t
256313,t
129685,e
281024,e
294574,b
161925,t
137984,e
349363,b
195181,e
204432,b
376640,m
39809,e
27841,t
158554,m
141365,b
359649,b
282862,b
353949,t
155359,b
25626,t
219124,m
290743,b
42998,e
42381,t
298783,b
291557,t
51164,b
131701,m
12076,m
308526,b
150616,t
130415,e
57161,b
278715,t
275206,e
65735,e
250521,t
386562,m
294365,b
4089,e
199652,m
239867,e
316800,e
321914,m
125357,b
21237,b
70537,t
231914,t
335535,t
404138,e
19039,e
169836,e
100311,m
265356,e
390693,m
359709,b
330500,b
169010,e
358982,e
87990,b
115360,e
211812,m
156815,t
189667,t
74088,t
293165,e
324657,e
270014,e
417531,b
267467,b
351532,e
37437,b
5145,t
371135,b
133486,t
139443,b
111950,b
31363,t
223779,b
50012,e
240807,b
327630,t
409858,m
32583,b
192397,b
372290,t
230501,b
312627,t
240582,e
291573,t
94778,e
49591,e
107869,b
372412,t
405711,b
299974,e
151833,e
76259,m
36255,e
310900,b
341042,b
111271,e
278600,t
359071,e
237108,e
12515,b
297226,b
47164,b
413367,t
361591,m
14378,e
248518,t
339743,t
278124,t
369587,e
864,b
279781,e
70788,t
109802,b
246067,t
327951,t
404144,e
36294,e
276870,b
230873,b
184075,m
253010,b
112212,b
209756,t
342889,e
415805,e
372355,t
26902,e
31507,t
385516,e
80991,b
192577,b
411975,e
79248,e
406553,b
252420,m
321045,e
12591,b
85401,t
128239,b
117473,t
119021,e
39462,t
174421,t
92351,t
196612,t
61848,t
334680,b
335851,t
315341,b
223221,m
74809,e
362970,b
137501,e
216373,m
131703,m
297514,b
113878,t
404083,e
102552,t
37716,b
12564,b
287957,e
362874,b
121134,b
119071,e
300168,e
398607,b
46541,e
257170,e
235235,b
204104,b
35843,b
182406,e
83452,m
134133,e
248705,t
164846,e
236599,e
223288,m
312036,e
361317,e
259024,m
135893,m
392532,t
385604,e
253847,t
85045,t
304783,m
230035,t
180434,b
305607,b
45747,e
247182,e
107539,m
234278,b
254775,e
173210,b
412084,e
390682,m
345839,t
194518,e
392657,t
26819,e
107152,e
217797,t
223833,b
158764,b
277404,b
182960,e
97948,t
24779,b
168688,e
232802,b
219239,m
152243,b
322333,b
91004,b
331680,t
268863,t
78692,e
35154,b
108714,e
84783,t
57375,t
109135,e
349518,b
257853,e
312477,t
35998,t
287705,e
226820,e
291511,t
138138,e
140148,e
299860,e
160369,b
315375,b
276727,b
241409,b
268816,t
361175,e
140659,e
107529,m
408950,t
2091,t
282322,b
259045,e
223730,t
400585,m
159509,b
422385,t
280331,e
60659,b
134270,e
83571,b
253982,e
334005,b
335184,t
177606,t
325141,e
154530,e
390773,b
31038,t
220186,t
93068,e
42316,t
239735,e
232684,e
218721,e
151031,e
86912,e
49986,e
360896,e
31717,t
14886,e
199352,e
203259,e
78951,e
333142,e
29381,b
249885,m
297085,b
292907,e
49455,e
248016,t
30109,b
169746,e
217026,b
169067,e
260475,t
81876,t
215751,e
368588,t
234622,b
317087,b
330427,b
179585,m
197917,t
383257,b
64930,t
128906,b
191852,b
361244,e
73890,t
143758,e
130805,e
47981,t
413743,t
31743,e
166538,b
66034,b
278056,t
282860,b
113316,t
335169,t
322809,b
302670,b
341832,e
107431,e
23505,e
238266,b
365792,e
308941,t
4836,b
120036,e
286833,t
240592,e
288032,e
370516,m
12639,b
306588,t
290,b
375750,e
286343,t
290373,b
284224,t
420009,t
312450,t
162643,e
282662,b
125415,b
134452,t
56639,b
195114,e
278176,t
339688,t
391469,b
377043,b
369128,e
116490,b
189744,t
299841,e
224672,t
419270,t
271488,e
388115,t
170301,m
53719,e
88032,b
135280,e
112627,e
212243,b
120246,m
102781,t
327541,e
390319,e
264132,b
75939,m
290464,t
146283,e
331109,b
375692,e
229882,e
231515,t
403823,e
105087,b
333332,e
121536,t
278513,t
399414,t
9147,b
181410,t
313851,e
71775,b
126130,t
82302,e
348658,b
337464,e
320028,e
20104,e
122859,t
277839,t
273258,b
77510,t
399047,t
165500,b
275415,e
140450,e
419778,t
45964,e
116932,t
327219,b
58891,e
52867,t
417,b
241771,t
250921,t
82848,e
