generation biomass,generation fossil brown coal/lignite,generation fossil coal-derived gas,generation fossil gas,generation fossil hard coal,generation fossil oil,generation fossil oil shale,generation fossil peat,generation geothermal,generation hydro pumped storage consumption,generation hydro run-of-river and poundage,generation hydro water reservoir,generation marine,generation nuclear,generation other,generation other renewable,generation solar,generation waste,generation wind offshore,generation wind onshore,forecast solar day ahead,forecast wind onshore day ahead,total load forecast,total load actual,price day ahead
362.0,0.0,0.0,3449.0,2659.0,219.0,0.0,0.0,0.0,83.0,689.0,836.0,0.0,6967.0,54.0,78.0,4936.0,302.0,0.0,3191.0,5053.0,3147.0,25653.0,25399.0,38.35
555.0,847.0,0.0,4625.0,6052.0,362.0,0.0,0.0,0.0,342.0,668.0,2095.0,0.0,6614.0,88.0,70.0,4670.0,260.0,0.0,2881.0,4257.0,2887.0,31257.0,30430.0,65.3
542.0,211.0,0.0,3905.0,5217.0,286.0,0.0,0.0,0.0,124.0,697.0,1789.0,0.0,6918.0,82.0,72.0,3783.0,248.0,0.0,2908.0,3144.0,2841.0,26349.0,26871.0,54.6
360.0,694.0,0.0,6080.0,3905.0,303.0,0.0,0.0,0.0,247.0,428.0,1055.0,0.0,6002.0,51.0,95.0,237.0,311.0,0.0,4032.0,209.0,4113.0,24512.0,24687.0,51.66
360.0,890.0,0.0,5969.0,5584.0,281.0,0.0,0.0,0.0,0.0,825.0,2770.0,0.0,6978.0,63.0,70.0,3806.0,280.0,0.0,2698.0,3855.0,2671.0,33302.0,33035.0,44.21
383.0,989.0,0.0,9615.0,5017.0,357.0,0.0,0.0,0.0,5.0,748.0,1625.0,0.0,5925.0,19.0,111.0,5085.0,295.0,0.0,2568.0,5204.0,2533.0,36728.0,36040.0,53.06
389.0,576.0,0.0,6075.0,4942.0,294.0,0.0,0.0,0.0,621.0,514.0,482.0,0.0,6901.0,11.0,88.0,608.0,322.0,0.0,2411.0,398.0,2431.0,25267.0,25102.0,45.27
377.0,549.0,0.0,6280.0,4465.0,319.0,0.0,0.0,0.0,0.0,732.0,3475.0,0.0,7056.0,67.0,94.0,28.0,337.0,0.0,7393.0,72.0,6651.0,29872.0,29922.0,72.89
266.0,186.0,0.0,3435.0,1305.0,220.0,0.0,0.0,0.0,1599.0,954.0,960.0,0.0,7014.0,13.0,95.0,4114.0,309.0,0.0,6030.0,4007.0,5953.0,23150.0,22899.0,35.72
343.0,632.0,0.0,4908.0,3032.0,222.0,0.0,0.0,0.0,0.0,1403.0,3089.0,0.0,5002.0,53.0,88.0,4193.0,310.0,0.0,1961.0,4390.0,2518.0,27270.0,27635.0,58.45
313.0,894.0,0.0,5347.0,4878.0,232.0,0.0,0.0,0.0,855.0,555.0,639.0,0.0,4707.0,58.0,88.0,59.0,328.0,0.0,3007.0,3.0,2951.0,21405.0,21760.0,58.23
487.0,0.0,0.0,3896.0,2246.0,279.0,0.0,0.0,0.0,581.0,1229.0,1986.0,0.0,7100.0,80.0,63.0,1349.0,147.0,0.0,6403.0,1231.0,6498.0,24421.0,25043.0,47.35
