dt,Autumn,Spring,Summer,Winter
1750,,,,
1751,,,,
1752,,,,
1753,,,,
1754,,,,
1755,,,,
1756,,,,
1757,,,,
1758,,,,
1759,,,,
1760,,,,
1761,,,,
1762,,,,
1763,,,,
1764,,,,
1765,,,,
1766,,,,
1767,,,,
1768,,,,
1769,,,,
1770,,,,
1771,,,,
1772,,,,
1773,,,,
1774,,,,
1775,,,,
1776,,,,
1777,,,,
1778,,,,
1779,,,,
1780,,,,
1781,,,,
1782,,,,
1783,,,,
1784,,,,
1785,,,,
1786,,,,
1787,,,,
1788,,,,
1789,,,,
1790,,,,
1791,,,,
1792,,,,
1793,,,,
1794,,,,
1795,,,,
1796,,,,
1797,,,,
1798,,,,
1799,,,,
1800,,,,
1801,,,,
1802,,,,
1803,,,,
1804,,,,
1805,,,,
1806,,,,
1807,,,,
1808,,,,
1809,,,,
1810,,,,
1811,,,,
1812,,,,
1813,,,,
1814,,,,
1815,,,,
1816,,,,
1817,,,,
1818,,,,
1819,,,,
1820,,,,
1821,,,,
1822,,,,
1823,,,,
1824,,,,
1825,,,,
1826,,,,
1827,,,,
1828,,,,
1829,,,,
1830,,,,
1831,,,,
1832,,,,
1833,,,,
1834,,,,
1835,,,,
1836,,,,
1837,,,,
1838,,,,
1839,,,,
1840,,,,
1841,,,,
1842,,,,
1843,,,,
1844,,,,
1845,,,,
1846,,,,
1847,,,,
1848,,,,
1849,,,,
1850,14.871333333333332,14.738999999999999,16.618,13.240333333333332
1851,15.144,14.769333333333334,16.649333333333335,13.404666666666666
1852,15.054666666666668,14.807,16.723,13.441333333333333
1853,14.881666666666668,14.915,16.74766666666667,13.276333333333334
1854,15.199666666666666,14.942333333333332,16.589333333333332,13.232666666666667
1855,15.007333333333333,15.060333333333332,16.60166666666667,13.415000000000001
1856,14.76,14.905000000000001,16.519000000000002,13.333333333333334
1857,14.862333333333334,14.558666666666667,16.370666666666665,13.241333333333335
1858,15.027000000000001,14.850666666666667,16.390333333333334,13.258000000000001
1859,14.915,15.056333333333333,16.448,13.300333333333333
1860,15.043666666666667,14.777666666666667,16.569666666666667,13.140666666666666
1861,14.975666666666667,14.777000000000001,16.540333333333333,12.909666666666666
1862,14.824666666666667,14.859,16.416,12.860666666666667
1863,14.956000000000001,14.946333333333333,16.412000000000003,13.428666666666667
1864,14.987666666666664,14.890333333333333,16.566333333333333,13.141666666666666
1865,15.113333333333335,14.843666666666666,16.60666666666667,13.423
1866,15.084999999999999,14.764333333333333,16.783666666666665,13.594999999999999
1867,15.365666666666668,14.911000000000001,16.497333333333334,13.460666666666668
1868,15.219,15.069666666666668,16.782333333333334,13.316666666666668
1869,15.202,14.952999999999998,16.591333333333335,13.515666666666666
1870,15.069333333333333,15.005666666666665,16.66266666666667,13.279666666666666
1871,15.017666666666665,15.075333333333333,16.656333333333336,13.274333333333333
1872,15.151666666666666,15.001,16.67533333333333,13.249333333333333
1873,15.063,14.950333333333333,16.653333333333332,13.530333333333333
1874,15.046666666666667,14.822333333333333,16.533666666666665,13.425333333333333
