channel_id,channel_name,channel_type
1,OTHER PLACE,OWN CHANNEL
2,PHONE PLACE,OWN CHANNEL
3,WHATS PLACE,OWN CHANNEL
4,FACE PLACE,OWN CHANNEL
5,FOOD PLACE,MARKETPLACE
6,STORE PLACE,OWN CHANNEL
7,BERLIN PLACE,OWN CHANNEL
8,MADRID PLACE,OWN CHANNEL
9,THINK PLACE,OWN CHANNEL
10,LISBON PLACE,OWN CHANNEL
11,SUPER PLACE,OWN CHANNEL
12,ALL PLACE,MARKETPLACE
13,VELOCITY PLACE,MARKETPLACE
15,EATS PLACE,MARKETPLACE
17,SHOPP PLACE,MARKETPLACE
20,MUNICH PLACE,MARKETPLACE
21,LONDON PLACE,MARKETPLACE
23,ATCHIN PLACE,MARKETPLACE
24,FULL PLACE,MARKETPLACE
25,ON PLACE,MARKETPLACE
28,REGISTER PLACE,MARKETPLACE
29,GLUB PLACE,MARKETPLACE
30,SPEED PLACE,MARKETPLACE
31,SEARCH PLACE,MARKETPLACE
32,BEATLES PLACE,MARKETPLACE
33,SAN PLACE,MARKETPLACE
34,AHORA PLACE,MARKETPLACE
35,BRAZIL PLACE,MARKETPLACE
36,OWN PLACE,OWN CHANNEL
37,LONGO PLACE,MARKETPLACE
38,WEAR PLACE,MARKETPLACE
39,RONALD PLACE,MARKETPLACE
41,PANCEPS PLACE,MARKETPLACE
42,OFF PLACE,MARKETPLACE
43,CAICAI PLACE,MARKETPLACE
44,READY PLACE,OWN CHANNEL
46,CHOCO PLACE,OWN CHANNEL
47,PORTO PLACE,MARKETPLACE
48,CENTER PLACE,MARKETPLACE
49,RIBA PLACE,OWN CHANNEL
