hub_id,hub_name,hub_city,hub_state,hub_latitude,hub_longitude
2,BLUE SHOPPING,PORTO ALEGRE,RS,-30.0474148,-51.21351
3,GREEN SHOPPING,PORTO ALEGRE,RS,-30.0374149,-51.20352
4,RED SHOPPING,PORTO ALEGRE,RS,-30.0219481,-51.2083816
5,FUNK SHOPPING,RIO DE JANEIRO,RJ,-23.0007498,-43.318282
8,GOLDEN SHOPPING,RIO DE JANEIRO,RJ,-22.921475,-43.234774
13,HIP HOP SHOPPING,RIO DE JANEIRO,RJ,-22.8858199,-43.2792183
16,PEOPLE SHOPPING,RIO DE JANEIRO,RJ,-23.0174723,-43.4799389
17,SMALL SHOPPING,SÃO PAULO,SP,-23.5920041,-46.6365035
18,STAR SHOPPING,RIO DE JANEIRO,RJ,-22.9454948,-43.1821807
20,PURPLE SHOPPING,RIO DE JANEIRO,RJ,-22.996848,-43.359636
21,WOLF SHOPPING,SÃO PAULO,SP,-23.550407,-46.6973162
22,COLOR SHOPPING,RIO DE JANEIRO,RJ,-23.0007532,-43.3837713
25,AVENUE SHOPPING,SÃO PAULO,SP,-23.5677027,-46.642043
26,SQL SHOPPING,SÃO PAULO,SP,-23.5630195,-46.652621
27,SAMPA SHOPPING,SÃO PAULO,SP,-23.622995,-46.699204
28,RAP SHOPPING,SÃO PAULO,SP,-23.595001,-46.685984
29,SUBWAY SHOPPING,SÃO PAULO,SP,-23.561053,-46.558976
31,PAGODE SHOPPING,SÃO PAULO,SP,-23.629826,-46.735203
33,COFFEE SHOPPING,SÃO PAULO,SP,-23.579067,-46.59282
35,BEACH SHOPPING,RIO DE JANEIRO,RJ,-22.96988,-43.370811
36,BLACK SHOPPING,PORTO ALEGRE,RS,-30.085743,-51.245997
37,RIVER SHOPPING,SÃO PAULO,SP,-23.507105,-46.718197
42,PHP SHOPPING,CURITIBA,PR,-25.4381052,-49.266532
43,HOTMILK SHOPPING,CURITIBA,PR,-25.4412212,-49.27769
44,FORTRAN SHOPPING,CURITIBA,PR,-25.4351398,-49.3167883
51,RUBY SHOPPING,RIO DE JANEIRO,RJ,-22.923675,-43.5677575
55,ELIXIR SHOPPING,SÃO PAULO,SP,-23.5217758,-46.6241516
73,HUBLESS SHOPPING,SÃO PAULO,SP,-22.947461,-43.1834672
75,PYTHON SHOPPING,CURITIBA,PR,-25.477073,-49.28966
85,REACT SHOPPING,SÃO PAULO,SP,-23.5133533,-46.6183535
86,R SHOPPING,SÃO PAULO,SP,-23.54150197,-46.5766182
91,GAROA SHOPPING,SÃO PAULO,SP,-23.5251244,-46.5468072
