store_id,hub_id,store_name,store_segment,store_plan_price,store_latitude,store_longitude
3,2,CUMIURI,FOOD,0,,
6,3,PIMGUCIS DA VIVA ,FOOD,0,-30.0374149,-51.20352
8,3,RASMUR S ,FOOD,0,-30.0374149,-51.20352
53,8,PAPA SUCIS ,FOOD,0,-22.921475,-43.234822
54,8,VUZPI PAZZIS ,FOOD,0,-22.921475,-43.234822
56,8,SUPSIO ,FOOD,49,-22.921475,-43.234822
58,8,PIAMUARIS ,FOOD,49,-22.921475,-43.234822
82,8,LUCITA ,FOOD,0,-22.921475,-43.234822
83,8,PRARIZZAI ,FOOD,0,-22.921475,-43.234822
84,8,PALLO MZU GRALA,FOOD,49,-22.921475,-43.234822
85,8,PRISMAURAI ,FOOD,0,-22.921475,-43.234822
88,8,EUGUSMI ,GOOD,0,-22.921475,-43.234822
89,8,LIS URPIMIOUS ,FOOD,49,-22.921475,-43.234822
90,8,CISI DA POI EU QUASI ,FOOD,49,-22.921475,-43.234822
95,8,ARE TRAMUO ,FOOD,49,-22.921475,-43.234822
96,5,PIRMI DA SIPIR ,FOOD,0,-23.0007498,-43.318364
99,8,SIRVUMU AMILAI ,FOOD,0,-22.921475,-43.234822
100,8,LUPIMUIM ,FOOD,49.9,-22.921475,-43.234822
122,4,MASUCIE,GOOD,0,,
141,8,RO PRISMAUS ,FOOD,0,-22.921475,-43.234822
144,8,CIRIROI U CAI ,FOOD,49.9,-22.921475,-43.234822
149,8,IUMPICA ,FOOD,0,-22.921475,-43.234822
164,8,CLUPU RULASSI ,GOOD,0,-22.921475,-43.234822
187,13,LUCITA ,FOOD,49,-22.8858199,-43.2792183
189,13,USPUMUI CIRAICI ,FOOD,49,-22.8858199,-43.2792183
191,13,AR PAZZI ,FOOD,49,-22.8858199,-43.2792183
228,8,PUGUM ,GOOD,0,-22.9241443,-43.2363449
232,16,RIARI SIARI ,FOOD,0,-23.0174723,-43.4799389
236,13,IUMPICA ,FOOD,0,-22.8858199,-43.2792183
245,18,SUPSIO ,FOOD,0,-22.9454948,-43.1821807
261,18,AR TRAMUO ,FOOD,49,-22.9454948,-43.1821807
264,8,EMUOUS,GOOD,0,-22.9241443,-43.2363449
274,16,IUMPICA ,FOOD,0,-23.0174723,-43.4799389
294,13,PAPA SUCIS ,FOOD,0,-22.8858199,-43.2792183
295,8,AIEMAMIMU IU PRUSEM,GOOD,29.9,-22.921475,-43.234822
311,13,RISA PUM ,GOOD,29,-22.8858199,-43.2792183
321,17,IUMPICA ,FOOD,0,-23.5920041,-46.6365035
339,17,ARE TRAMUO ,FOOD,49.9,-23.5920041,-46.6365035
342,13,PIARIS,GOOD,0,,
345,13,ZIM ME MUMEUR ,FOOD,49,-22.8860986,-43.2795475
356,21,SPILUMI ,FOOD,49.9,-23.550407,-46.6973162
357,22,PILIOU RAS ,FOOD,0,-23.0007532,-43.3837713
361,22,IPUPIEMAI ,FOOD,0,-23.0007532,-43.3837713
365,20,CIRILAMI SILUS ,FOOD,49.9,-22.996848,-43.361197
366,20,AR TRAMUO ,FOOD,49,-22.996848,-43.361197
367,20,MIUMSAU ,FOOD,49,-22.996848,-43.361197
370,20,PAZZI ZUM ,FOOD,49,-22.996848,-43.361197
371,20,LUCITA ,FOOD,0,-22.996848,-43.361197
373,20,CRUPULICOS ,FOOD,49,-22.996848,-43.361197
377,20,RIRURPIS,GOOD,0,-23.0007532,-43.3837713
378,21,OURAMIES ,FOOD,49.9,-23.550407,-46.6973162
383,21,ACA PRISSURAU ,FOOD,49.9,-23.550407,-46.6973162
387,22,REMFRUMIS ,FOOD,49,-23.0007532,-43.3837713
390,17,PAZZI ZUM ,FOOD,49.9,-23.5920041,-46.6365035
391,20,FAIARUMUI ,FOOD,0,-22.996848,-43.361197
399,13,PIARO ,FOOD,0,-22.8843321,-43.283366
406,20,GARIOLIS ,FOOD,49,-23.0007532,-43.3837713
409,16,RC OUMILEES ,FOOD,0,-23.0172627,-43.4791238
414,13,SPILUMI ,FOOD,0,-22.886644,-43.2801892
415,8,IPUPIEMAI ,FOOD,,-22.921475,-43.234822
416,21,IUMPICA ,FOOD,0,-23.550407,-46.721291
417,20,IUMPICA ,FOOD,0,-22.996848,-43.361197
426,20,ZIM M MUMEUR ,FOOD,,-22.996848,-43.361197
430,21,PIR DA ILUROI ,FOOD,0,-23.550407,-46.721291
435,16,SUSM GRALA,FOOD,49.9,-23.0172627,-43.4791238
439,16,CILAFIRMAI CIOLA ,FOOD,49.9,-23.0172627,-43.4791238
446,20,SIRLE FRA ,GOOD,29,-22.996848,-43.361197
447,21,PA PISACI ,GOOD,29,-23.550407,-46.721291
453,20,IRULAU CRUPURAU ,FOOD,49,-22.996848,-43.361197
462,18,CIFUAMI ,FOOD,49,-22.9464282,-43.1823091
476,20,PIARI FLIRUS ,GOOD,29,-22.996848,-43.361197
482,25,GIPUMZIGUM OPASI RIUSARI CIREARA ,GOOD,49.9,-23.5677027,-46.642043
490,22,MATATA ,FOOD,49.9,-23.0007532,-43.3837713
491,16,I CISI DA PAMPE ,GOOD,29.9,-23.0172627,-43.4791238
493,25,PAZZI ZUM ,FOOD,49.9,-23.5677027,-46.642043
495,25,IUMPICA ,FOOD,0,-23.5623285,-46.642043
496,26,IUMPICA ,FOOD,,-23.5630195,-46.652621
497,13,CISI DA URPIOU ,FOOD,0,-22.8843321,-43.283366
501,25,RISIRA ,FOOD,49.9,-23.5677027,-46.642043
508,20,GROI USPRUSSI ,FOOD,49,-22.996848,-43.361197
515,18,GULIMURAI RE ,FOOD,49,-22.9464282,-43.1823091
520,26,IRIR OIS PUOUMIS ,FOOD,49.9,-23.5630195,-46.652621
524,3,ILA RIERUGI ,GOOD,49.9,-30.0374149,-51.20352
525,25,PUCIRAMI  ,FOOD,49.9,-23.5677027,-46.642043
529,20,GULIMURAI RE ,FOOD,49,-22.996848,-43.361197
531,16,CISUMPES ,FOOD,49.9,-23.0172627,-43.4791238
532,13,SIRLE FRA ,GOOD,29.9,-22.886644,-43.2801892
540,22,UMIG ,GOOD,49,-23.0007532,-43.3837713
545,3,IAMUR ,FOOD,49.9,-30.0374149,-51.20352
555,20,RIGU I CIGU ,FOOD,49,-22.996848,-43.361197
563,3,MZU PLICA PAF ,FOOD,49.9,-30.038145,-51.20352
564,20,PUMGUA ,FOOD,49.9,-22.996848,-43.361197
582,16,SPILUMI ,FOOD,49.9,-23.020709,-43.4897
585,21,MUMRIFAM ,GOOD,29.9,-23.550407,-46.721291
586,26,GULIMI PIRULA ,FOOD,49.9,-23.563758,-46.652621
587,8,PIARO ,FOOD,,-22.921475,-43.234822
590,20,VUG UP ,FOOD,49,-22.996848,-43.361197
591,27,MZU SUACU LIP ,FOOD,49.9,-23.622995,-46.699204
595,27,ZIVIMUI ,GOOD,49.9,-23.622995,-46.699204
599,21,LIFM ,GOOD,,-23.550407,-46.721291
600,21,GRIME CRU ,GOOD,29.9,-23.550407,-46.721291
603,27,GRIME CRU ,GOOD,29.9,-23.622995,-46.699204
604,16,SIRVUMU AMILAI ,FOOD,49.9,-23.020709,-43.4897
605,16,MIMAMI SAMU VAMUIGU ,GOOD,49.9,-23.020709,-43.4897
606,8,MAP MIP ,GOOD,,-22.921475,-43.234822
607,27,ECILUMI MI LISI FASACIO PASCIAMO ,FOOD,49.9,,
616,18,CILAFIRMAI CIOLA ,FOOD,49,-22.94733,-43.183534
622,28,PASCIAMO ,FOOD,49.9,-23.595775,-46.685984
623,28,SUPSIO ,FOOD,49.9,-23.595775,-46.685984
