company_id,company,city,country,continent,date_joined,year_founded,valuation,funding,select_investors,industry
848,Matrixport,,Singapore,Asia,2021-06-01,2019,1000000000,100000000,"""Dragonfly Captial, Qiming Venture Partners, DST Global""",Fintech
396,candy.com,New York,United States,North America,2021-10-21,2021,2000000000,100000000,"""Insight Partners, Softbank Group, Connect Ventures""",Fintech
931,HAYDON,Shanghai,China,Asia,2021-09-24,2020,1000000000,100000000,"""Tencent Holdings, Hillhouse Capital Management""",Consumer & retail
983,Numbrs,Zurich,Switzerland,Europe,2019-08-22,1999,1000000000,105000000,"""Investment Corporation of Dubai, Centralway""",Fintech
844,MobileCoin,San Francisco,United States,North America,2021-07-07,2018,1000000000,107000000,"""General Catalyst, Future Ventures, AU21""",Fintech
894,Clara,Mexico City,Mexico,North America,2021-12-06,2020,1000000000,109000000,"""DST Global, General Catalyst, Monashees+""",Fintech
813,CoinDCX,Maharashtra,India,Asia,2021-08-10,2017,1000000000,109000000,"""Polychain Capital, Coinbase Ventures, Jump Capital""",Fintech
963,Masterworks,New York,United States,North America,2021-10-05,2017,1000000000,110000000,"""Left Lane Capital, Galaxy Interactive, Tru Arrow Partners""",Fintech
764,AgentSync,Denver,United States,North America,2021-12-07,2018,1000000000,111000000,"""Craft Ventures, Caffeinated Capital, Operator Collective""",Fintech
755,Marshmallow,London,United Kingdom,Europe,2021-09-08,2017,1000000000,116000000,"""Passion Capital, Hedosophia, Outrun Ventures""",Fintech
175,Kraken,San Francisco,United States,North America,2019-06-25,2011,4000000000,119000000,"""Bnk To The Future, Trammell Ventures, SBI Investment""",Fintech
398,CoinList,San Francisco,United States,North America,2021-10-15,2017,2000000000,119000000,"""Accomplice, Polychain Capital, GoldenTree Asset Management""",Fintech
249,Worldcoin,San Francisco,United States,North America,2021-06-29,2019,3000000000,125000000,"""Day One Ventures, Coinbase Ventures, Andreessen Horowitz""",Fintech
434,Star Charge,Changzhou,China,Asia,2021-05-19,2014,2000000000,125000000,"""Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund""",Auto & transportation
1054,Vise,New York,United States,North America,2021-05-18,2016,1000000000,128000000,"""Sequoia Capital, Founders Fund, Bling Capital""",Fintech
1063,Wrapbook,New York,United States,North America,2021-11-10,2018,1000000000,131000000,"""Equal Ventures, Uncork Capital, Andreessen Horowitz""",Fintech
846,Instabase,San Francisco,United States,North America,2019-10-21,2015,1000000000,132000000,"""New Enterprise Associates, Greylock Partners, Andreessen Horowitz""",Data management & analytics
823,Ivalua,Redwood City,United States,North America,2019-05-21,2000,1000000000,134000000,"""Ardian, Tiger Global Management, KKR""",Fintech
944,Interos,Arlington,United States,North America,2021-07-22,2005,1000000000,135000000,"""Kleiner Perkins Caufield & Byers, NightDragon Security, Venrock""",Fintech
393,Ascend Money,Bangkok,Thailand,Asia,2021-09-27,2013,2000000000,150000000,"""Ant Group, Charoen Pokphand Group, Bow Wave Capital""",Fintech
612,Einride,Stockholm,Sweden,Europe,2021-12-31,2016,1000000000,151000000,"""Temasek, BUILD Capital Partners, Northzone Ventures""",Auto & transportation
449,Mercury,San Francisco,United States,North America,2021-07-03,2019,2000000000,152000000,"""Andreessen Horowitz, Coatue Management, Clocktower Technology Ventures""",Fintech
718,Alloy,New York,United States,North America,2021-09-30,2015,1000000000,156000000,"""Bessemer Venture Partners, Eniac Ventures, Canapi Ventures""",Fintech
920,Freshbooks,Toronto,Canada,North America,2021-08-10,2004,1000000000,156000000,"""Accomplice, Oak Investment Partners, Georgian Partners""",Fintech
662,Qualia,San Francisco,United States,North America,2020-12-21,2015,1000000000,160000000,"""8VC, Menlo Ventures, Tiger Global Management""",Fintech
1027,SmartAsset,New York,United States,North America,2021-06-24,2012,1000000000,161000000,"""Javelin Venture Partners, TTV Capital, Peterson Ventures""",Fintech
783,Pilot.com,San Francisco,United States,North America,2021-03-26,2016,1000000000,161000000,"""Index Ventures, Sequoia Capital, Bezos Expeditions""",Fintech
1023,Sidecar Health,El Segundo,United States,North America,2021-01-26,2018,1000000000,163000000,"""GreatPoint Ventures, Tiger Global Management, Menlo Ventures""",Fintech
1008,Razor,Berlin,Germany,Europe,2021-11-08,2020,1000000000,167000000,"""Global Founders Capital, 468 Capital, Redalpine Venture Partners""",Consumer & retail
942,Injective Protocol,New York,United States,North America,2021-04-20,2018,1000000000,17000000,"""Pantera Capital, Cadenza Ventures, BlockTower Capital""",Fintech
579,Modern Treasury,San Francisco,United States,North America,2021-10-06,2018,2000000000,183000000,"""Benchmark, Altimeter Capital, Quiet Capital""",Fintech
769,DailyPay,New York,United States,North America,2021-05-18,2016,1000000000,189000000,"""RPM Ventures, Inspiration Ventures, Carrick Capital Partners""",Fintech
452,SmartHR,Tokyo,Japan,Asia,2021-06-08,2013,2000000000,190000000,"""BEENEXT, World Innovation Lab, Light Street Capital""",Fintech
