industry,valuation
Consumer & retail,4000000000.0
Auto & transportation,3666666666.6666665
Data management & analytics,3516129032.2580647
Fintech,3358381502.8901734
Travel,3333333333.3333335
E-commerce & direct-to-consumer,2813333333.3333335
Cybersecurity,2631578947.368421
Internet software & services,2618421052.631579
Mobile & telecommunications,2444444444.4444447
Artificial intelligence,2377358490.5660377
"""Supply chain, logistics, & delivery""",2371428571.428571
Other,2317073170.731707
Health,2230769230.769231
Edtech,2117647058.8235295
Hardware,2000000000.0
