,EDA,ML,macro_average,micro_average,Easy,Medium,Hard,none
gpt4-turbo,0.947,1.000,0.974,0.966,0.957,0.966,0.975,0.000
claude-3-opus-20240229,0.988,0.957,0.972,0.977,0.956,0.982,0.988,0.000
gemini-1.5-pro-latest,0.952,0.926,0.939,0.943,0.925,0.983,0.899,0.000
llama3-70b,0.947,0.789,0.868,0.891,0.841,0.931,0.875,0.000
qwen-max,0.988,0.905,0.947,0.958,0.957,0.974,0.938,0.000
Mixtral-8x22B-Instruct-v0.1,0.720,0.589,0.654,0.672,0.667,0.752,0.558,0.000
deepseek-coder-33b-instruct,0.396,0.181,0.289,0.319,0.324,0.348,0.275,0.000
CodeLlama-70b-Instruct-hf,0.006,0.065,0.036,0.027,0.045,0.009,0.038,0.000
mixtral-8x7b-32768,0.433,0.625,0.529,0.500,0.600,0.385,0.700,0.000
gpt-4o,0.971,0.947,0.959,0.962,0.913,0.991,0.963,0.000
gpt-3.5-turbo,0.911,0.800,0.856,0.871,0.855,0.879,0.873,0.000
