,EDA,ML,macro_average,micro_average,Easy,Medium,Hard,none
gpt4-turbo,8.182,8.442,8.312,8.275,8.261,7.793,8.988,0.000
claude-3-opus-20240229,8.118,10.272,9.195,8.874,9.353,8.149,9.500,0.000
gemini-1.5-pro-latest,7.311,8.937,8.124,7.901,8.134,6.733,9.418,0.000
llama3-70b,8.276,12.589,10.433,9.823,10.087,8.940,10.875,0.000
qwen-max,7.871,9.000,8.435,8.275,8.362,8.172,8.350,0.000
Mixtral-8x22B-Instruct-v0.1,10.567,12.284,11.426,11.197,11.058,10.283,12.662,0.000
deepseek-coder-33b-instruct,10.799,13.191,11.995,11.654,11.912,11.200,12.088,0.000
CodeLlama-70b-Instruct-hf,4.550,7.022,5.786,5.414,5.463,5.017,5.962,0.000
mixtral-8x7b-32768,13.267,13.375,13.321,13.304,14.900,13.423,11.400,0.000
gpt-4o,7.782,8.979,8.381,8.211,8.884,7.612,8.500,0.000
gpt-3.5-turbo,9.207,10.716,9.961,9.750,9.275,9.836,10.038,0.000
