,DW,EDA,ML,macro_average,micro_average,Easy,Medium,Hard,none
gpt4-turbo,0.167,0.424,0.537,0.376,0.409,0.493,0.319,0.275,0.000
claude-3-opus-20240229,0.167,0.303,0.495,0.322,0.333,0.279,0.272,0.225,0.000
gemini-1.5-pro-latest,0.167,0.275,0.398,0.280,0.291,0.224,0.207,0.266,0.000
llama3-70b,0.167,0.224,0.200,0.197,0.206,0.188,0.181,0.150,0.000
qwen-max,0.167,0.212,0.280,0.219,0.223,0.188,0.172,0.150,0.000
Mixtral-8x22B-Instruct-v0.1,0.167,0.180,0.223,0.190,0.190,0.174,0.168,0.104,0.000
deepseek-coder-33b-instruct,0.167,0.124,0.112,0.134,0.129,0.074,0.104,0.100,0.000
CodeLlama-70b-Instruct-hf,0.167,0.006,0.022,0.065,0.040,0.030,0.000,0.013,0.000
mixtral-8x7b-32768,0.167,0.000,0.000,0.056,0.094,0.000,0.000,0.000,0.000
gpt-4o,0.167,0.397,0.526,0.363,0.392,0.377,0.310,0.275,0.000
gpt-3.5-turbo,0.167,0.186,0.276,0.210,0.209,0.188,0.172,0.139,0.000
